IDEN=Pb pipe corrosion - 0.3/0.3/0.3/0.15/0.15,
DATE=07-06-17 @13:39,
XRAY=CU,
SCAN=Coupled Scan,
XBEG=15.0,
XEND=55.0,
XINC=0.05,
TIME=10.0(sec),
NPTS=801,
SUMM=241965,
NETA=241965,
BKGL=0,
BKGR=0,
DATA,
40.40001,363
40.45001,349
40.50001,331
40.55001,329
40.60001,277
40.65001,279
40.70001,251
40.75001,236
40.80001,240
40.85001,254
40.90001,237
40.95001,214
41.00001,262
41.05001,240
41.10001,250
41.15001,237
41.20001,235
41.25001,240
41.30001,220
41.35001,224
41.40001,215
41.45001,225
41.50001,244
41.55001,230
41.60001,250
41.65001,239
41.70001,262
41.75001,205
41.80001,228
41.85001,243
41.90001,255
41.95001,241
42.00001,251
42.05001,237
42.10001,230
42.15001,243
42.20001,234
42.25001,263
42.30001,237
42.35001,245
42.40001,247
42.45001,301
42.50001,285
42.55001,274
42.60001,316
42.65001,359
42.70001,340
42.75001,288
42.80001,312
42.85001,316
42.90001,298
42.95001,288
43.00001,289
43.05001,275
43.10001,292
43.15001,313
43.20001,333
43.25001,293
43.30001,280
43.35001,262
43.40001,288
43.45001,250
43.50001,260
43.55001,262
43.60001,262
43.65001,250
43.70001,239
43.75001,287
43.80001,267
43.85001,262
43.90001,277
43.95001,313
44.00001,328
44.05001,349
44.10001,351
44.15001,335
44.20001,307
44.25001,285
44.30001,294
44.35001,363
44.40001,408
44.45001,311
44.50001,366
44.55001,285
44.60001,248
44.65001,215
44.70001,221
44.75001,233
44.80001,237
44.85001,229
44.90001,234
44.95001,209
45.00001,239
45.05001,223
45.10001,223
45.15001,220
45.20001,249
45.25001,239
45.30001,213
45.35001,237
45.40001,216
45.45001,226
45.50001,197
45.55001,233
45.60001,243
45.65001,211
45.70001,214
45.75001,209
45.80001,221
45.85001,229
45.90001,229
45.95001,224
46.00001,251
46.05001,272
46.10001,239
46.15001,213
46.20001,216
46.25001,219
46.30001,264
46.35001,261
46.40001,254
46.45001,258
46.50001,248
46.55001,267
46.60001,241
46.65001,230
46.70001,221
46.75001,219
46.80001,216
46.85001,241
46.90001,227
46.95001,206
47.00001,222
47.05001,217
47.10001,234
47.15001,224
47.20001,223
47.25001,225
47.30001,220
47.35001,211
47.40001,252
47.45001,211
47.50001,241
47.55001,247
47.60001,234
47.65001,241
47.70001,230
47.75001,270
47.80001,271
47.85001,251
47.90001,251
47.95001,241
48.00001,270
48.05001,231
48.10001,265
48.15001,248
48.20001,282
48.25001,300
48.30001,279
48.35001,285
48.40001,304
48.45001,284
48.50001,313
48.55001,283
48.60001,265
48.65001,260
48.70001,292
48.75001,269
48.80001,256
48.85001,283
48.90001,306
48.95001,305
49.00001,358
49.05001,403
49.10001,411
49.15001,373
49.20001,367
49.25001,327
49.30001,327
49.35001,314
49.40001,317
49.45001,274
49.50001,292
49.55001,266
49.60001,268
49.65001,279
49.70001,265
49.75001,274
49.80001,242
49.85001,280
49.90001,251
49.95001,222
50.00001,233
50.05001,238
50.10001,242
50.15001,208
50.20001,205
50.25001,211
50.30001,239
50.35001,224
50.40001,248
50.45001,208
50.50001,240
50.55001,209
50.60001,212
50.65001,221
50.70001,238
50.75001,239
50.80001,223
50.85001,208
50.90001,234
50.95001,214
51.00001,210
51.05001,243
51.10001,227
51.15001,181
51.20001,201
51.25001,224
51.30001,213
51.35001,205
51.40001,218
51.45001,224
51.50001,202
51.55001,219
51.60001,210
51.65001,233
51.70001,215
51.75001,196
51.80001,190
51.85001,210
51.90001,227
51.95001,215
52.00001,219
52.05001,196
52.10001,223
52.15001,199
52.20001,221
52.25001,205
52.30001,206
52.35001,237
52.40001,215
52.45001,222
52.50001,199
52.55001,205
52.60001,209
52.65001,204
52.70001,178
52.75001,199
52.80001,217
52.85001,209
52.90001,223
52.95001,191
53.00001,209
53.05001,231
53.10001,184
53.15001,225
53.20001,230
53.25001,224
53.30001,220
53.35001,206
53.40001,201
53.45001,203
53.50001,238
53.55001,245
53.60001,228
53.65001,234
53.70001,274
53.75001,252
53.80001,270
53.85001,296
53.90001,295
53.95001,261
54.00001,261
54.05001,261
54.10001,268
54.15001,236
54.20001,213
54.25001,217
54.30001,220
54.35001,198
54.40001,184
54.45001,203
54.50001,214
54.55001,204
54.60001,234
54.65001,198
54.70001,203
54.75001,210
54.80001,175
54.85001,197
54.90001,184
54.95001,175
55.00001,198
@END,
