d,two_theta,intensity,h,k,l,mult,phase,id
1.2179,78.4691,25.82,3,1,5,12,Hydrocerussite,96-201-2741
1.2056,79.4218,35.22,2,1,14,12,Hydrocerussite,96-201-2741
1.203,79.634,40.53,1,0,19,6,Hydrocerussite,96-201-2741
1.2019,79.7202,51.55,3,0,12,6,Hydrocerussite,96-201-2741
1.1883,80.8177,3,2,0,17,6,Hydrocerussite,96-201-2741
1.181,81.4195,59.63,3,1,7,12,Hydrocerussite,96-201-2741
1.1768,81.7712,28.41,1,1,18,12,Hydrocerussite,96-201-2741
1.1741,82.0051,32.94,2,2,9,12,Hydrocerussite,96-201-2741
1.1596,83.2515,7.41,3,1,8,12,Hydrocerussite,96-201-2741
1.1467,84.4018,0.01,1,0,20,6,Hydrocerussite,96-201-2741
1.1346,85.5183,0,4,0,1,6,Hydrocerussite,96-201-2741
1.1307,85.8824,27.95,4,0,2,6,Hydrocerussite,96-201-2741
1.1287,86.0764,1.22,0,0,21,2,Hydrocerussite,96-201-2741
1.1217,86.7419,35.82,2,1,16,12,Hydrocerussite,96-201-2741
1.1156,87.3374,4.72,4,0,4,6,Hydrocerussite,96-201-2741
1.1127,87.6236,4.37,3,1,10,12,Hydrocerussite,96-201-2741
1.1046,88.4274,8.13,4,0,5,6,Hydrocerussite,96-201-2741
1.0935,89.5713,11.98,2,0,19,6,Hydrocerussite,96-201-2741
1.0934,89.5789,0.09,3,0,15,6,Hydrocerussite,96-201-2741
1.0927,89.6561,31.84,2,2,12,12,Hydrocerussite,96-201-2741
1.0878,90.1659,23.58,3,1,11,12,Hydrocerussite,96-201-2741
1.0824,90.7378,17.16,2,1,17,12,Hydrocerussite,96-201-2741
1.0769,91.3325,23.81,4,0,7,6,Hydrocerussite,96-201-2741
1.0606,93.1495,2.69,4,0,8,6,Hydrocerussite,96-201-2741
1.0507,94.2956,1.22,2,0,20,6,Hydrocerussite,96-201-2741
1.0483,94.5823,0.59,1,0,22,6,Hydrocerussite,96-201-2741
1.0414,95.4117,0.06,3,2,1,12,Hydrocerussite,96-201-2741
1.0384,95.7765,23.52,3,2,2,12,Hydrocerussite,96-201-2741
1.0368,95.9711,22.95,1,1,21,12,Hydrocerussite,96-201-2741
1.0367,95.9863,0.03,3,1,13,12,Hydrocerussite,96-201-2741
1.0266,97.2384,8.99,3,2,4,12,Hydrocerussite,96-201-2741
1.0243,97.5267,1.84,4,0,10,6,Hydrocerussite,96-201-2741
1.0181,98.3378,21.18,3,2,5,12,Hydrocerussite,96-201-2741
1.0109,99.2839,21.58,3,1,14,12,Hydrocerussite,96-201-2741
1.0093,99.4955,21.31,2,1,19,12,Hydrocerussite,96-201-2741
1.0092,99.5032,0.42,2,2,15,12,Hydrocerussite,96-201-2741
8.5433,10.346,15.4,1,0,0,6,Pb10(PO4)6O,96-810-3821
5.6066,15.7937,1.57,1,0,1,12,Pb10(PO4)6O,96-810-3821
4.9325,17.9691,76.46,1,1,0,6,Pb10(PO4)6O,96-810-3821
4.2717,20.7777,386.2,2,0,0,6,Pb10(PO4)6O,96-810-3821
4.1095,21.6073,428.7,1,1,1,12,Pb10(PO4)6O,96-810-3821
3.7153,23.932,93.66,0,0,2,2,Pb10(PO4)6O,96-810-3821
3.7033,24.0105,5.45,2,0,1,12,Pb10(PO4)6O,96-810-3821
3.4071,26.1338,452.71,0,1,2,12,Pb10(PO4)6O,96-810-3821
3.2291,27.602,472.73,2,1,0,6,Pb10(PO4)6O,96-810-3821
2.9676,30.0887,927.78,1,1,2,12,Pb10(PO4)6O,96-810-3821
2.9615,30.1522,1000,2,1,1,12,Pb10(PO4)6O,96-810-3821
2.8478,31.387,468.86,3,0,0,6,Pb10(PO4)6O,96-810-3821
2.8033,31.8979,14.33,2,0,2,12,Pb10(PO4)6O,96-810-3821
2.6592,33.6771,2.78,3,0,1,12,Pb10(PO4)6O,96-810-3821
2.4662,36.4001,20.25,2,2,0,6,Pb10(PO4)6O,96-810-3821
2.4372,36.8494,4.21,2,1,2,12,Pb10(PO4)6O,96-810-3821
2.3789,37.7862,0.07,0,1,3,12,Pb10(PO4)6O,96-810-3821
2.3695,37.942,13.17,3,1,0,6,Pb10(PO4)6O,96-810-3821
2.3407,38.4271,5.49,2,2,1,12,Pb10(PO4)6O,96-810-3821
2.2602,39.8525,58.14,3,0,2,12,Pb10(PO4)6O,96-810-3821
2.2575,39.9022,3.53,3,1,1,12,Pb10(PO4)6O,96-810-3821
2.2135,40.7307,156.61,1,1,3,12,Pb10(PO4)6O,96-810-3821
2.1427,42.1385,5.39,0,2,3,12,Pb10(PO4)6O,96-810-3821
2.1358,42.2808,59.12,4,0,0,6,Pb10(PO4)6O,96-810-3821
2.0547,44.0347,362.31,2,2,2,12,Pb10(PO4)6O,96-810-3821
2.0527,44.0805,0.13,4,0,1,12,Pb10(PO4)6O,96-810-3821
1.9978,45.3591,233.24,3,1,2,12,Pb10(PO4)6O,96-810-3821
1.9653,46.1519,316.21,2,1,3,12,Pb10(PO4)6O,96-810-3821
1.96,46.2844,104.55,3,2,0,6,Pb10(PO4)6O,96-810-3821
1.8952,47.9649,225.48,3,2,1,12,Pb10(PO4)6O,96-810-3821
1.8689,48.6825,1.16,3,0,3,12,Pb10(PO4)6O,96-810-3821
1.8643,48.8097,245.3,4,1,0,6,Pb10(PO4)6O,96-810-3821
1.8577,48.9962,129.58,0,0,4,2,Pb10(PO4)6O,96-810-3821
1.8517,49.1649,353.06,4,0,2,12,Pb10(PO4)6O,96-810-3821
1.8152,50.2194,1.1,0,1,4,12,Pb10(PO4)6O,96-810-3821
1.8083,50.4264,1.18,4,1,1,12,Pb10(PO4)6O,96-810-3821
1.7476,52.3053,0.29,2,2,3,12,Pb10(PO4)6O,96-810-3821
1.7384,52.6032,16.72,1,1,4,12,Pb10(PO4)6O,96-810-3821
1.7335,52.7635,4.44,3,2,2,12,Pb10(PO4)6O,96-810-3821
1.7122,53.4735,2.27,3,1,3,12,Pb10(PO4)6O,96-810-3821
1.7087,53.5924,0.54,5,0,0,6,Pb10(PO4)6O,96-810-3821
1.7035,53.7668,52.46,0,2,4,12,Pb10(PO4)6O,96-810-3821
1.6663,55.0691,23,4,1,2,12,Pb10(PO4)6O,96-810-3821
1.6652,55.1079,2.49,5,0,1,12,Pb10(PO4)6O,96-810-3821
1.6442,55.8745,7.19,3,3,0,6,Pb10(PO4)6O,96-810-3821
1.6175,56.8784,0.17,4,0,3,12,Pb10(PO4)6O,96-810-3821
1.6145,56.9925,66.1,4,2,0,6,Pb10(PO4)6O,96-810-3821
1.6102,57.1599,132.37,2,1,4,12,Pb10(PO4)6O,96-810-3821
1.6053,57.3494,71.95,3,3,1,12,Pb10(PO4)6O,96-810-3821
1.5777,58.4491,0.36,4,2,1,12,Pb10(PO4)6O,96-810-3821
1.5559,59.3509,110.34,0,3,4,12,Pb10(PO4)6O,96-810-3821
1.5524,59.499,81.88,5,0,2,12,Pb10(PO4)6O,96-810-3821
1.537,60.156,98.81,3,2,3,12,Pb10(PO4)6O,96-810-3821
1.5344,60.2662,38.73,5,1,0,6,Pb10(PO4)6O,96-810-3821
1.5035,61.6384,102.99,3,3,2,12,Pb10(PO4)6O,96-810-3821
1.5027,61.6746,92.99,5,1,1,12,Pb10(PO4)6O,96-810-3821
1.4895,62.2818,1.59,4,1,3,12,Pb10(PO4)6O,96-810-3821
1.4838,62.5483,6.26,2,2,4,12,Pb10(PO4)6O,96-810-3821
1.4808,62.6919,1.73,4,2,2,12,Pb10(PO4)6O,96-810-3821
1.4641,63.4863,0.16,0,1,5,12,Pb10(PO4)6O,96-810-3821
1.4619,63.5932,0.35,3,1,4,12,Pb10(PO4)6O,96-810-3821
1.4239,65.501,4.7,6,0,0,6,Pb10(PO4)6O,96-810-3821
1.4229,65.5504,21.58,1,1,5,12,Pb10(PO4)6O,96-810-3821
1.4182,65.7952,1.61,5,1,2,12,Pb10(PO4)6O,96-810-3821
1.4065,66.4164,0.5,5,0,3,12,Pb10(PO4)6O,96-810-3821
1.4045,66.5207,1.03,4,3,0,6,Pb10(PO4)6O,96-810-3821
1.4036,66.5696,0.74,0,2,5,12,Pb10(PO4)6O,96-810-3821
1.4017,66.6738,28.49,4,0,4,12,Pb10(PO4)6O,96-810-3821
1.3984,66.8473,0,6,0,1,12,Pb10(PO4)6O,96-810-3821
1.3801,67.8567,2.8,4,3,1,12,Pb10(PO4)6O,96-810-3821
1.3698,68.4342,30.53,3,3,3,12,Pb10(PO4)6O,96-810-3821
1.368,68.537,13.91,5,2,0,6,Pb10(PO4)6O,96-810-3821
1.3526,69.4325,0.9,4,2,3,12,Pb10(PO4)6O,96-810-3821
1.35,69.5826,77.88,2,1,5,12,Pb10(PO4)6O,96-810-3821
1.3483,69.6846,49.24,3,2,4,12,Pb10(PO4)6O,96-810-3821
1.3454,69.8544,60.17,5,2,1,12,Pb10(PO4)6O,96-810-3821
1.3296,70.8099,61.14,6,0,2,12,Pb10(PO4)6O,96-810-3821
1.3175,71.5583,0.14,0,3,5,12,Pb10(PO4)6O,96-810-3821
1.3159,71.6591,139.84,4,1,4,12,Pb10(PO4)6O,96-810-3821
1.3138,71.7934,44.85,4,3,2,12,Pb10(PO4)6O,96-810-3821
1.3044,72.3902,50.37,5,1,3,12,Pb10(PO4)6O,96-810-3821
1.3028,72.4905,34.29,6,1,0,6,Pb10(PO4)6O,96-810-3821
1.2838,73.7441,123.55,5,2,2,12,Pb10(PO4)6O,96-810-3821
1.2833,73.7773,50.71,6,1,1,12,Pb10(PO4)6O,96-810-3821
1.2729,74.4807,0.67,2,2,5,12,Pb10(PO4)6O,96-810-3821
1.259,75.4453,0,3,1,5,12,Pb10(PO4)6O,96-810-3821
1.2576,75.5441,1.3,5,0,4,12,Pb10(PO4)6O,96-810-3821
1.2384,76.9239,4.11,0,0,6,2,Pb10(PO4)6O,96-810-3821
1.2344,77.2182,0.14,6,0,3,12,Pb10(PO4)6O,96-810-3821
1.2331,77.3163,64.27,4,4,0,6,Pb10(PO4)6O,96-810-3821
1.2312,77.4603,5.5,3,3,4,12,Pb10(PO4)6O,96-810-3821
1.2294,77.5909,1.19,6,1,2,12,Pb10(PO4)6O,96-810-3821
1.2256,77.8785,19.11,0,1,6,12,Pb10(PO4)6O,96-810-3821
1.2218,78.1717,4.35,4,3,3,12,Pb10(PO4)6O,96-810-3821
1.2205,78.2694,0.79,7,0,0,6,Pb10(PO4)6O,96-810-3821
1.2199,78.3153,0.03,0,4,5,12,Pb10(PO4)6O,96-810-3821
1.2186,78.4129,56.43,4,2,4,12,Pb10(PO4)6O,96-810-3821
1.2165,78.5755,1.03,4,4,1,12,Pb10(PO4)6O,96-810-3821
1.2043,79.5244,0.37,7,0,1,12,Pb10(PO4)6O,96-810-3821
1.2012,79.7777,54.25,1,1,6,12,Pb10(PO4)6O,96-810-3821
1.1975,80.0691,40.82,5,2,3,12,Pb10(PO4)6O,96-810-3821
1.1895,80.7229,0.12,0,2,6,12,Pb10(PO4)6O,96-810-3821
1.1847,81.1103,17.83,6,2,0,6,Pb10(PO4)6O,96-810-3821
1.1842,81.1557,41.08,3,2,5,12,Pb10(PO4)6O,96-810-3821
1.183,81.2525,37.13,5,1,4,12,Pb10(PO4)6O,96-810-3821
1.1703,82.3225,4.35,4,4,2,12,Pb10(PO4)6O,96-810-3821
1.17,82.3547,1.3,6,2,1,12,Pb10(PO4)6O,96-810-3821
1.1621,83.0368,0.23,4,1,5,12,Pb10(PO4)6O,96-810-3821
1.1595,83.2615,63.52,7,0,2,12,Pb10(PO4)6O,96-810-3821
1.1563,83.5445,0.14,2,1,6,12,Pb10(PO4)6O,96-810-3821
1.1531,83.8331,30.84,6,1,3,12,Pb10(PO4)6O,96-810-3821
1.1357,85.4164,3.05,0,3,6,12,Pb10(PO4)6O,96-810-3821
1.1316,85.8,34.66,7,1,0,6,Pb10(PO4)6O,96-810-3821
1.1301,85.9409,4.88,6,0,4,12,Pb10(PO4)6O,96-810-3821
1.1287,86.0687,0.57,6,2,2,12,Pb10(PO4)6O,96-810-3821
1.1213,86.7785,0.83,5,0,5,12,Pb10(PO4)6O,96-810-3821
1.1203,86.8743,1.06,4,3,4,12,Pb10(PO4)6O,96-810-3821
1.1187,87.0339,0.44,7,1,1,12,Pb10(PO4)6O,96-810-3821
1.1067,88.2157,39.08,2,2,6,12,Pb10(PO4)6O,96-810-3821
1.1039,88.5027,0.02,4,4,3,12,Pb10(PO4)6O,96-810-3821
1.1025,88.6432,18.42,3,3,5,12,Pb10(PO4)6O,96-810-3821
1.1016,88.7389,6.78,5,2,4,12,Pb10(PO4)6O,96-810-3821
1.0976,89.1475,29.49,3,1,6,12,Pb10(PO4)6O,96-810-3821
1.0948,89.4344,1.48,7,0,3,12,Pb10(PO4)6O,96-810-3821
1.0939,89.53,0.37,5,4,0,6,Pb10(PO4)6O,96-810-3821
1.0934,89.5749,0.51,4,2,5,12,Pb10(PO4)6O,96-810-3821
1.0825,90.7297,10.1,7,1,2,12,Pb10(PO4)6O,96-810-3821
1.0822,90.7615,1.14,5,4,1,12,Pb10(PO4)6O,96-810-3821
1.0764,91.3933,2.42,6,3,0,6,Pb10(PO4)6O,96-810-3821
1.0714,91.9426,49.84,0,4,6,12,Pb10(PO4)6O,96-810-3821
1.0688,92.2297,2.05,6,2,3,12,Pb10(PO4)6O,96-810-3821
1.0679,92.3254,9.18,8,0,0,6,Pb10(PO4)6O,96-810-3821
1.0675,92.3703,28.54,5,1,5,12,Pb10(PO4)6O,96-810-3821
1.0667,92.466,37.71,6,1,4,12,Pb10(PO4)6O,96-810-3821
1.0652,92.6256,30.05,6,3,1,12,Pb10(PO4)6O,96-810-3821
1.0534,93.981,0.37,0,1,7,12,Pb10(PO4)6O,96-810-3821
1.0493,94.4604,30.7,5,4,2,12,Pb10(PO4)6O,96-810-3821
1.0469,94.7424,0.37,3,2,6,12,Pb10(PO4)6O,96-810-3821
1.0437,95.1263,13.44,7,2,0,6,Pb10(PO4)6O,96-810-3821
1.0378,95.8511,7.67,1,1,7,12,Pb10(PO4)6O,96-810-3821
1.0338,96.3319,59.97,6,3,2,12,Pb10(PO4)6O,96-810-3821
1.0336,96.364,21.24,7,2,1,12,Pb10(PO4)6O,96-810-3821
1.0316,96.6148,5.4,4,1,6,12,Pb10(PO4)6O,96-810-3821
1.0302,96.7884,0.11,0,2,7,12,Pb10(PO4)6O,96-810-3821
1.0293,96.9037,0.22,7,1,3,12,Pb10(PO4)6O,96-810-3821
1.0281,97.0452,0,6,0,5,12,Pb10(PO4)6O,96-810-3821
1.0274,97.1416,78.08,4,4,4,12,Pb10(PO4)6O,96-810-3821
1.0264,97.2701,56.33,8,0,2,12,Pb10(PO4)6O,96-810-3821
1.0208,97.9849,0.58,4,3,5,12,Pb10(PO4)6O,96-810-3821
1.02,98.0815,0.77,7,0,4,12,Pb10(PO4)6O,96-810-3821
1.0084,99.6122,30.18,2,1,7,12,Pb10(PO4)6O,96-810-3821
1.0065,99.871,23.95,5,2,5,12,Pb10(PO4)6O,96-810-3821
14.7898,5.971,0.52,1,0,0,2,Pb5O4(CrO4),96-153-4030
9.1648,9.6427,0.04,1,1,0,4,Pb5O4(CrO4),96-153-4030
8.2225,10.7509,144.15,0,1,1,4,Pb5O4(CrO4),96-153-4030
7.3949,11.9582,51.57,2,0,0,2,Pb5O4(CrO4),96-153-4030
7.2238,12.2425,0.1,1,1,-1,4,Pb5O4(CrO4),96-153-4030
7.1498,12.3698,0.14,1,1,1,4,Pb5O4(CrO4),96-153-4030
6.2475,14.1649,43.38,2,1,0,4,Pb5O4(CrO4),96-153-4030
5.8385,15.1628,3.77,0,2,0,2,Pb5O4(CrO4),96-153-4030
5.7902,15.2901,38.26,0,0,2,2,Pb5O4(CrO4),96-153-4030
5.5318,16.0087,0,2,1,-1,4,Pb5O4(CrO4),96-153-4030
5.4655,16.2043,41.82,2,1,1,4,Pb5O4(CrO4),96-153-4030
5.4307,16.309,0.24,1,2,0,4,Pb5O4(CrO4),96-153-4030
5.4232,16.3314,0.36,-1,0,2,2,Pb5O4(CrO4),96-153-4030
5.3607,16.5233,0,1,0,2,2,Pb5O4(CrO4),96-153-4030
5.2134,16.9936,0.05,0,2,1,4,Pb5O4(CrO4),96-153-4030
5.1874,17.0792,15.19,0,1,2,4,Pb5O4(CrO4),96-153-4030
4.9299,17.9785,0.18,3,0,0,2,Pb5O4(CrO4),96-153-4030
4.9288,17.9829,0.1,-1,2,1,4,Pb5O4(CrO4),96-153-4030
4.9186,18.0202,0.95,-1,1,2,4,Pb5O4(CrO4),96-153-4030
4.905,18.0706,0.01,1,2,1,4,Pb5O4(CrO4),96-153-4030
4.8718,18.1947,2,1,1,2,4,Pb5O4(CrO4),96-153-4030
4.5972,19.2917,2.24,2,0,-2,2,Pb5O4(CrO4),96-153-4030
4.5824,19.3546,0.78,2,2,0,4,Pb5O4(CrO4),96-153-4030
4.5418,19.5296,3.02,3,1,0,4,Pb5O4(CrO4),96-153-4030
4.5216,19.6176,4.61,2,0,2,2,Pb5O4(CrO4),96-153-4030
4.2776,20.7483,5.18,2,1,-2,4,Pb5O4(CrO4),96-153-4030
4.2765,20.7541,22.65,2,2,-1,4,Pb5O4(CrO4),96-153-4030
4.251,20.8798,0.17,3,1,-1,4,Pb5O4(CrO4),96-153-4030
4.2456,20.9067,0.36,2,2,1,4,Pb5O4(CrO4),96-153-4030
4.2165,21.0526,0.01,2,1,2,4,Pb5O4(CrO4),96-153-4030
4.2058,21.107,1.23,3,1,1,4,Pb5O4(CrO4),96-153-4030
4.1112,21.598,5.79,0,2,2,4,Pb5O4(CrO4),96-153-4030
3.9735,22.3561,3.38,-1,2,2,4,Pb5O4(CrO4),96-153-4030
3.9487,22.4983,0.63,1,2,2,4,Pb5O4(CrO4),96-153-4030
3.7857,23.4805,0.27,3,0,-2,2,Pb5O4(CrO4),96-153-4030
3.7667,23.6005,0.01,3,2,0,4,Pb5O4(CrO4),96-153-4030
3.7642,23.6169,0.12,1,3,0,4,Pb5O4(CrO4),96-153-4030
3.7224,23.8857,0.02,3,0,2,2,Pb5O4(CrO4),96-153-4030
3.6975,24.0492,0.08,4,0,0,2,Pb5O4(CrO4),96-153-4030
3.6895,24.1019,3.48,0,3,1,4,Pb5O4(CrO4),96-153-4030
3.665,24.2652,0.51,0,1,3,4,Pb5O4(CrO4),96-153-4030
3.6119,24.6276,6.03,2,2,-2,4,Pb5O4(CrO4),96-153-4030
3.6012,24.7021,0.63,3,1,-2,4,Pb5O4(CrO4),96-153-4030
3.5958,24.7395,0.78,3,2,-1,4,Pb5O4(CrO4),96-153-4030
3.5844,24.8198,0.07,-1,3,1,4,Pb5O4(CrO4),96-153-4030
3.5752,24.8844,1.66,1,3,1,4,Pb5O4(CrO4),96-153-4030
3.5749,24.8868,4.85,2,2,2,4,Pb5O4(CrO4),96-153-4030
3.571,24.9144,0,-1,1,3,4,Pb5O4(CrO4),96-153-4030
3.5683,24.9332,0.81,3,2,1,4,Pb5O4(CrO4),96-153-4030
3.5466,25.0888,0.36,3,1,2,4,Pb5O4(CrO4),96-153-4030
3.544,25.1069,1.14,1,1,3,4,Pb5O4(CrO4),96-153-4030
3.525,25.245,5.22,4,1,0,4,Pb5O4(CrO4),96-153-4030
3.4443,25.846,7.16,2,3,0,4,Pb5O4(CrO4),96-153-4030
3.3876,26.2866,0.5,4,1,-1,4,Pb5O4(CrO4),96-153-4030
3.357,26.5306,8.2,4,1,1,4,Pb5O4(CrO4),96-153-4030
3.3086,26.9259,0.34,2,3,-1,4,Pb5O4(CrO4),96-153-4030
3.3053,26.9538,16.39,-2,1,3,4,Pb5O4(CrO4),96-153-4030
3.2943,27.0455,26.63,2,3,1,4,Pb5O4(CrO4),96-153-4030
3.2629,27.3107,0.52,2,1,3,4,Pb5O4(CrO4),96-153-4030
3.2303,27.5914,1000,0,3,2,4,Pb5O4(CrO4),96-153-4030
3.22,27.6816,27.47,0,2,3,4,Pb5O4(CrO4),96-153-4030
3.1764,28.0689,2.25,3,2,-2,4,Pb5O4(CrO4),96-153-4030
3.1622,28.1979,0.09,-1,3,2,4,Pb5O4(CrO4),96-153-4030
3.1556,28.2576,0.38,-1,2,3,4,Pb5O4(CrO4),96-153-4030
3.1496,28.3125,0.22,1,3,2,4,Pb5O4(CrO4),96-153-4030
3.1407,28.3947,453.01,4,0,-2,2,Pb5O4(CrO4),96-153-4030
3.1387,28.4129,3.02,3,2,2,4,Pb5O4(CrO4),96-153-4030
3.137,28.429,0.15,1,2,3,4,Pb5O4(CrO4),96-153-4030
3.1237,28.5522,0.87,4,2,0,4,Pb5O4(CrO4),96-153-4030
3.0924,28.8478,457.44,4,0,2,2,Pb5O4(CrO4),96-153-4030
3.0549,29.2094,0.49,3,3,0,4,Pb5O4(CrO4),96-153-4030
3.0329,29.4262,12.53,4,1,-2,4,Pb5O4(CrO4),96-153-4030
3.027,29.4855,10.9,4,2,-1,4,Pb5O4(CrO4),96-153-4030
3.0051,29.7053,3.64,4,2,1,4,Pb5O4(CrO4),96-153-4030
2.9894,29.865,2.6,4,1,2,4,Pb5O4(CrO4),96-153-4030
2.9706,30.058,16.7,2,3,-2,4,Pb5O4(CrO4),96-153-4030
2.9678,30.0873,0.06,-2,2,3,4,Pb5O4(CrO4),96-153-4030
2.9644,30.1223,0.37,3,1,-3,4,Pb5O4(CrO4),96-153-4030
2.9616,30.1511,0.14,3,3,-1,4,Pb5O4(CrO4),96-153-4030
2.958,30.1894,0.51,5,0,0,2,Pb5O4(CrO4),96-153-4030
2.9499,30.274,16.98,2,3,2,4,Pb5O4(CrO4),96-153-4030
2.9462,30.3128,1.53,3,3,1,4,Pb5O4(CrO4),96-153-4030
2.937,30.4105,7.5,2,2,3,4,Pb5O4(CrO4),96-153-4030
2.9193,30.5995,8.77,0,4,0,2,Pb5O4(CrO4),96-153-4030
2.9187,30.6053,0.13,3,1,3,4,Pb5O4(CrO4),96-153-4030
2.8951,30.8613,349.08,0,0,4,2,Pb5O4(CrO4),96-153-4030
2.8674,31.1667,4.35,5,1,0,4,Pb5O4(CrO4),96-153-4030
2.864,31.2048,2.77,1,4,0,4,Pb5O4(CrO4),96-153-4030
2.8504,31.3579,0.37,-1,0,4,2,Pb5O4(CrO4),96-153-4030
2.832,31.5659,0.62,1,0,4,2,Pb5O4(CrO4),96-153-4030
2.8307,31.5814,4.03,0,4,1,4,Pb5O4(CrO4),96-153-4030
2.81,31.8201,7.65,0,1,4,4,Pb5O4(CrO4),96-153-4030
2.7942,32.0053,1.57,5,1,-1,4,Pb5O4(CrO4),96-153-4030
2.7824,32.1445,0.77,-1,4,1,4,Pb5O4(CrO4),96-153-4030
2.7781,32.1955,0.11,1,4,1,4,Pb5O4(CrO4),96-153-4030
2.7727,32.2603,0.17,5,1,1,4,Pb5O4(CrO4),96-153-4030
2.769,32.3034,1.53,-1,1,4,4,Pb5O4(CrO4),96-153-4030
2.7659,32.341,0.36,4,2,-2,4,Pb5O4(CrO4),96-153-4030
2.7523,32.5059,1.31,1,1,4,4,Pb5O4(CrO4),96-153-4030
2.7408,32.6453,0.69,0,3,3,4,Pb5O4(CrO4),96-153-4030
2.7328,32.7445,1.21,4,2,2,4,Pb5O4(CrO4),96-153-4030
2.7153,32.9605,2.34,2,4,0,4,Pb5O4(CrO4),96-153-4030
2.7138,32.9794,0,3,3,-2,4,Pb5O4(CrO4),96-153-4030
2.7137,32.9815,0.03,3,2,-3,4,Pb5O4(CrO4),96-153-4030
2.7116,33.007,3.61,-2,0,4,2,Pb5O4(CrO4),96-153-4030
2.7008,33.1427,0.43,-1,3,3,4,Pb5O4(CrO4),96-153-4030
2.6902,33.2773,0.16,3,3,2,4,Pb5O4(CrO4),96-153-4030
2.6891,33.2913,0.1,1,3,3,4,Pb5O4(CrO4),96-153-4030
2.6807,33.3982,572.32,4,3,0,4,Pb5O4(CrO4),96-153-4030
2.6803,33.4033,4.41,2,0,4,2,Pb5O4(CrO4),96-153-4030
2.6785,33.4274,0.41,3,2,3,4,Pb5O4(CrO4),96-153-4030
2.6526,33.7635,0.31,5,0,-2,2,Pb5O4(CrO4),96-153-4030
2.6473,33.8324,7.63,2,4,-1,4,Pb5O4(CrO4),96-153-4030
2.6413,33.9114,1.83,-2,1,4,4,Pb5O4(CrO4),96-153-4030
2.64,33.9297,0.33,2,4,1,4,Pb5O4(CrO4),96-153-4030
2.6387,33.947,0,5,2,0,4,Pb5O4(CrO4),96-153-4030
2.6243,34.1378,30.1,4,1,-3,4,Pb5O4(CrO4),96-153-4030
2.6188,34.2119,2.15,4,3,-1,4,Pb5O4(CrO4),96-153-4030
2.6161,34.2486,0.06,5,0,2,2,Pb5O4(CrO4),96-153-4030
2.6124,34.2985,2.92,2,1,4,4,Pb5O4(CrO4),96-153-4030
2.6067,34.3761,4.3,0,4,2,4,Pb5O4(CrO4),96-153-4030
2.6046,34.4045,2.99,4,3,1,4,Pb5O4(CrO4),96-153-4030
2.5937,34.5534,0.2,0,2,4,4,Pb5O4(CrO4),96-153-4030
2.5867,34.6505,2.29,5,1,-2,4,Pb5O4(CrO4),96-153-4030
2.5821,34.7138,18.58,4,1,3,4,Pb5O4(CrO4),96-153-4030
2.5802,34.7401,16.48,-2,3,3,4,Pb5O4(CrO4),96-153-4030
2.5705,34.8754,0.1,-1,4,2,4,Pb5O4(CrO4),96-153-4030
2.5643,34.9631,0.41,5,2,1,4,Pb5O4(CrO4),96-153-4030
2.5638,34.9702,1.18,1,4,2,4,Pb5O4(CrO4),96-153-4030
2.5614,35.0032,0.38,-1,2,4,4,Pb5O4(CrO4),96-153-4030
2.5599,35.0247,0,2,3,3,4,Pb5O4(CrO4),96-153-4030
2.5528,35.1249,0.07,5,1,2,4,Pb5O4(CrO4),96-153-4030
2.5481,35.192,0.68,1,2,4,4,Pb5O4(CrO4),96-153-4030
2.5153,35.6664,0,-3,0,4,2,Pb5O4(CrO4),96-153-4030
2.5119,35.7161,0.19,3,4,0,4,Pb5O4(CrO4),96-153-4030
2.478,36.2211,0.15,3,0,4,2,Pb5O4(CrO4),96-153-4030
2.465,36.4197,0.42,6,0,0,2,Pb5O4(CrO4),96-153-4030
2.4644,36.4288,9.97,-2,4,2,4,Pb5O4(CrO4),96-153-4030
2.4593,36.5063,0.02,-2,2,4,4,Pb5O4(CrO4),96-153-4030
2.4593,36.5074,1.08,3,4,-1,4,Pb5O4(CrO4),96-153-4030
2.4589,36.513,2.21,-3,1,4,4,Pb5O4(CrO4),96-153-4030
2.4525,36.6112,11.7,2,4,2,4,Pb5O4(CrO4),96-153-4030
2.4504,36.644,0.01,3,4,1,4,Pb5O4(CrO4),96-153-4030
2.4456,36.7188,0.61,4,2,-3,4,Pb5O4(CrO4),96-153-4030
2.4442,36.7396,1.6,4,3,-2,4,Pb5O4(CrO4),96-153-4030
2.4359,36.8696,0.51,2,2,4,4,Pb5O4(CrO4),96-153-4030
2.424,37.0567,0.93,3,1,4,4,Pb5O4(CrO4),96-153-4030
2.4213,37.1009,0.23,4,3,2,4,Pb5O4(CrO4),96-153-4030
2.415,37.2004,3.16,5,2,-2,4,Pb5O4(CrO4),96-153-4030
2.4118,37.2514,0.25,6,1,0,4,Pb5O4(CrO4),96-153-4030
2.4113,37.2599,1.7,4,2,3,4,Pb5O4(CrO4),96-153-4030
2.4079,37.3136,1.97,3,3,-3,4,Pb5O4(CrO4),96-153-4030
2.3874,37.6469,2.5,5,2,2,4,Pb5O4(CrO4),96-153-4030
2.3833,37.7146,0.27,3,3,3,4,Pb5O4(CrO4),96-153-4030
2.3691,37.949,8.94,6,1,-1,4,Pb5O4(CrO4),96-153-4030
2.3551,38.1832,0.02,5,3,0,4,Pb5O4(CrO4),96-153-4030
