d,two_theta,intensity,h,k,l,mult,phase,id
1.2981,72.8004,0.07,4,3,2,8,Anglesite,96-900-4485
1.2857,73.6167,16.5,0,2,4,4,Anglesite,96-900-4485
1.2836,73.753,48.74,5,2,1,8,Anglesite,96-900-4485
1.2756,74.2951,13.4,2,4,3,8,Anglesite,96-900-4485
1.2714,74.5793,14.71,2,6,1,8,Anglesite,96-900-4485
1.2696,74.7073,33.04,3,3,3,8,Anglesite,96-900-4485
1.2643,75.0765,19.01,1,2,4,8,Anglesite,96-900-4485
1.2579,75.5188,17.25,2,0,4,4,Anglesite,96-900-4485
1.2511,76.0056,19.53,0,6,2,4,Anglesite,96-900-4485
1.2478,76.2405,11.76,5,3,0,4,Anglesite,96-900-4485
1.2443,76.4951,58.32,2,1,4,8,Anglesite,96-900-4485
1.2369,77.0392,19.83,4,1,3,8,Anglesite,96-900-4485
1.2313,77.4499,22.28,1,6,2,8,Anglesite,96-900-4485
1.2234,78.0436,0.01,5,1,2,8,Anglesite,96-900-4485
1.2202,78.2937,101.61,3,5,2,8,Anglesite,96-900-4485
1.2158,78.6321,10.37,5,3,1,8,Anglesite,96-900-4485
1.2145,78.7273,4.22,1,5,3,8,Anglesite,96-900-4485
1.2135,78.8074,1.89,4,5,0,4,Anglesite,96-900-4485
1.2059,79.3988,0.01,3,6,0,4,Anglesite,96-900-4485
1.2059,79.4014,3.87,2,2,4,8,Anglesite,96-900-4485
1.203,79.6324,0.05,4,4,2,8,Anglesite,96-900-4485
1.1993,79.9296,13.91,1,3,4,8,Anglesite,96-900-4485
1.1991,79.9398,7.11,4,2,3,8,Anglesite,96-900-4485
1.1924,80.4852,0.53,1,7,0,4,Anglesite,96-900-4485
1.1869,80.9344,26.19,5,2,2,8,Anglesite,96-900-4485
1.1839,81.1777,39.99,4,5,1,8,Anglesite,96-900-4485
1.1802,81.4882,0.09,3,4,3,8,Anglesite,96-900-4485
1.1772,81.7385,7.92,2,6,2,8,Anglesite,96-900-4485
1.1769,81.7649,0.07,3,6,1,8,Anglesite,96-900-4485
1.1643,82.8444,8.83,1,7,1,8,Anglesite,96-900-4485
1.1627,82.9862,34.7,5,4,0,4,Anglesite,96-900-4485
1.1625,82.9996,33.25,2,5,3,8,Anglesite,96-900-4485
1.1591,83.2938,21.88,6,0,0,2,Anglesite,96-900-4485
1.1553,83.6352,6.19,3,1,4,8,Anglesite,96-900-4485
1.1491,84.1884,7.33,2,3,4,8,Anglesite,96-900-4485
1.1485,84.2467,0.18,6,1,0,4,Anglesite,96-900-4485
1.1432,84.7206,30.85,4,3,3,8,Anglesite,96-900-4485
1.143,84.7386,26.31,2,7,0,4,Anglesite,96-900-4485
1.138,85.2013,0.1,0,4,4,4,Anglesite,96-900-4485
1.1366,85.3326,0.02,5,4,1,8,Anglesite,96-900-4485
1.1326,85.7048,16.84,5,3,2,8,Anglesite,96-900-4485
1.1243,86.488,0.41,3,2,4,8,Anglesite,96-900-4485
1.1233,86.5885,0.51,6,1,1,8,Anglesite,96-900-4485
1.1231,86.6106,65.91,1,4,4,8,Anglesite,96-900-4485
1.1182,87.0788,14.2,2,7,1,8,Anglesite,96-900-4485
1.118,87.0971,10.7,6,2,0,4,Anglesite,96-900-4485
1.1108,87.8143,22.11,0,6,3,4,Anglesite,96-900-4485
1.1067,88.2145,0.55,4,5,2,8,Anglesite,96-900-4485
1.101,88.7954,0.02,3,6,2,8,Anglesite,96-900-4485
1.1004,88.8532,20.07,5,0,3,4,Anglesite,96-900-4485
1.0969,89.2205,25.75,1,6,3,8,Anglesite,96-900-4485
1.0961,89.299,2.38,4,6,0,4,Anglesite,96-900-4485
1.0948,89.4324,38.52,6,2,1,8,Anglesite,96-900-4485
1.0913,89.8006,6.84,5,1,3,8,Anglesite,96-900-4485
1.0907,89.8653,0.15,1,7,2,8,Anglesite,96-900-4485
1.0889,90.0454,15.62,3,5,3,8,Anglesite,96-900-4485
1.0816,90.8297,0.02,2,4,4,8,Anglesite,96-900-4485
1.0779,91.2269,51.71,3,3,4,8,Anglesite,96-900-4485
1.0767,91.3594,11.61,4,4,3,8,Anglesite,96-900-4485
1.0751,91.5298,4.19,5,5,0,4,Anglesite,96-900-4485
1.0742,91.6333,6.23,4,6,1,8,Anglesite,96-900-4485
1.0729,91.7747,3.11,3,7,0,4,Anglesite,96-900-4485
1.0723,91.8353,0,6,3,0,4,Anglesite,96-900-4485
1.0678,92.3407,46.4,5,4,2,8,Anglesite,96-900-4485
1.0667,92.463,9.06,1,0,5,4,Anglesite,96-900-4485
1.066,92.5416,6.28,4,0,4,4,Anglesite,96-900-4485
1.0651,92.6436,23.53,5,2,3,8,Anglesite,96-900-4485
1.0651,92.6464,26.25,6,0,2,4,Anglesite,96-900-4485
1.059,93.335,19.97,0,8,0,2,Anglesite,96-900-4485
1.0583,93.4116,8.76,1,1,5,8,Anglesite,96-900-4485
1.0581,93.4396,7.67,2,6,3,8,Anglesite,96-900-4485
1.0576,93.4902,32.01,4,1,4,8,Anglesite,96-900-4485
1.0567,93.5951,1.11,6,1,2,8,Anglesite,96-900-4485
1.0544,93.8666,5.06,5,5,1,8,Anglesite,96-900-4485
1.0525,94.0858,34.88,2,7,2,8,Anglesite,96-900-4485
1.0523,94.112,36.99,3,7,1,8,Anglesite,96-900-4485
1.0518,94.1728,0.02,6,3,1,8,Anglesite,96-900-4485
1.0469,94.7442,0.05,1,8,0,4,Anglesite,96-900-4485
1.046,94.8517,18.27,0,2,5,4,Anglesite,96-900-4485
1.0436,95.1455,9.81,1,5,4,8,Anglesite,96-900-4485
1.0392,95.6764,0.01,0,8,1,4,Anglesite,96-900-4485
1.0344,96.264,26.52,1,2,5,8,Anglesite,96-900-4485
1.0338,96.343,4.47,4,2,4,8,Anglesite,96-900-4485
1.0329,96.4483,20.13,6,2,2,8,Anglesite,96-900-4485
1.0278,97.0909,21.15,1,8,1,8,Anglesite,96-900-4485
1.0253,97.3998,8.13,5,3,3,8,Anglesite,96-900-4485
