# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x-combined_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Ymi_y.1,Ymi_y.2,Ymi_y.3,Ymi_y.4,Ymi_y.5,Ymi_y.6,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,Ycens_xstar.8,Ycens_xstar.9,Ycens_xstar.10,Ycens_xstar.11,Ycens_xstar.12,Ycens_xstar.13,lprior,b_y_Intercept,b_xstar_Intercept
-446.126,0.999892,0.00134007,5,31,0,551.056,2.03593,1.13223,-0.497488,-0.292873,1.33024,-0.574742,0.64678,-0.977224,1.153,0.982042,-1.52902,3.62601,-1.48431,-4.88927,-2.16151,-1.82661,-2.02785,-1.13207,-5.07779,-2.16972,-1.1405,-3.81751,-4.62349,-2.35567,-3.51718,-8.86057,0.64678,-1.52902
-355.283,1,0.00146171,5,31,0,451.504,2.06283,1.12313,-0.504668,-0.293306,1.32038,-0.556257,0.644076,-0.892348,1.31582,0.987223,-1.53333,3.52529,-1.48969,-4.8544,-2.16107,-1.82488,-1.99418,-1.13161,-5.05688,-2.17552,-1.13812,-3.82188,-4.6665,-2.34156,-3.57937,-8.82915,0.644076,-1.53333
-169.145,0.999996,0.00160247,6,63,0,369.166,1.96387,1.12713,-0.560283,-0.349934,1.46641,-0.535537,0.666274,-0.452947,3.20891,1.02395,-1.54826,3.02368,-1.49511,-4.21152,-2.10973,-1.8758,-1.93349,-1.12961,-5.07224,-2.19151,-1.1226,-3.35934,-4.80887,-2.18881,-3.22928,-8.86842,0.666274,-1.54826
-151.663,0.999978,0.00176253,10,1023,0,180.065,1.91042,1.4496,-1.13578,-2.42767,2.20497,-0.844334,1.3914,1.26221,4.1437,0.890244,0.388583,2.03727,-4.04273,-3.88597,-1.27592,-2.70676,-1.76605,-1.05409,-3.0111,-1.90552,-1.30538,-2.04732,-1.89009,-1.32679,-2.06655,-8.38554,1.3914,0.388583
-142.44,0.99999,0.00194264,10,1023,0,162.316,1.17813,0.59198,-1.08846,-2.72524,2.32039,-1.40808,0.869492,1.68298,0.970729,0.750207,-0.03774,2.09425,-3.80123,-4.79073,-1.50259,-2.8239,-1.76402,-1.05438,-3.92406,-1.60869,-1.45646,-1.96631,-2.1165,-1.2563,-1.84585,-7.91967,0.869492,-0.03774
-142.38,0.999998,0.00214398,10,1023,0,162.386,-1.04431,1.13313,-2.45457,-0.131085,3.43359,-1.63602,0.392542,1.79861,1.30475,0.551883,-0.377852,1.58328,-1.27493,-2.6313,-1.61139,-1.34995,-2.95668,-1.10544,-3.15469,-2.45103,-1.90451,-1.51497,-2.09647,-1.43894,-1.95261,-7.79992,0.392542,-0.377852
-136.961,1,0.0023677,10,1023,0,156.058,-4.40547,-0.400996,-0.942696,0.339744,0.766943,1.94693,1.43146,1.3221,1.25876,1.90076,-0.551657,2.18679,-4.05372,-3.0306,-3.36294,-5.0207,-1.7797,-4.3437,-5.57242,-2.83274,-1.75731,-1.24785,-1.43266,-1.26122,-1.45716,-8.05157,1.43146,-0.551657
-135.742,0.999998,0.00261503,10,1023,0,150.24,-5.11749,-1.1843,1.86132,1.99356,0.110152,0.96397,1.16367,1.3586,1.38286,2.12992,-0.802916,2.31061,-1.94623,-2.39694,-2.77937,-1.73517,-4.22915,-2.50747,-4.88203,-4.28234,-2.09644,-2.29239,-1.37404,-1.21357,-1.79265,-8.14006,1.16367,-0.802916
-132.899,0.999982,0.00288727,10,1023,0,149.028,-5.75095,-3.28649,0.294828,-2.15676,1.30038,-1.54384,0.0147473,1.79808,1.25911,0.169478,-0.580808,1.81817,-1.36295,-2.33545,-1.44744,-1.41818,-1.5593,-3.21464,-2.69837,-2.97708,-1.73288,-1.22963,-1.57387,-1.62956,-1.58958,-7.90601,0.0147473,-0.580808
-128.329,0.999995,0.00318571,10,1023,0,142.325,-5.75358,-3.11073,0.142249,-2.17514,0.757375,-1.34211,-0.053955,1.9504,1.80765,0.541229,-0.718457,1.81065,-1.33415,-3.20561,-1.49359,-1.62828,-1.6158,-3.25268,-3.32362,-2.79449,-1.91162,-1.23685,-1.76752,-1.68422,-1.66243,-7.98315,-0.053955,-0.718457
-129.419,0.999988,0.00351209,10,1023,0,141.901,-6.19977,-2.755,1.23654,-2.12582,0.251834,-3.01735,0.873739,1.654,1.56921,3.62489,-0.240318,2.11386,-1.22361,-4.20821,-2.38486,-3.8346,-3.46996,-1.6909,-4.27773,-4.13363,-3.18003,-1.06419,-1.72233,-1.1766,-2.06761,-7.99014,0.873739,-0.240318
