# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x-combined_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Ymi_y.1,Ymi_y.2,Ymi_y.3,Ymi_y.4,Ymi_y.5,Ymi_y.6,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,Ycens_xstar.8,Ycens_xstar.9,Ycens_xstar.10,Ycens_xstar.11,Ycens_xstar.12,Ycens_xstar.13,lprior,b_y_Intercept,b_xstar_Intercept
-183.226,1,0.0625,2,3,0,294.459,2.04262,1.13768,-1.74917,-0.180939,-0.131138,-1.29429,-0.644836,0.941672,1.79241,0.24088,1.51702,1.71596,-6.11121,-1.54492,-1.34552,-2.99613,-1.37401,-2.24793,-2.26961,-3.46312,-1.68664,-1.31177,-1.46816,-4.36841,-1.45275,-8.07244,-0.644836,1.51702
-183.226,0,10.1835,0,1,1,192.084,2.04262,1.13768,-1.74917,-0.180939,-0.131138,-1.29429,-0.644836,0.941672,1.79241,0.24088,1.51702,1.71596,-6.11121,-1.54492,-1.34552,-2.99613,-1.37401,-2.24793,-2.26961,-3.46312,-1.68664,-1.31177,-1.46816,-4.36841,-1.45275,-8.07244,-0.644836,1.51702
-183.226,0,0.99273,0,1,1,193.424,2.04262,1.13768,-1.74917,-0.180939,-0.131138,-1.29429,-0.644836,0.941672,1.79241,0.24088,1.51702,1.71596,-6.11121,-1.54492,-1.34552,-2.99613,-1.37401,-2.24793,-2.26961,-3.46312,-1.68664,-1.31177,-1.46816,-4.36841,-1.45275,-8.07244,-0.644836,1.51702
-155.187,0.994231,0.0525042,6,127,0,191.085,-1.35799,1.2578,-1.46611,-1.83707,-0.465195,-0.292189,2.05101,2.38144,3.12803,0.510033,-1.15674,2.96085,-1.62647,-7.21298,-1.23419,-2.40056,-5.09209,-3.19564,-2.9439,-1.74408,-2.37825,-2.02914,-1.27403,-1.5963,-3.43893,-8.78883,2.05101,-1.15674
-145.585,0.998439,0.0363742,8,255,0,166.32,-4.22477,-7.86268,-5.9666,-4.65457,-4.54052,-7.03146,-0.941569,1.81411,2.16071,0.976209,-0.186071,1.47398,-1.00093,-1.09491,-2.07147,-1.78926,-1.22086,-1.2806,-1.69979,-1.1669,-3.56098,-2.15828,-1.03898,-2.14765,-1.78277,-7.90846,-0.941569,-0.186071
-131.7,0.990576,0.0292159,7,127,0,154.551,-2.88357,-5.86301,-3.85925,-2.42604,-4.33003,-5.31078,-0.611464,1.68916,1.64148,2.48656,-0.141952,1.69616,-1.02384,-1.83666,-1.15372,-1.6872,-2.16392,-1.48727,-3.11787,-2.12555,-1.88924,-1.08418,-1.3693,-2.22002,-1.76394,-7.88298,-0.611464,-0.141952
-133.883,0.978705,0.0250039,6,127,0,153.07,-3.28857,-4.49826,-5.59705,-2.38478,-2.3952,-6.75438,0.517034,1.72488,1.62436,2.05286,-0.192839,2.11579,-1.0642,-1.63164,-1.7424,-1.4938,-1.49517,-2.30636,-2.34793,-1.62325,-2.21317,-1.1639,-2.66504,-1.7233,-3.00864,-7.98764,0.517034,-0.192839
-129.365,0.999558,0.0218565,7,127,0,145.196,-3.95277,-1.59127,-3.71521,-3.89197,-2.68322,-5.47645,-0.157119,1.84292,1.67775,2.01944,-0.500416,2.82611,-1.02425,-3.63118,-2.15133,-1.91172,-1.73083,-1.54531,-3.78787,-2.07618,-1.71731,-2.7107,-1.05829,-1.5169,-2.26947,-8.32411,-0.157119,-0.500416
-121.334,0.99823,0.0212297,8,383,0,138.892,-4.43958,-2.84678,-4.79464,-2.56152,-1.01958,-5.87178,0.132612,1.82931,1.02762,1.60242,-0.0864655,1.66594,-1.031,-4.71564,-1.49624,-1.86347,-2.12963,-2.03877,-3.49629,-2.37733,-1.50951,-1.85848,-1.23565,-1.84776,-4.32725,-7.78171,0.132612,-0.0864655
-118.264,0.987646,0.0211496,8,255,0,132.441,-2.65016,-5.07383,-3.57697,-1.24559,-2.60639,-4.7752,0.0852996,1.78642,0.900506,2.32998,-0.18249,2.44454,-1.22775,-3.13727,-1.68695,-1.49155,-1.42834,-1.39237,-4.03281,-1.56611,-2.50285,-2.50582,-1.05805,-1.14148,-3.51303,-8.05902,0.0852996,-0.18249
