# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x-combined_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Ymi_y.1,Ymi_y.2,Ymi_y.3,Ymi_y.4,Ymi_y.5,Ymi_y.6,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,Ycens_xstar.8,Ycens_xstar.9,Ycens_xstar.10,Ycens_xstar.11,Ycens_xstar.12,Ycens_xstar.13,lprior,b_y_Intercept,b_xstar_Intercept
-1271.58,1,0.015625,8,255,0,4310.97,0.34768,-0.588095,0.0338849,1.42997,0.537416,1.81416,1.59457,-1.77794,1.17593,-1.30151,-0.21404,0.368362,-2.96861,-1.97085,-1.97756,-6.04765,-1.49921,-5.13707,-2.19036,-1.32952,-4.42305,-3.08048,-3.50807,-1.41268,-3.4904,-7.57469,1.59457,-0.21404
-1271.58,0,10.1835,0,1,1,1288.09,0.34768,-0.588095,0.0338849,1.42997,0.537416,1.81416,1.59457,-1.77794,1.17593,-1.30151,-0.21404,0.368362,-2.96861,-1.97085,-1.97756,-6.04765,-1.49921,-5.13707,-2.19036,-1.32952,-4.42305,-3.08048,-3.50807,-1.41268,-3.4904,-7.57469,1.59457,-0.21404
-1271.58,0,0.99273,0,1,1,1287.04,0.34768,-0.588095,0.0338849,1.42997,0.537416,1.81416,1.59457,-1.77794,1.17593,-1.30151,-0.21404,0.368362,-2.96861,-1.97085,-1.97756,-6.04765,-1.49921,-5.13707,-2.19036,-1.32952,-4.42305,-3.08048,-3.50807,-1.41268,-3.4904,-7.57469,1.59457,-0.21404
-167.604,0.33356,0.0525042,2,3,0,1261.14,0.462754,-0.6072,0.0411325,1.48276,0.571127,1.79282,1.55389,-1.20844,5.68256,-1.24501,-0.442187,1.88546,-2.72106,-2.07551,-1.91254,-4.13986,-1.48113,-4.13868,-2.10362,-1.31236,-3.82009,-2.81548,-3.35661,-1.40994,-3.15206,-8.73753,1.55389,-0.442187
-156.91,0.999734,0.00550814,10,1023,0,178.695,-1.71075,0.577887,-4.63294,3.5151,3.33696,3.10954,1.28347,0.541484,3.17979,0.353351,-0.134457,1.66028,-1.63875,-2.40403,-2.47819,-1.30469,-1.46096,-1.37713,-2.07938,-1.41128,-1.19216,-1.23877,-1.00645,-2.03312,-1.10121,-8.07224,1.28347,-0.134457
-146.028,0.999869,0.00409117,10,1023,0,171.672,-0.941386,-1.75568,-2.82635,3.99577,0.951105,2.63524,0.100296,1.87125,1.75145,1.08779,-0.607009,1.54922,-2.37206,-2.15709,-1.08486,-1.42962,-2.9129,-2.28128,-2.68029,-2.46901,-1.5931,-1.02199,-1.05432,-1.33423,-1.1246,-7.87096,0.100296,-0.607009
-146.883,0.999991,0.00341632,10,1023,0,157.074,-1.45717,-0.380039,-3.53272,2.97771,0.878303,3.73831,1.34938,1.53026,2.15894,-0.237633,-0.62697,2.32584,-1.88575,-6.09959,-1.11928,-4.21233,-2.20199,-2.5198,-5.71748,-1.93144,-3.11785,-1.02759,-1.01129,-1.36305,-1.09276,-8.20807,1.34938,-0.62697
-137.696,0.999997,0.00308723,10,1023,0,155.334,-3.63096,-0.598931,-2.30138,0.932127,0.24596,3.18909,0.387759,1.87703,1.57371,-0.243405,-0.390956,1.58902,-1.40614,-2.8184,-1.83396,-1.60254,-1.88357,-2.52657,-2.6851,-2.18268,-1.30416,-1.03738,-1.03032,-1.0795,-1.151,-7.82791,0.387759,-0.390956
-135.182,0.999821,0.00294663,10,1023,0,148.439,-3.53803,-2.35347,-1.9344,1.79717,-1.37439,3.34668,0.493327,1.50422,1.77431,2.00303,-0.139053,2.18906,-1.05619,-4.58742,-2.07596,-1.66146,-2.30435,-1.82227,-5.69122,-2.31332,-1.27101,-1.56915,-1.03911,-1.49844,-1.24833,-8.02646,0.493327,-0.139053
-132.535,0.999989,0.00292226,10,1023,0,145.998,-3.53723,-2.45663,-2.64921,2.61518,-1.22037,1.39411,0.163234,1.71509,1.39158,1.46802,-0.459052,1.7436,-1.69785,-3.51109,-2.72509,-2.60518,-2.33707,-1.3281,-2.36894,-2.41846,-1.05605,-2.753,-1.19308,-1.67346,-1.56992,-7.87082,0.163234,-0.459052
