# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = model_e2be5eb6573ecac874026412491317bd_model
# start_datetime = 2024-09-05 18:28:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/standata-177628368cc7.json
# init = 2 (Default)
# random
#   seed = 1245
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-202409051528-3-470c15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-profile-202409051528-3-45bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=model_e2be5eb6573ecac874026412491317bd_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,ar.1,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.388336
# Diagonal elements of inverse mass matrix:
# 0.000459643, 0.834881, 0.912687, 0.0212678, 0.707355
-64.6411,0.963679,0.388336,3,7,0,66.4526,0.112292,9.83721,0.875433,0.61148,13.2678,-8.44739,4.33492
-66.875,0.853963,0.388336,3,7,0,70.2565,0.0954046,9.61517,0.992571,0.709429,8.43725,-8.42041,4.94034
-67.4398,0.955316,0.388336,3,7,0,68.9287,0.0549205,8.29595,0.970669,0.574333,13.6867,-8.4537,5.60484
-67.8716,0.932124,0.388336,2,7,0,69.8071,0.0483277,7.61315,0.976548,0.556463,9.44833,-8.4553,5.24509
-66.0613,0.903806,0.388336,2,3,0,70.0662,0.0567444,8.05522,0.976302,0.606777,5.97975,-8.52885,5.27474
-69.9488,0.571866,0.388336,2,7,0,71.668,0.042851,8.84396,0.994513,0.570756,3.5803,-8.76756,6.74426
-66.2886,0.979768,0.388336,4,15,0,69.7411,0.100577,10.7846,0.901844,0.711303,26.6796,-9.1914,5.85635
-65.9689,1,0.388336,3,11,0,67.545,0.0952266,10.3286,0.989618,0.639982,7.78625,-8.48541,5.66254
-66.344,1,0.388336,3,7,0,66.6774,0.0972947,10.2426,0.992612,0.645678,7.54057,-8.48526,5.47516
-65.6133,0.918656,0.388336,3,15,0,67.5523,0.0888006,9.98358,0.979698,0.741252,29.0022,-9.26488,5.63235
-66.13,0.997677,0.388336,3,7,0,67.2239,0.0955802,9.68596,0.991288,0.653968,10.7501,-8.40995,5.00253
-65.1706,0.950631,0.388336,3,15,0,67.8915,0.108822,10.8293,0.957004,0.639849,24.8857,-9.09063,5.49706
-66.3036,0.925734,0.388336,3,7,0,66.7504,0.0694545,8.91794,0.91647,0.762486,11.851,-8.39962,5.51466
-65.755,0.945163,0.388336,3,7,0,67.6524,0.0982802,9.98601,0.98443,0.731681,26.3497,-9.09664,5.17028
-64.8094,0.998301,0.388336,3,7,0,66.236,0.0956705,9.54122,0.813232,0.688634,15.7958,-8.50663,4.85337
-64.3062,0.820397,0.388336,2,3,0,66.2217,0.102884,9.76583,0.958041,0.634182,16.8308,-8.57005,4.72454
-63.7297,0.91296,0.388336,3,7,0,69.4114,0.0967049,9.47295,0.93907,0.670769,20.3043,-8.71463,4.73441
-64.9667,0.880894,0.388336,3,7,0,66.2373,0.110403,9.87821,0.951347,0.628679,5.93238,-8.52999,4.46844
-67.4223,0.890241,0.388336,2,7,0,68.9377,0.0700429,9.69088,0.985999,0.637666,26.1525,-9.05784,6.25878
-65.7946,0.997111,0.388336,3,7,0,70.1927,0.0893004,8.69571,0.918992,0.756659,23.286,-8.87257,4.31999
-64.4882,0.901116,0.388336,4,15,0,68.2048,0.0967745,10.2451,0.969652,0.616421,7.19771,-8.49348,5.50312
-65.7629,0.989467,0.388336,3,7,0,66.7249,0.125898,11.0878,0.955258,0.71759,20.4479,-8.88651,4.91876
-65.8673,0.905286,0.388336,3,7,0,67.3239,0.0902941,10.1494,0.985128,0.666827,24.435,-8.9899,5.72497
-63.6122,0.94611,0.388336,3,7,0,66.9269,0.090213,9.54442,0.949363,0.634674,11.433,-8.40339,5.12399
-66.0181,0.89729,0.388336,3,7,0,66.3412,0.0579212,8.88817,0.959967,0.560517,4.00622,-8.69347,6.05003
-64.921,0.947381,0.388336,3,9,0,67.0041,0.0987573,10.5064,0.913359,0.62051,10.4443,-8.4675,5.66731
-66.0887,0.889132,0.388336,3,7,0,67.102,0.0962365,9.45818,0.976959,0.601207,20.1803,-8.70863,4.74259
-66.6463,0.781666,0.388336,3,7,0,68.2111,0.101644,8.91906,0.92928,0.737203,5.65513,-8.5225,3.93853
-66.8772,0.94478,0.388336,3,7,0,69.5621,0.0736473,9.57251,0.867168,0.707254,14.5973,-8.4708,5.9638
-67.9807,0.88915,0.388336,4,15,0,70.9099,0.145375,11.9355,0.982149,0.784508,34.1046,-9.90006,4.81209
-66.4378,0.975414,0.388336,3,15,0,69.3508,0.114043,11.6222,0.969977,0.75211,26.5415,-9.32715,6.03413
-65.7682,0.986641,0.388336,3,7,0,67.3301,0.12049,10.6908,0.964143,0.679115,33.3207,-9.62822,4.7868
-67.3948,0.973986,0.388336,3,7,0,68.5685,0.103244,11.0728,0.994233,0.74679,14.8632,-8.64847,6.01387
-66.4398,0.874013,0.388336,3,7,0,70.4426,0.0902683,8.67089,0.963513,0.800269,22.0709,-8.81294,4.24774
-68.9768,0.893696,0.388336,3,15,0,70.3422,0.0853196,11.2673,0.928722,0.757832,12.8651,-8.61505,7.08666
-66.3425,0.995775,0.388336,3,15,0,70.8816,0.101971,8.90521,0.961,0.646919,6.06441,-8.4923,3.90861
-64.0406,0.914153,0.388336,3,7,0,67.7834,0.0835565,9.40929,0.951595,0.551521,5.53961,-8.52933,5.31502
-64.1449,0.88539,0.388336,3,7,0,65.7106,0.0912436,9.82912,0.905961,0.540013,5.8202,-8.52371,5.35818
-65.4149,0.588772,0.388336,3,11,0,69.2758,0.0991364,10.205,0.928788,0.848886,33.5291,-9.59319,5.34733
-64.6021,0.980485,0.388336,3,7,0,66.3624,0.106191,10.532,0.939511,0.761419,28.5157,-9.28439,5.3286
-63.3797,0.983635,0.388336,4,15,0,65.603,0.101244,9.97867,0.931583,0.703926,18.6491,-8.66435,5.01773
