# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.995
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/armodel_gam_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,ar.1,sigma,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,b_Intercept
-3835.25,1,0.00195312,2,3,0,17466.1,-0.739129,0.821874,-0.403554,-1.65364,0.170583,1.66474,-0.455899,1.93061,0.0220863,0.40045,0.183557,0.97171,0.161666,-0.0740751,-0.303537,0.0313116,0.305574,-0.0836833,0.354376,0.00405408,0.0735053,-0.739129
-3835.25,0,10.0913,0,1,1,3843.58,-0.739129,0.821874,-0.403554,-1.65364,0.170583,1.66474,-0.455899,1.93061,0.0220863,0.40045,0.183557,0.97171,0.161666,-0.0740751,-0.303537,0.0313116,0.305574,-0.0836833,0.354376,0.00405408,0.0735053,-0.739129
-3835.25,0,0.969604,0,1,1,3840.33,-0.739129,0.821874,-0.403554,-1.65364,0.170583,1.66474,-0.455899,1.93061,0.0220863,0.40045,0.183557,0.97171,0.161666,-0.0740751,-0.303537,0.0313116,0.305574,-0.0836833,0.354376,0.00405408,0.0735053,-0.739129
-3835.25,0,0.050447,0,1,1,3840.57,-0.739129,0.821874,-0.403554,-1.65364,0.170583,1.66474,-0.455899,1.93061,0.0220863,0.40045,0.183557,0.97171,0.161666,-0.0740751,-0.303537,0.0313116,0.305574,-0.0836833,0.354376,0.00405408,0.0735053,-0.739129
-2788.9,1,0.00200582,2,3,0,3815.06,-0.742646,0.818701,-0.400866,-1.65122,0.177054,1.66395,-0.465163,1.92259,0.0240114,0.401712,0.18319,0.891652,0.183915,-0.0734346,-0.302488,0.0324345,0.30482,-0.0852132,0.3522,0.00439865,0.0735897,-0.742646
-2660.31,1,0.0014058,2,3,0,2793.91,-0.743321,0.82149,-0.4018,-1.64662,0.176714,1.66408,-0.463127,1.92254,0.0255826,0.401482,0.182298,0.888676,0.188341,-0.0732474,-0.300177,0.0322146,0.303359,-0.0844273,0.350475,0.00466367,0.0731895,-0.743321
-2498.07,1,0.00112368,3,7,0,2670.32,-0.74384,0.817807,-0.401141,-1.65481,0.173895,1.66375,-0.464532,1.93039,0.0311961,0.395319,0.181737,0.889414,0.194331,-0.072902,-0.300739,0.031603,0.302363,-0.0844224,0.350823,0.00566946,0.0718439,-0.74384
-2230.74,1,0.00098151,3,7,0,2507.02,-0.741577,0.826603,-0.399854,-1.65137,0.167269,1.66794,-0.46179,1.94417,0.0345594,0.3944,0.180284,0.897321,0.205524,-0.0720873,-0.297715,0.0301559,0.300704,-0.0832533,0.350503,0.0062305,0.071104,-0.741577
-498.008,1,0.000912067,8,255,0,2234.53,-0.486129,0.816412,-0.486568,-1.62282,0.195764,1.57126,-0.601517,2.04171,0.0342918,0.39097,0.181584,0.879346,21.0342,-0.0883532,-0.294679,0.0355478,0.285317,-0.109226,0.370742,0.00622687,0.0709941,-0.486129
-326.189,0.999465,0.000885823,9,575,0,503.518,-0.702822,0.930743,-0.388025,-1.73005,0.165237,1.45657,-0.469803,2.10153,0.358586,0.518926,0.161117,0.835768,4.98931,-0.0625173,-0.27874,0.0266225,0.234679,-0.0756932,0.338592,0.0577742,0.0836078,-0.702822
-316.735,0.999745,0.000886857,8,447,0,327.918,-0.655266,0.947476,-0.391132,-1.73258,0.189046,1.45518,-0.433433,2.10912,0.330027,0.530674,0.158441,0.831677,4.58658,-0.0619712,-0.274511,0.0299525,0.23056,-0.0686735,0.334169,0.0522897,0.0840803,-0.655266
-263.626,1,0.000909828,8,255,0,324.297,-0.628233,0.891414,-0.420596,-1.61787,0.0841449,1.29543,-0.563503,2.07163,0.364639,0.26991,0.165885,0.904873,2.78656,-0.0697704,-0.26838,0.0139583,0.214893,-0.0934765,0.343652,0.060488,0.0447738,-0.628233
-230.363,0.999959,0.000950518,8,255,0,269.528,-0.581129,0.703906,-0.345603,-1.61883,0.11861,1.33949,-0.74897,1.99978,0.469825,0.332143,0.156908,0.923229,1.84558,-0.0542278,-0.254008,0.0186109,0.210177,-0.117519,0.313782,0.0737193,0.0521159,-0.581129
-223.695,0.999986,0.00100576,10,1023,0,237.354,0.959271,1.40645,-0.0466101,-0.750638,0.420443,0.0180613,0.158641,-0.652235,0.947873,0.194943,0.307499,0.849381,1.78098,-0.0143326,-0.230821,0.129286,0.00555383,0.0487819,-0.200562,0.29147,0.0599449,0.959271
-212.365,1,0.00107446,8,255,0,225.962,0.893047,1.33391,-0.102443,-0.819773,0.458684,-0.122438,0.210365,-0.728657,0.987912,0.139473,0.31425,0.890832,1.3224,-0.0321927,-0.257613,0.144141,-0.038476,0.0661071,-0.22898,0.310451,0.0438295,0.893047
-212.083,0.999986,0.00115597,10,1023,0,216.985,0.690828,2.21191,0.251749,-1.21395,0.504865,-0.0959393,-0.315948,-0.349829,1.08875,-0.654551,0.296346,0.884715,1.20312,0.0746047,-0.35975,0.149615,-0.0284312,-0.09363,-0.10367,0.322645,-0.193974,0.690828
-214.6,0.999955,0.00124992,10,1023,0,219.29,0.582602,2.60481,-0.0185352,-2.07336,0.329787,1.65201,0.0573314,-0.0425932,1.11378,-1.68093,0.84443,0.865408,1.20846,-0.0156517,-1.75081,0.278482,1.39501,0.0484124,-0.0359669,0.940508,-1.41942,0.582602
-213.044,0.999916,0.00135625,10,1023,0,221.593,1.14537,2.10319,-0.555009,-1.71294,0.555629,-0.275811,-0.170471,1.27567,0.420007,-0.718667,1.99961,0.915432,1.18855,-1.1098,-3.42521,1.11104,-0.551516,-0.340875,2.55085,0.839852,-1.43706,1.14537
-212.696,0.998456,0.00147508,10,1023,0,218.512,1.13079,2.09402,-0.541668,-1.71568,0.521693,-0.178404,-0.158577,1.20375,0.411557,-0.869487,2.00361,0.881552,1.30819,-1.08529,-3.43755,1.04527,-0.357453,-0.317726,2.41185,0.824601,-1.74212,1.13079
-212.213,0.999354,0.00159983,10,1023,0,219.291,-0.474888,3.06159,0.163464,1.00399,-0.4835,-0.276649,0.62727,-0.74277,-0.00831505,1.20023,1.62799,0.873825,1.25658,0.266118,1.63448,-0.787134,-0.450382,1.02119,-1.20922,-0.0135368,1.95396,-0.474888
-214.125,0.999934,0.00174148,10,1023,0,220.856,0.63462,2.74748,0.644595,1.53268,-0.125284,-0.740127,1.01008,-0.0688821,0.354375,0.764733,1.67963,0.857668,1.29308,1.08268,2.57434,-0.210431,-1.24314,1.69655,-0.115696,0.595217,1.28447,0.63462
-211.33,0.999677,0.00189967,10,1023,0,216.893,0.100492,2.99742,0.390664,0.493248,0.256372,-1.18125,0.603635,0.307309,0.394654,0.64934,0.538323,0.90219,1.29959,0.210304,0.265527,0.138011,-0.635895,0.324951,0.165432,0.212451,0.349555,0.100492
-213.08,0.999425,0.00207055,10,1023,0,218.849,0.231513,5.65554,1.39706,0.530068,-1.22265,-0.69294,-0.525789,-0.485874,-0.544445,0.147193,1.13338,0.812811,1.34743,1.58341,0.600769,-1.38573,-0.785365,-0.595919,-0.55068,-0.617063,0.166826,0.231513
-216.642,0.999939,0.00225434,10,1023,0,220.289,0.395509,3.89327,-0.531934,-1.63536,1.1899,0.308857,1.80019,1.86371,0.698297,0.483483,0.552484,0.910341,1.3551,-0.293885,-0.903507,0.657398,0.170638,0.994574,1.02967,0.385798,0.267117,0.395509
-211.886,0.999815,0.00245659,10,1023,0,219.603,0.373607,3.03559,0.24111,0.0999392,-0.247037,-1.26761,-1.05409,-0.101063,-0.23451,0.670467,0.528728,0.864294,1.36911,0.127482,0.0528406,-0.130616,-0.670223,-0.557326,-0.053435,-0.123992,0.354495,0.373607
-210.399,0.99996,0.00267383,10,1023,0,214.754,0.179584,2.71637,0.682943,-0.103461,-0.113446,-0.493036,0.196446,-1.00364,0.339361,0.0161051,0.784496,0.879752,1.33459,0.535766,-0.0811647,-0.0889977,-0.386785,0.154111,-0.787353,0.266228,0.0126344,0.179584
-213.914,0.999658,0.00290865,10,1023,0,220.154,0.319539,3.17546,0.606573,-0.940478,-0.490338,-1.10683,-0.820645,-1.31441,-0.171769,-0.342269,2.31055,0.884066,1.11695,1.40152,-2.17302,-1.13295,-2.5574,-1.89614,-3.03701,-0.396882,-0.79083,0.319539
-212.653,0.998601,0.00315796,10,1023,0,225.941,-0.0271723,3.48631,0.560925,-1.14271,-0.269236,-1.0829,-0.817502,-0.743379,-0.413218,-0.612665,1.9508,0.883092,1.43876,1.09425,-2.2292,-0.525226,-2.11252,-1.59478,-1.45018,-0.806106,-1.19519,-0.0271723
-216.722,0.999907,0.00341457,10,1023,0,219.772,0.974412,2.3933,1.02425,0.180925,-0.361498,0.777997,-1.57014,-0.68297,0.465451,1.01216,6.48319,0.89137,1.49657,6.64038,1.17297,-2.34366,5.0439,-10.1795,-4.42782,3.0176,6.56204,0.974412
-216.955,0.999937,0.00370103,10,1023,0,221.605,0.771635,5.19564,0.332974,-0.569682,-0.265897,-0.500583,1.81002,-0.445098,-0.696576,-1.23762,0.115214,0.889135,1.0917,0.0383631,-0.0656352,-0.030635,-0.057674,0.208539,-0.0512814,-0.0802551,-0.142591,0.771635
-214.237,0.99995,0.00400671,10,1023,0,221.646,0.331171,5.27159,-0.413356,1.38599,0.457725,-0.218819,-0.662601,1.12282,0.617581,1.11676,0.870871,0.890348,1.14799,-0.35998,1.20702,0.398619,-0.190563,-0.57704,0.977833,0.537833,0.972554,0.331171
