# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,lprior,b_Intercept
-210.227,0.666667,0.125,1,3,1,259.399,-0.676626,0.370274,1.63813,-3.03276,-0.676626
-210.227,0,7.84723,0,1,1,210.874,-0.676626,0.370274,1.63813,-3.03276,-0.676626
-210.227,0,1.10816,0,1,1,211.19,-0.676626,0.370274,1.63813,-3.03276,-0.676626
-203.175,0.690682,0.0986461,2,3,0,207.442,-0.630419,0.37976,1.28918,-2.91462,-0.630419
-202.913,0.980427,0.0517084,4,15,0,205.36,-0.669674,0.401669,1.22751,-2.8623,-0.669674
-202.579,0.803237,0.0704248,2,3,0,203.77,-0.614889,0.405621,1.36439,-2.88927,-0.614889
-198.974,0.998374,0.0622245,3,7,0,203.235,-0.107567,0.448552,1.21238,-2.81577,-0.107567
-198.72,0.083081,0.106056,3,11,0,204.103,-0.553032,0.469588,1.21883,-2.78748,-0.553032
-197.031,0.999037,0.0106655,5,31,0,199.159,-0.432391,0.491583,1.20438,-2.77737,-0.432391
-196.269,0.994481,0.0193455,3,15,0,197.944,-0.379818,0.523329,1.28502,-2.80199,-0.379818
-196.324,0.995254,0.0354736,3,7,0,196.952,-0.326587,0.507414,1.15373,-2.7681,-0.326587
-195.949,0.97909,0.0661508,3,7,0,196.748,-0.370528,0.525976,1.26502,-2.79828,-0.370528
-199.4,0.0767891,0.118041,2,3,0,200.16,-0.498923,0.516322,1.41907,-2.83345,-0.498923
-197.141,0.995626,0.0124684,4,15,0,201.805,-0.539639,0.511116,1.19974,-2.77637,-0.539639
-195.823,0.998799,0.0238047,5,63,0,197.818,0.205165,0.833216,1.13878,-3.70165,0.205165
-193.379,0.990499,0.0457838,4,15,0,198.271,0.174682,0.730588,1.18737,-3.24563,0.174682
-192.981,1,0.085404,3,7,0,193.507,0.065536,0.74889,1.15107,-3.29324,0.065536
-192.981,0.0364127,0.162955,1,3,0,194.123,0.065536,0.74889,1.15107,-3.29324,0.065536
-192.935,0.984065,0.0166331,4,31,0,195.933,-0.252172,0.761448,1.20459,-3.32975,-0.252172
