# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-191.464,0.998469,0.055637,3,11,0,192.568,-0.0835451,0.746885,1.21795,-0.0835451
-193.426,0.738595,0.0887777,2,3,0,193.597,-0.117092,0.833437,1.20809,-0.117092
-192.11,1,0.0797912,2,3,0,193.167,-0.128981,0.781911,1.23602,-0.128981
-191.597,1,0.126753,2,3,0,191.921,-0.248594,0.645238,1.14049,-0.248594
-191.597,0,0.200263,0,1,1,201.842,-0.248594,0.645238,1.14049,-0.248594
-191.112,0.999933,0.0366641,3,7,0,191.676,-0.177759,0.735727,1.19047,-0.177759
-193.154,0.80005,0.0580103,3,7,0,194.986,0.0705394,0.709681,1.31278,0.0705394
-193.246,0.939085,0.0596948,2,3,0,194.464,0.043001,0.705836,1.03558,0.043001
-192.583,0.946568,0.0823844,4,15,0,194.99,-0.050333,0.721385,1.30136,-0.050333
-191.316,1,0.115083,1,1,0,191.634,-0.0414408,0.710269,1.12039,-0.0414408
-191.316,0.055374,0.179102,2,3,0,191.447,-0.0414408,0.710269,1.12039,-0.0414408
-191.738,0.97111,0.0388661,4,31,0,194.52,-0.314788,0.777019,1.18201,-0.314788
-192.313,0.934826,0.0570233,3,11,0,192.91,-0.0984918,0.630357,1.11226,-0.0984918
-192.7,0.999654,0.0773209,2,7,0,193.033,-0.0348383,0.811503,1.20831,-0.0348383
-192.7,0.170476,0.11934,2,7,0,194.133,-0.0348383,0.811503,1.20831,-0.0348383
-192.355,0.99988,0.0338461,3,7,0,193.34,0.0814878,0.67222,1.1135,0.0814878
-191.351,0.999898,0.0522398,3,15,0,192.704,-0.130036,0.730225,1.22293,-0.130036
-192.602,0.722845,0.0802721,2,7,0,194.075,-0.229167,0.646741,1.28659,-0.229167
-191.398,0.864886,0.0704222,2,3,0,194.335,-0.0913263,0.669787,1.13911,-0.0913263
-191.604,0.95596,0.0821446,2,5,0,191.79,-0.0571103,0.679951,1.10862,-0.0571103
-191.604,7.98548e-05,0.114648,1,3,0,194.645,-0.0571103,0.679951,1.10862,-0.0571103
-192.884,0.990785,0.024075,3,7,0,193.226,0.023904,0.810332,1.22757,0.023904
-193.122,0.989355,0.0360743,3,7,0,194.187,0.0168214,0.74937,1.31597,0.0168214
-191.624,1,0.05369,2,3,0,193.353,-0.0209662,0.672831,1.13356,-0.0209662
-193.895,0.827965,0.0812702,2,3,0,195.666,-0.0601123,0.82185,1.28936,-0.0601123
-197.518,0.275563,0.0877469,2,3,0,198.876,-0.217601,0.500531,1.07011,-0.217601
-193.295,0.998744,0.0325601,3,15,0,197.583,-0.333521,0.767785,1.31868,-0.333521
-193.207,1,0.0489838,3,7,0,193.808,-0.438303,0.695282,1.03958,-0.438303
-192.339,0.645162,0.0735883,2,5,0,195.682,-0.570742,0.726279,1.21723,-0.570742
-192.748,0.981741,0.0560057,2,3,0,193.014,-0.621927,0.689256,1.15911,-0.621927
-191.311,0.97312,0.080913,2,7,0,194.58,-0.24104,0.759416,1.16711,-0.24104
-191.54,0.733295,0.114625,2,7,0,191.978,-0.333477,0.752621,1.1182,-0.333477
-191.013,0.171977,0.103108,2,7,0,193.421,-0.163045,0.704492,1.18151,-0.163045
-192.285,0.942951,0.0324478,3,7,0,193.548,-0.203286,0.638768,1.08625,-0.203286
-191.113,0.999725,0.0434162,3,15,0,192.66,-0.308694,0.697325,1.17528,-0.308694
-191.941,0.945297,0.0643831,2,3,0,191.989,-0.344529,0.784032,1.18247,-0.344529
-191.941,0.225116,0.0860407,2,3,0,195.867,-0.344529,0.784032,1.18247,-0.344529
-192.68,0.976258,0.0304621,4,23,0,193.826,-0.110814,0.600271,1.17195,-0.110814
-191.878,0.999571,0.0431094,3,7,0,193.061,-0.205952,0.626655,1.1768,-0.205952
-191.028,0.953212,0.0634717,2,3,0,192.355,-0.206941,0.689104,1.16474,-0.206941
-192.58,0.608904,1.3699,1,3,0,193.528,0.236078,0.728689,1.13181,0.236078
