# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/armodel_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-176.914,0.985792,0.0239842,4,19,0,179.369,-0.143793,0.891534,1.00822,-0.143793
-177.507,0.956041,0.0371983,3,7,0,178.283,-0.1492,0.836094,1.13758,-0.1492
-178.198,0.972989,0.0538187,3,15,0,179.286,0.180877,0.845902,0.92183,0.180877
-178.642,0.213129,0.0804054,2,3,0,180.342,0.248301,0.789784,1.10178,0.248301
-177.532,1,0.0235564,3,7,0,178.798,0.258371,0.839398,1.10576,0.258371
-178.35,0.959944,0.0372674,2,3,0,178.532,0.267157,0.882271,1.15301,0.267157
-176.53,0.952005,0.0538907,3,11,0,179.328,-0.0439532,0.858839,1.0728,-0.0439532
-176.486,1,0.0763213,3,11,0,176.602,0.0443483,0.858279,0.994339,0.0443483
-176.351,0.384336,0.11904,1,3,0,177.199,-0.0969185,0.866445,1.02598,-0.0969185
-176.945,0.827836,0.0513269,2,3,0,177.566,-0.118857,0.807201,0.984877,-0.118857
-176.88,0.96657,0.0559004,3,11,0,178.111,0.182514,0.832569,1.05494,0.182514
-177.142,0.229032,0.0809258,3,15,1,180.288,-0.015699,0.828648,1.11143,-0.015699
-176.508,0.989403,0.0257632,4,23,0,178.08,-0.123805,0.82055,1.00852,-0.123805
-176.54,0.929537,0.0390701,3,15,0,177.936,-0.239817,0.846057,1.06849,-0.239817
-177.053,0.983538,0.05225,4,15,0,177.057,-0.379301,0.823825,1.07838,-0.379301
-176.796,0.97309,0.0776814,2,3,0,177.105,-0.340648,0.875234,1.00736,-0.340648
-178.728,0.31788,0.112636,1,1,0,178.827,-0.347265,0.860134,1.18288,-0.347265
-179.328,0.865026,0.0439593,3,7,0,183.839,-0.16729,0.856956,0.881702,-0.16729
-176.756,0.913127,0.0513647,3,7,0,180.031,-0.399047,0.852213,1.00324,-0.399047
-176.756,0.0883661,0.0659016,1,1,0,178.53,-0.399047,0.852213,1.00324,-0.399047
-177.188,0.997526,0.0166313,4,31,0,177.564,-0.519704,0.840095,1.05439,-0.519704
-177.506,0.970383,0.0252445,3,7,0,178.928,-0.40785,0.85028,0.949955,-0.40785
-179.355,0.827076,0.0361961,3,7,0,180.425,-0.29741,0.789273,1.1847,-0.29741
-178.659,1,0.0391605,2,3,0,179.413,-0.293242,0.810515,1.17234,-0.293242
-179.147,0.95064,0.0591239,2,3,0,180.001,-0.297143,0.900887,1.17758,-0.297143
-177.871,1,0.0808665,2,7,0,179.381,-0.378571,0.846428,1.14289,-0.378571
-177.871,0.278125,0.12121,1,1,0,178.517,-0.378571,0.846428,1.14289,-0.378571
-178.41,0.926193,0.0457288,2,7,0,179.964,-0.439952,0.906756,1.11876,-0.439952
-177.427,1,0.0595108,2,3,0,178.343,-0.488191,0.81197,1.04606,-0.488191
-180.36,0.062527,0.0888174,2,3,0,180.903,-0.467171,0.821289,0.883734,-0.467171
-178.48,0.989822,0.0226528,3,7,0,182.965,-0.361622,0.78134,1.12487,-0.361622
-179.58,0.946577,0.0331876,3,7,0,181.772,-0.27402,0.914504,1.17947,-0.27402
-176.644,0.932398,0.044703,3,7,0,180.195,-0.329975,0.865859,1.04984,-0.329975
-176.833,0.949572,0.0584949,1,1,0,176.865,-0.325356,0.87309,1.06749,-0.325356
-176.846,0.457832,0.0788241,3,11,0,179.005,-0.0816513,0.810257,1.06975,-0.0816513
-180.496,0.735983,0.0428479,2,3,0,180.505,-0.0632616,0.719199,1.11292,-0.0632616
-181.942,0.894052,0.0389785,2,7,0,183.828,0.0157518,0.697815,1.12017,0.0157518
-177.454,0.725034,0.0473534,3,11,0,183.862,-0.335951,0.89722,0.993057,-0.335951
-177.851,1,1.35156,2,3,0,178.083,-0.459213,0.830045,1.12505,-0.459213
-177.851,0,19.4428,0,1,1,179.629,-0.459213,0.830045,1.12505,-0.459213
-177.851,0,3.28586,0,1,1,178.348,-0.459213,0.830045,1.12505,-0.459213
-177.043,0.997152,0.324092,4,31,0,179.221,-0.127925,0.805078,0.980665,-0.127925
-176.356,0.991938,0.434801,3,15,0,177.911,-0.234809,0.853695,1.03276,-0.234809
-177.974,0.930331,0.663579,3,15,0,178.56,0.402189,0.838959,0.983659,0.402189
-177.92,0.944213,0.91177,3,7,0,178.889,0.164855,0.818376,1.12791,0.164855
-177.219,0.698549,1.36588,1,3,0,177.709,0.0787864,0.902928,1.02976,0.0787864
-177.659,0.36578,0.971261,2,3,0,178.973,0.0712103,0.788712,1.07038,0.0712103
-178.486,0.981157,0.243384,4,15,0,181.822,-0.380531,0.767438,0.999623,-0.380531
-178.988,0.923045,0.429205,2,3,0,180.432,-0.303928,0.756657,0.977737,-0.303928
-177.105,0.983687,0.63556,3,7,0,179.25,-0.477977,0.827326,1.03701,-0.477977
-177.284,0.347926,1.14387,2,3,0,179.771,-0.33114,0.871654,1.10756,-0.33114
-176.952,0.999457,0.28026,4,15,0,177.67,-0.195674,0.806206,0.988487,-0.195674
-178.085,0.97326,0.53321,3,15,0,178.174,-0.39925,0.910878,1.08608,-0.39925
-179.533,0.414366,0.930877,2,3,0,180.573,-0.356779,0.942005,1.03045,-0.356779
-177.448,0.930656,0.289482,2,7,0,183.148,-0.303876,0.78629,1.01999,-0.303876
-178.748,0.9486,0.443892,2,7,0,179.642,-0.35324,0.915968,1.12885,-0.35324
-178.748,0.143538,0.715091,1,1,0,181.823,-0.35324,0.915968,1.12885,-0.35324
-178.284,0.999991,0.101756,5,31,0,178.903,-0.172845,0.779676,0.954362,-0.172845
-177.636,0.998109,0.192295,4,31,0,179.691,-0.406389,0.884108,1.10905,-0.406389
-176.912,0.998703,0.357913,3,7,0,178.154,-0.30462,0.847564,0.966311,-0.30462
-176.334,0.876478,0.660822,3,11,0,178.941,0.0226743,0.853337,1.03349,0.0226743
-177.247,0.84192,0.846793,4,15,0,178.384,0.212706,0.879494,0.971838,0.212706
-176.933,1,0.97839,1,1,0,177.207,0.22829,0.875311,0.997367,0.22829
-176.933,0.000208574,1.77181,2,3,0,179.032,0.22829,0.875311,0.997367,0.22829
-176.46,0.994222,0.187062,5,47,0,178.653,-0.195697,0.828556,1.04985,-0.195697
-177.647,0.994807,0.334724,4,31,0,178.04,0.422559,0.868735,0.987242,0.422559
-177.532,0.993234,0.594123,3,7,0,177.919,0.350836,0.869981,1.09706,0.350836
-180.659,0.0934581,1.03998,2,3,0,181.099,0.372897,0.761263,1.03123,0.372897
-183.786,0.987414,0.15345,3,7,0,184.243,0.459695,0.727888,1.04858,0.459695
-177.705,0.992741,0.264911,4,23,0,185.3,-0.437205,0.865194,1.12404,-0.437205
-177.389,0.999306,0.459801,4,23,0,178.05,0.302552,0.836447,0.993721,0.302552
-176.556,0.995573,0.804919,3,11,0,178.169,-0.310518,0.863701,1.01408,-0.310518
-176.556,0.00627658,1.38264,1,1,0,178.868,-0.310518,0.863701,1.01408,-0.310518
-176.561,0.993931,0.174666,5,55,0,178.259,-0.262758,0.843337,0.988096,-0.262758
-176.64,0.996346,0.299757,4,15,0,176.939,-0.191041,0.872135,0.99008,-0.191041
-176.358,0.998563,0.513276,3,15,0,177.091,-0.0747173,0.866863,1.02154,-0.0747173
-176.933,0.712014,0.876534,3,11,0,178.903,0.254723,0.842079,1.03732,0.254723
-179.178,0.663534,0.715154,2,3,0,180,0.28166,0.824579,0.918626,0.28166
-177.371,1,0.517677,3,15,0,179.612,-0.150656,0.804607,1.10683,-0.150656
-179.869,0.756053,0.876372,2,3,0,180.835,-0.0326094,0.909268,0.903728,-0.0326094
-179.869,0.325144,0.80138,2,3,0,184.671,-0.0326094,0.909268,0.903728,-0.0326094
-180.019,0.996946,0.252599,2,3,0,180.15,-0.0241078,0.912181,0.903971,-0.0241078
-178.791,1,0.421657,3,7,0,181.406,-0.0519718,0.921565,0.961175,-0.0519718
-177.071,1,0.703901,2,7,0,178.869,0.115023,0.80924,1.03472,0.115023
-176.734,0.72651,1.16653,2,3,0,177.692,0.14684,0.877221,1.0526,0.14684
-178.799,0.51948,0.994227,2,3,0,179.125,0.135666,0.88932,0.912883,0.135666
-178.299,0.998577,0.517831,3,15,0,180.136,0.351291,0.856263,1.14297,0.351291
-177.751,1,0.848019,2,3,0,178.605,0.315023,0.825041,1.08462,0.315023
-178.22,0.995612,0.346027,4,15,0,178.96,-0.388669,0.789011,0.965042,-0.388669
-178.22,0,4.93822,0,1,1,180.9,-0.388669,0.789011,0.965042,-0.388669
-178.278,0.750993,0.832594,3,7,0,180.84,-0.693742,0.856785,1.10318,-0.693742
-178.466,0.899759,0.606682,2,7,0,182.657,0.075831,0.893341,0.924364,0.075831
-176.429,1,0.711436,2,3,0,178.456,-0.212216,0.839372,0.997395,-0.212216
-177.173,0.851169,1.20564,2,3,0,177.35,0.110989,0.862514,1.11086,0.110989
-176.819,1,1.37058,1,1,0,177.261,0.135702,0.831088,1.06307,0.135702
-176.819,1.30613e-44,2.51533,1,1,0,178.885,0.135702,0.831088,1.06307,0.135702
-177.126,0.995775,0.202943,4,15,0,177.916,-0.499883,0.861055,1.00206,-0.499883
-178.3,0.917649,0.371462,3,7,0,181.221,-0.303422,0.778699,0.964952,-0.303422
-177.142,1,0.537209,3,7,0,178.969,-0.00179939,0.82897,0.952568,-0.00179939
-177.192,0.97173,1.01256,2,3,0,177.528,-0.418631,0.873395,1.08481,-0.418631
-177.192,0.425004,1.74541,1,3,0,178.209,-0.418631,0.873395,1.08481,-0.418631
-176.715,0.99918,0.540266,3,7,0,177.355,-0.0718415,0.834812,0.969147,-0.0718415
-177.277,0.876565,1.01568,2,3,0,177.562,-0.266253,0.816335,1.10737,-0.266253
-180.657,0.495261,1.29759,2,3,0,181.075,-0.665431,0.924563,1.18236,-0.665431
-177.95,0.977734,0.511529,3,7,0,182.283,-0.0278573,0.82461,0.922086,-0.0278573
-180.649,0.538106,0.892815,3,7,0,183.473,-0.212796,0.716915,0.993788,-0.212796
-183.051,0.99772,0.407985,3,7,0,184.597,-0.132635,0.683618,1.17907,-0.132635
-176.529,0.999929,0.752019,2,3,0,182.704,-0.334343,0.841976,1.03084,-0.334343
-176.883,0.881455,1.38213,2,3,0,177.016,-0.346073,0.834844,0.979449,-0.346073
-176.883,4.77551e-39,1.77202,1,1,0,179.472,-0.346073,0.834844,0.979449,-0.346073
-176.719,0.999992,0.170771,4,15,0,177.201,-0.326673,0.87423,1.01498,-0.326673
-180.888,0.903076,0.313317,3,7,0,182.51,-0.202508,0.741686,0.927038,-0.202508
-177.969,0.990784,0.430419,3,7,0,182.065,-0.301719,0.818525,0.930367,-0.301719
-177.946,0.990225,0.755707,3,7,0,178.742,0.356071,0.846472,0.961148,0.356071
-176.723,1,1.31224,2,3,0,177.876,-0.253838,0.850264,1.08474,-0.253838
-176.723,0.0345098,2.32035,1,3,1,177.87,-0.253838,0.850264,1.08474,-0.253838
-176.58,0.997486,0.276153,3,15,0,177.392,-0.0105513,0.870742,1.06559,-0.0105513
-177.356,0.97615,0.486657,2,7,0,177.525,-0.0483289,0.859678,1.13027,-0.0483289
-176.551,1,0.80136,3,7,0,177.425,-0.335543,0.845478,1.044,-0.335543
-176.559,0.928658,1.39632,2,3,0,176.782,0.072819,0.833188,1.00766,0.072819
-176.559,3.3215e-11,1.98942,1,1,0,177.617,0.072819,0.833188,1.00766,0.072819
-176.739,0.998364,0.235704,4,15,0,177.105,0.0099847,0.816297,1.00186,0.0099847
-177.763,0.980268,0.407443,3,7,0,178.211,-0.0544996,0.855906,0.920925,-0.0544996
-176.963,0.972724,0.665736,2,3,0,178.272,-0.123774,0.881162,0.973552,-0.123774
-177.499,0.742059,1.05832,2,3,0,177.935,-0.176242,0.906029,1.00117,-0.176242
-178.031,1,0.919358,2,3,0,178.951,-0.354426,0.789033,1.10961,-0.354426
-178.031,0.0078989,1.55242,2,3,0,180.437,-0.354426,0.789033,1.10961,-0.354426
-177.064,0.998929,0.207392,4,31,0,179.036,0.291359,0.876183,1.0616,0.291359
-177.546,0.949662,0.350381,2,7,0,178.882,-0.159374,0.910813,1.04178,-0.159374
-177.904,0.991798,0.518967,2,7,0,178.293,-0.248259,0.915521,1.06485,-0.248259
-177.784,1,0.848817,2,3,0,178.575,-0.0743984,0.804273,0.942635,-0.0743984
-177.784,0.172399,1.40662,1,1,0,180.118,-0.0743984,0.804273,0.942635,-0.0743984
-178.011,0.996308,0.30294,4,15,0,179.476,0.0931009,0.843713,1.15606,0.0931009
-176.713,0.992815,0.497531,3,7,0,179.194,0.0539022,0.863395,0.976407,0.0539022
-176.713,0.673092,0.804556,1,3,0,180.24,0.0539022,0.863395,0.976407,0.0539022
-176.601,0.978741,0.598912,3,7,0,177.161,-0.213731,0.852499,1.07739,-0.213731
-177.364,0.895568,0.929022,2,3,0,177.797,-0.32847,0.826883,1.11429,-0.32847
-178.224,0.902002,1.17591,2,3,0,178.852,-0.537878,0.893011,0.966878,-0.537878
-178.224,0.0153442,1.50633,2,3,0,180.809,-0.537878,0.893011,0.966878,-0.537878
-178.031,0.997196,0.241215,4,15,0,180.543,0.363991,0.820095,1.0742,0.363991
-177.974,0.987397,0.388305,3,7,0,179.508,-0.324548,0.884356,0.939738,-0.324548
-177.807,0.955989,0.607294,3,7,0,179.257,0.166117,0.834131,1.13482,0.166117
-177.26,1,0.878602,3,7,0,177.918,-0.312086,0.824527,0.957171,-0.312086
