# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.995
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/armodel_gam_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,ar.1,sigma,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,b_Intercept
-327.466,0.285714,0.03125,3,7,0,607.786,-0.727136,-0.543903,1.33638,-1.15337,-1.23441,-1.96932,-0.323166,1.80551,1.91174,-0.563207,1.06021,1.07615,0.796933,1.41684,-1.22281,-1.30874,-2.08789,-0.342625,1.91423,2.02685,-0.597118,-0.727136
-327.466,0,2.75378,0,1,1,333.023,-0.727136,-0.543903,1.33638,-1.15337,-1.23441,-1.96932,-0.323166,1.80551,1.91174,-0.563207,1.06021,1.07615,0.796933,1.41684,-1.22281,-1.30874,-2.08789,-0.342625,1.91423,2.02685,-0.597118,-0.727136
-327.466,0,0.180062,0,1,1,332.007,-0.727136,-0.543903,1.33638,-1.15337,-1.23441,-1.96932,-0.323166,1.80551,1.91174,-0.563207,1.06021,1.07615,0.796933,1.41684,-1.22281,-1.30874,-2.08789,-0.342625,1.91423,2.02685,-0.597118,-0.727136
-263.943,1,0.00752004,3,7,0,325.402,-0.713422,-0.540045,1.34437,-1.14549,-1.22591,-1.98463,-0.342635,1.80915,1.90045,-0.552566,1.07101,0.979475,0.822058,1.43983,-1.22682,-1.31296,-2.12555,-0.366964,1.93761,2.03539,-0.591802,-0.713422
-227.91,1,0.00453752,5,31,0,270.572,-0.742829,-0.473748,1.28179,-1.16159,-1.14282,-2.06144,-0.264818,1.98771,1.91206,-0.732929,1.05827,0.797448,1.511,1.35648,-1.22928,-1.20942,-2.18157,-0.28025,2.10354,2.02348,-0.775641,-0.742829
-224.045,0.999584,0.00329511,10,1023,0,232.945,-0.237102,2.64251,-1.4509,0.523364,1.36389,2.0154,0.363421,-1.77213,-1.97204,0.767042,0.782308,0.979106,1.43708,-1.13505,0.409431,1.06698,1.57666,0.284307,-1.38635,-1.54274,0.600063,-0.237102
-212.485,0.999931,0.00269165,10,1023,0,228.316,0.998646,4.58355,-0.76697,0.299117,0.186263,1.21005,0.868199,-0.701782,-0.448243,0.232453,0.900375,0.92221,1.19776,-0.69056,0.269318,0.167707,1.08949,0.781705,-0.631867,-0.403587,0.209295,0.998646
-213.945,0.999993,0.0023849,10,1023,0,219.006,0.884268,4.33065,-0.708895,0.762612,-0.267468,0.609355,0.515207,-0.679947,-1.94312,0.0240085,0.213545,0.88086,1.21432,-0.151381,0.162852,-0.0571166,0.130125,0.11002,-0.145199,-0.414943,0.00512691,0.884268
-216.267,0.999574,0.00223519,10,1023,0,220.133,0.152637,4.10705,0.0904025,0.510463,0.44445,1.02732,0.671964,0.354288,2.40659,0.0344701,0.0306769,0.866888,1.22523,0.00277327,0.0156594,0.0136343,0.0315148,0.0206138,0.0108685,0.0738266,0.00105744,0.152637
-218.337,0.999969,0.00217737,10,1023,0,224.037,0.813174,4.71466,1.18942,1.73044,-1.51027,-0.942893,1.85746,0.171651,1.41949,-0.822818,0.126184,0.894507,1.20735,0.150086,0.218354,-0.190573,-0.118978,0.234382,0.0216597,0.179117,-0.103827,0.813174
