# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/armodel_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-2.20954e+08,1,3.8147e-06,1,1,0,8.82311e+08,-1.25403,3.73689,1.05393,-1.25403
-2.20954e+08,0,14.3855,0,1,1,2.20954e+08,-1.25403,3.73689,1.05393,-1.25403
-2.20954e+08,0,2.43117,0,1,1,2.20954e+08,-1.25403,3.73689,1.05393,-1.25403
-2.20954e+08,0,0.239791,0,1,1,2.20954e+08,-1.25403,3.73689,1.05393,-1.25403
-2.20954e+08,0,0.0186273,0,1,1,2.20954e+08,-1.25403,3.73689,1.05393,-1.25403
-2.20954e+08,0,0.00130482,0,1,1,2.20954e+08,-1.25403,3.73689,1.05393,-1.25403
-2.20954e+08,0,8.85015e-05,0,1,1,2.20954e+08,-1.25403,3.73689,1.05393,-1.25403
-9.96459e+07,1,6.04912e-06,1,1,0,1.92221e+08,-1.24938,3.53339,1.06249,-1.24938
-3.84417e+07,1,9.87721e-06,3,7,0,8.39947e+07,-1.2438,3.30385,1.07287,-1.2438
-1.24494e+07,1,1.73734e-05,4,15,0,3.14365e+07,-1.23718,3.05024,1.0854,-1.23718
-3.63398e+06,1,3.21041e-05,2,3,0,1.00312e+07,-1.22987,2.7938,1.09946,-1.22987
-1.00703e+06,1,6.12567e-05,4,15,0,2.90851e+06,-1.2223,2.54712,1.11468,-1.2223
-271533,1,0.000119228,1,1,0,803374,-1.21445,2.31446,1.13076,-1.21445
-72628.9,1,0.000234676,1,1,0,216528,-1.2065,2.09766,1.1479,-1.2065
-19809.6,1,0.000464213,2,3,0,57920.3,-1.19868,1.89814,1.16474,-1.19868
