# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/armodel_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-201.218,0.666667,0.125,1,3,1,261.59,-0.68084,0.602332,1.60977,-0.68084
-201.218,0,7.84723,0,1,1,201.865,-0.68084,0.602332,1.60977,-0.68084
-201.218,0,1.10816,0,1,1,202.182,-0.68084,0.602332,1.60977,-0.68084
-185.369,0.666667,0.0986461,1,3,0,197.968,-0.647231,0.678396,1.19048,-0.647231
-178.087,0.9981,0.0482795,2,3,0,186.943,-0.411602,0.787687,1.09775,-0.411602
-177.265,0.41147,0.0691056,2,7,0,178.93,-0.546446,0.85414,1.00664,-0.546446
-177.146,0.979652,0.0183898,4,31,0,179.037,-0.276682,0.796194,1.05362,-0.276682
-177.719,0.995706,0.0289773,4,31,0,178.71,-0.488955,0.901216,1.04822,-0.488955
-177.227,0.77166,0.0506605,3,11,0,179.222,-0.433724,0.815855,1.06474,-0.433724
-176.895,0.977901,0.0451547,3,7,0,178.14,-0.328127,0.884398,1.03605,-0.328127
-177.542,0.792624,0.0786628,2,3,0,178.615,-0.428511,0.84558,0.952035,-0.428511
-177.827,0.89811,0.0772749,1,3,0,178.453,-0.49488,0.817964,0.970232,-0.49488
-177.16,0.334783,0.106801,2,3,0,177.491,-0.518858,0.85099,1.00572,-0.518858
-177.57,0.96547,0.025342,3,15,0,178.625,-0.412124,0.803055,0.986596,-0.412124
-177.682,0.985747,0.0438698,2,7,0,178.32,-0.38083,0.871804,0.946138,-0.38083
-176.905,0.388289,0.0807192,3,11,0,178.146,-0.311084,0.881862,1.06042,-0.311084
-176.977,0.997119,0.0235131,3,7,0,177.218,-0.293655,0.815678,0.982219,-0.293655
-179.519,0.878317,0.0448976,4,23,0,180.438,0.0888833,0.817728,1.20682,0.0888833
-177.131,0.825469,0.0593623,2,7,0,182.982,0.173817,0.826433,0.98543,0.173817
-177.028,0.983313,0.0667775,3,7,0,177.468,0.143332,0.888633,0.994932,0.143332
-177.028,0.0129211,0.120191,1,3,0,179.057,0.143332,0.888633,0.994932,0.143332
-179.8,0.98263,0.0121708,4,15,0,181.491,0.0956758,0.883448,1.22014,0.0956758
-179.503,0.989875,0.0220024,3,15,0,181.352,0.0261867,0.807189,0.894523,0.0261867
-177.87,1,0.0402499,2,3,0,179.485,0.0250082,0.847953,0.91963,0.0250082
-177.43,1,0.0750788,2,3,0,177.898,0.0977662,0.844676,1.12671,0.0977662
-177.43,5.89145e-05,0.138621,1,1,0,178.009,0.0977662,0.844676,1.12671,0.0977662
-177.696,0.989737,0.0149117,4,15,0,179.589,0.181316,0.844944,0.939907,0.181316
-177.097,0.997448,0.026852,3,7,0,178.214,0.186774,0.844399,1.09253,0.186774
-176.722,0.923134,0.048923,1,3,0,178.061,0.184176,0.868344,1.00421,0.184176
-176.468,0.982842,0.0718771,3,11,0,177.604,-0.235041,0.862064,1.05128,-0.235041
-176.468,9.83064e-06,0.123571,1,1,0,177.948,-0.235041,0.862064,1.05128,-0.235041
-176.772,0.995931,0.0145903,3,15,0,176.948,-0.221583,0.809256,1.0513,-0.221583
-176.484,0.999476,0.0260918,4,27,0,177.151,0.0218112,0.829143,1.01617,0.0218112
-177.455,0.987293,0.0466584,3,15,0,178.795,-0.534098,0.829877,0.998663,-0.534098
-178.428,0.607147,0.0800271,3,7,0,178.735,-0.627918,0.910399,1.05662,-0.627918
-179.047,0.88227,0.0500816,2,3,0,181.322,-0.692312,0.886555,0.951154,-0.692312
-179.047,0.00442695,0.0647099,2,3,0,184.237,-0.692312,0.886555,0.951154,-0.692312
-178.602,0.999987,0.0085835,4,31,0,179.393,-0.656877,0.865381,0.952197,-0.656877
-178.724,0.997781,0.015147,4,15,0,179.069,-0.600038,0.82744,1.14234,-0.600038
-177.366,0.98437,0.0263456,3,15,0,180.03,-0.451424,0.889624,1.00804,-0.451424
-176.786,0.992267,0.0439196,2,7,0,178.267,-0.396204,0.846244,0.997899,-0.396204
-177.351,0.958787,0.0741041,3,15,0,178.083,-0.495281,0.846798,0.977879,-0.495281
-177.351,4.31733e-11,0.114123,2,3,0,181.999,-0.495281,0.846798,0.977879,-0.495281
-177.453,0.998933,0.0162831,2,3,0,177.465,-0.501361,0.847195,0.972487,-0.501361
-177.144,0.980438,0.0277963,4,23,0,178.612,-0.270799,0.829305,1.10807,-0.270799
-176.969,0.99594,0.0450047,5,31,0,178.045,-0.0293116,0.815755,0.973887,-0.0293116
-176.945,0.770158,0.075131,2,3,0,177.329,-0.014293,0.882822,1.0847,-0.014293
-176.341,0.856992,0.0723348,2,3,0,177.58,0.0175947,0.845478,1.03486,0.0175947
-176.341,0.593065,0.0857283,1,1,0,176.53,0.0175947,0.845478,1.03486,0.0175947
-176.366,0.995651,0.0541811,2,3,0,176.399,0.00735402,0.852784,1.04804,0.00735402
-176.366,0.0723324,0.0889754,2,3,0,179.108,0.00735402,0.852784,1.04804,0.00735402
-176.797,0.995261,0.0167058,3,7,0,176.84,-0.00351649,0.859681,1.09397,-0.00351649
-177.442,0.984972,0.0274323,4,31,0,179.36,-0.381143,0.809034,0.97626,-0.381143
-177.355,0.786473,0.0436977,3,7,0,181.186,-0.414904,0.852454,0.958632,-0.414904
-176.599,0.991206,0.0438557,3,15,0,178.587,-0.199968,0.831456,1.07212,-0.199968
-176.763,0.82695,0.070209,2,3,0,177.712,-0.1581,0.864243,1.08952,-0.1581
-178.536,0.392413,0.0769785,2,7,0,180.089,-0.288705,0.911787,1.13049,-0.288705
-177.789,0.9985,0.0316576,3,7,0,179.22,-0.265498,0.776911,1.07388,-0.265498
-176.983,1,0.0511475,2,3,0,177.721,-0.299922,0.887637,1.00827,-0.299922
-177.363,0.145311,0.08242,2,7,0,180.527,-0.123356,0.904714,1.00716,-0.123356
-176.497,1,0.0199165,2,3,0,177.42,-0.137576,0.875508,1.01998,-0.137576
-176.679,0.98872,0.0320811,3,15,0,177.103,-0.0998427,0.870227,0.978727,-0.0998427
-178.991,0.748685,0.0501274,2,3,0,179.377,-0.089978,0.881983,0.898401,-0.089978
-176.821,0.994908,0.0462272,4,21,0,181.383,0.115344,0.835153,0.983978,0.115344
-176.598,0.468405,0.0726548,2,3,0,177.967,0.108305,0.87065,1.05173,0.108305
-177.03,0.907502,0.0366224,3,7,0,177.98,0.147426,0.835398,0.974393,0.147426
-176.67,0.998914,0.0475547,3,15,0,177.995,-0.13628,0.850503,1.08819,-0.13628
-177.18,0.485365,0.0747689,2,7,0,178.768,-0.313896,0.82143,0.964506,-0.313896
-177.253,1,0.0394868,3,7,0,177.514,-0.413743,0.87713,1.0868,-0.413743
-176.284,0.993831,0.0619656,3,15,0,177.596,-0.133869,0.853477,1.0139,-0.133869
-177.387,0.66325,0.095517,2,7,0,178.948,0.0375051,0.859951,0.938101,0.0375051
