# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.995
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/armodel_gam_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,ar.1,sigma,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,b_Intercept
-228.462,1,0.015625,7,127,0,377.185,-1.25808,1.43453,0.045413,-1.19675,-1.64867,1.46757,0.945611,0.693771,0.689478,-1.07367,0.139652,1.02551,1.42738,0.00634202,-0.167129,-0.230241,0.20495,0.132057,0.0968867,0.0962871,-0.149941,-1.25808
-228.462,0,10.0913,0,1,1,236.529,-1.25808,1.43453,0.045413,-1.19675,-1.64867,1.46757,0.945611,0.693771,0.689478,-1.07367,0.139652,1.02551,1.42738,0.00634202,-0.167129,-0.230241,0.20495,0.132057,0.0968867,0.0962871,-0.149941,-1.25808
-228.462,0,0.969604,0,1,1,237.782,-1.25808,1.43453,0.045413,-1.19675,-1.64867,1.46757,0.945611,0.693771,0.689478,-1.07367,0.139652,1.02551,1.42738,0.00634202,-0.167129,-0.230241,0.20495,0.132057,0.0968867,0.0962871,-0.149941,-1.25808
-225.449,0.497734,0.050447,2,7,0,232.95,-1.29036,1.4742,0.0570579,-1.13862,-1.6528,1.3666,0.942382,0.67858,0.760359,-1.09061,0.139905,0.832535,1.50109,0.00798269,-0.159299,-0.231235,0.191195,0.131844,0.0949368,0.106378,-0.152582,-1.29036
-217.005,0.998215,0.00831575,8,255,0,229.459,1.48097,2.55448,0.799499,0.402056,-0.0353142,0.291264,1.46789,-0.705191,-1.32645,-0.451799,0.418425,0.865213,1.41263,0.33453,0.16823,-0.0147763,0.121872,0.614201,-0.29507,-0.555018,-0.189044,1.48097
-217.379,0.998205,0.00616715,9,1023,0,221.112,-1.05096,1.21674,0.0188594,-0.152212,1.05162,-0.886356,-0.630063,0.248186,0.0360008,0.382713,0.141319,0.882218,1.46493,0.00266519,-0.0215105,0.148614,-0.125259,-0.0890399,0.0350734,0.00508759,0.0540846,-1.05096
-215.302,0.999971,0.00510205,9,1023,0,219.593,1.03717,2.24309,0.613537,1.12038,0.874809,-0.786039,-0.323399,0.333619,0.594259,-0.118255,0.136761,0.903717,1.40985,0.0839078,0.153224,0.11964,-0.107499,-0.0442283,0.045626,0.0812714,-0.0161727,1.03717
-217.646,0.999425,0.00456937,9,511,0,223.939,-0.494649,0.554977,1.76928,-0.110562,-0.893702,-0.00184458,1.65554,0.987302,-0.0257498,2.09547,1.33807,0.933962,1.29316,2.36741,-0.147939,-1.19583,-0.00246818,2.21523,1.32108,-0.034455,2.80388,-0.494649
-215.267,0.994708,0.00430181,10,1023,0,225.449,0.579251,3.30049,-0.81297,-0.0919795,1.47268,-0.469471,-2.15735,0.411547,-0.059946,-1.07831,0.432496,0.920762,1.27106,-0.351606,-0.0397807,0.636927,-0.203044,-0.933045,0.177992,-0.0259264,-0.466365,0.579251
-214.232,0.999858,0.00413973,9,1023,0,220.464,0.25092,4.27791,1.25887,-1.60518,0.239253,-1.49468,0.993027,-0.403104,-0.627028,0.944428,0.487163,0.907486,1.22728,0.613273,-0.781984,0.116555,-0.728155,0.483766,-0.196378,-0.305465,0.460091,0.25092
-221.861,0.999509,0.00415861,9,511,0,223.111,0.550412,3.85761,1.96802,-2.33074,-0.0738729,-2.77868,0.472333,-1.21315,-1.16069,0.604724,0.186039,0.913155,1.36043,0.366128,-0.433608,-0.0137433,-0.516944,0.0878723,-0.225693,-0.215933,0.112502,0.550412
-218.401,0.999721,0.00425569,10,1023,0,227.182,1.0347,4.7071,-0.77831,1.55104,-0.578896,2.25118,-0.108504,1.61685,-0.0215502,-0.621466,3.46782,0.867004,1.44214,-2.69904,5.37873,-2.00751,7.80668,-0.376271,5.60692,-0.0747323,-2.15513,1.0347
-213.094,0.999941,0.00442154,9,511,0,221.025,0.041934,5.15359,-0.204707,0.291229,-0.538336,0.638805,-1.10818,-0.906943,0.456819,0.208754,0.779203,0.845757,1.12166,-0.159508,0.226926,-0.419473,0.497759,-0.863501,-0.706693,0.355955,0.162662,0.041934
-216.119,0.999359,0.00464654,9,511,0,221.472,-0.3366,5.05405,0.0991221,0.355862,0.782215,-0.427391,-0.896012,-1.07252,-0.693002,0.119308,0.437793,0.846062,1.46511,0.043395,0.155794,0.342448,-0.187109,-0.392268,-0.469543,-0.303391,0.0522323,-0.3366
-218.87,0.999775,0.00491282,9,1023,0,222.157,1.28671,4.42158,2.17023,0.814722,0.874677,-1.12222,-0.370144,-0.059891,0.691564,0.32982,0.447511,0.852002,1.13355,0.971201,0.364598,0.391428,-0.502204,-0.165644,-0.0268019,0.309483,0.147598,1.28671
-213.726,0.998705,0.00523142,10,1023,0,227.585,1.56306,9.43176,-1.88627,-0.611431,-0.965943,0.44204,0.253718,-0.160844,-0.394784,-0.596338,1.47321,0.91789,1.25926,-2.77887,-0.900765,-1.42304,0.651218,0.37378,-0.236956,-0.581599,-0.878531,1.56306
-214.938,0.993989,0.00557573,9,511,0,218.247,-0.716952,10.0868,1.92522,0.64024,-0.958521,0.205836,0.270579,0.0942172,0.901834,0.288945,3.83132,0.936855,1.31172,7.37612,2.45297,-3.6724,0.788623,1.03668,0.360976,3.45521,1.10704,-0.716952
