# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/armodel_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-61434.5,1,0.000244141,1,1,0,278207,-0.735553,1.98046,0.684261,-0.735553
-61434.5,0,14.3855,0,1,1,61441,-0.735553,1.98046,0.684261,-0.735553
-61434.5,0,2.43117,0,1,1,61438.3,-0.735553,1.98046,0.684261,-0.735553
-61434.5,0,0.239791,0,1,1,61436,-0.735553,1.98046,0.684261,-0.735553
-61434.5,0,0.0186273,0,1,1,61435.1,-0.735553,1.98046,0.684261,-0.735553
-61434.5,0,0.00130482,0,1,1,61434.8,-0.735553,1.98046,0.684261,-0.735553
-35898.3,1,8.85015e-05,3,7,0,61122,-0.732303,1.89709,0.68887,-0.732303
-34233.3,1,0.000135987,1,1,0,35858,-0.732108,1.88981,0.689299,-0.732108
-21105.7,1,0.000228818,2,3,0,33629,-0.728641,1.81703,0.694488,-0.728641
-8922.88,1,0.000408639,5,31,0,20300.1,-0.72349,1.68988,0.702396,-0.72349
-6538.02,1,0.000758439,1,1,0,8587.83,-0.722595,1.64457,0.70514,-0.722595
-2885.7,1,0.00144197,2,3,0,5623.67,-0.720563,1.52737,0.714924,-0.720563
-957.337,1,0.00278004,1,1,0,2338.11,-0.712135,1.36608,0.729469,-0.712135
-424.187,1,0.00539629,8,255,0,791.41,-0.704497,1.22954,0.747353,-0.704497
-241.87,1,0.0104922,1,1,0,366.658,-0.713645,1.09226,0.782798,-0.713645
-190.399,1,0.0203599,2,3,0,228.175,-0.681346,0.954984,0.825588,-0.681346
-179.294,1,0.0393257,3,15,0,190.068,-0.54533,0.766452,1.01139,-0.54533
-180.108,0.779887,0.0754671,2,3,0,181.295,-0.447585,0.940643,1.1327,-0.447585
-177.703,0.782418,0.0737481,2,7,0,181.095,-0.183932,0.913363,1.05458,-0.183932
-177.845,0.783645,0.0727628,3,11,0,178.939,-0.312688,0.778769,1.07661,-0.312688
-177.621,0.735368,0.0721621,3,15,0,179.187,0.387849,0.878997,1.0925,0.387849
-178.111,0.83895,0.0621192,2,7,0,178.633,0.451525,0.834548,1.0712,0.451525
-178.304,0.736997,0.0726889,3,7,0,179.419,0.30839,0.800124,1.06571,0.30839
-178.961,0.928925,0.0631155,2,3,0,179.869,0.335901,0.917304,0.955815,0.335901
-178.961,0.0166104,0.0955585,1,3,0,179.652,0.335901,0.917304,0.955815,0.335901
-179.072,0.974158,0.0106036,3,7,0,181.308,0.314038,0.934788,1.00411,0.314038
-177.146,1,0.0184107,3,7,0,179.35,0.276394,0.882768,0.997483,0.276394
-176.536,0.991089,0.0340613,4,23,0,177.709,0.00807404,0.87687,1.04018,0.00807404
-176.543,0.998695,0.0608462,2,7,0,176.676,-0.0362168,0.821359,1.04572,-0.0362168
-176.543,1.4186e-09,0.109936,1,1,0,177.865,-0.0362168,0.821359,1.04572,-0.0362168
-177.777,0.989431,0.0127635,3,15,0,177.961,-0.0630646,0.916784,1.02692,-0.0630646
-177.35,0.996895,0.0225592,3,7,0,178.355,-0.0780696,0.798578,1.09424,-0.0780696
-177.808,0.990718,0.0403034,4,19,0,179.105,-0.565261,0.82722,1.09066,-0.565261
-178.248,0.96384,0.0701574,2,3,0,178.349,-0.653914,0.829546,0.988324,-0.653914
-178.248,5.37469e-07,0.11271,1,1,0,178.591,-0.653914,0.829546,0.988324,-0.653914
-176.302,0.999361,0.014253,5,43,0,178.884,-0.102053,0.847285,1.00542,-0.102053
-176.318,0.995459,0.0252435,5,39,0,176.688,-0.204936,0.845877,1.03524,-0.204936
-176.777,0.910227,0.0438604,2,3,0,177,-0.198055,0.886658,1.0208,-0.198055
-176.843,0.901906,0.0606961,3,11,0,178.564,0.123175,0.851672,0.973532,0.123175
-176.699,0.938156,0.0818134,2,3,0,177.194,0.208909,0.853307,1.01993,0.208909
-177.45,0.187324,0.12031,1,3,0,177.549,0.218031,0.878605,1.10988,0.218031
-176.338,0.999512,0.0266946,4,31,0,177.78,-0.0482233,0.861444,1.01052,-0.0482233
-179.481,0.78911,0.0458452,2,3,0,179.893,0.0399932,0.837101,0.88157,0.0399932
-176.902,0.95861,0.0464046,3,7,0,180.37,-0.022581,0.888544,0.994165,-0.022581
-176.575,0.989593,0.0712074,3,11,0,176.981,-0.332232,0.850287,1.00404,-0.332232
-176.575,0.318057,0.117111,1,3,0,177.026,-0.332232,0.850287,1.00404,-0.332232
-177.802,0.871427,0.0375955,3,7,0,178.508,-0.396512,0.881369,1.12402,-0.396512
-177.37,0.985412,0.0464025,2,7,0,178.472,-0.439299,0.839095,1.10264,-0.439299
-177.686,0.550406,0.0749684,2,3,0,180.752,-0.322865,0.824075,1.13192,-0.322865
-177.626,0.983963,0.0428582,3,11,0,179.158,-0.0434949,0.830163,0.929549,-0.0434949
-180.977,0.63428,0.068576,2,3,0,181.611,-0.101176,0.82035,0.855608,-0.101176
-176.61,1,0.0480783,2,3,0,180.785,-0.0215628,0.882382,1.031,-0.0215628
-176.412,0.652637,0.0792747,2,3,0,177.38,0.00692585,0.853756,0.996819,0.00692585
-178.444,0.468953,0.0581815,3,13,0,179.528,-0.220637,0.756755,1.07629,-0.220637
-176.677,0.984943,0.028112,2,7,0,178.791,-0.198976,0.810245,1.02443,-0.198976
-177.217,0.997494,0.0444909,3,15,0,178.215,-0.547434,0.845588,1.03704,-0.547434
-177.217,0.000818949,0.0720183,2,3,0,179.525,-0.547434,0.845588,1.03704,-0.547434
-177.701,0.996005,0.0122589,4,15,0,178.086,-0.502305,0.842827,0.95981,-0.502305
-177.863,0.990608,0.0198101,3,15,0,179.69,-0.562449,0.883058,0.979611,-0.562449
-178.295,0.982603,0.0314411,3,11,0,179.424,-0.48955,0.846009,0.931825,-0.48955
-177.739,0.922719,0.0487462,2,3,0,179.4,-0.416798,0.813928,1.11298,-0.416798
-177.125,0.958279,0.0658936,2,7,0,179.054,-0.287347,0.813803,0.972657,-0.287347
-176.632,0.690648,0.0959241,3,11,0,177.013,0.0302388,0.866186,1.0736,0.0302388
-176.364,0.85824,0.0776803,2,3,0,176.961,0.0207118,0.852203,1.04473,0.0207118
-176.364,0.107097,0.090585,2,3,0,178.159,0.0207118,0.852203,1.04473,0.0207118
-179.292,0.954813,0.0209721,3,7,0,179.659,0.105772,0.884609,1.2006,0.105772
-179.031,0.99494,0.0302253,3,11,0,179.851,0.128814,0.898514,1.17914,0.128814
-178.993,0.886987,0.047241,3,7,0,180.192,-0.00453428,0.922745,1.14169,-0.00453428
-177.292,0.942499,0.0584715,2,7,0,178.871,0.0847924,0.801674,1.00137,0.0847924
-177.676,0.683847,0.0811338,2,3,0,178.098,0.112265,0.801591,1.09695,0.112265
-177.575,0.686862,0.0653006,2,3,0,179.48,0.0739776,0.870952,0.936948,0.0739776
-176.98,0.831683,0.0530037,2,3,0,178.517,0.0927663,0.812369,1.00924,0.0927663
-177.206,0.988146,0.0581781,2,7,0,177.295,0.142966,0.900604,1.04511,0.142966
-176.508,0.761199,0.0880306,1,3,0,176.701,0.130664,0.851764,1.03445,0.130664
-177.375,0.577705,0.0833154,2,3,0,177.406,0.142055,0.80216,1.04678,0.142055
-176.657,1,0.0542784,1,3,0,177.345,0.159538,0.83941,1.02349,0.159538
-176.58,0.680411,0.0835965,2,7,0,177.682,-0.0756586,0.881203,1.02743,-0.0756586
-176.848,0.793209,0.0672719,2,3,0,177.191,-0.0971282,0.801601,1.02912,-0.0971282
-177.978,0.804532,0.0680296,3,15,0,178.741,-0.51538,0.796193,1.05889,-0.51538
-177.39,0.659401,0.0703538,2,7,0,179.042,-0.30471,0.899776,1.06603,-0.30471
-177.908,0.7193,0.0545016,2,3,0,179.172,-0.34853,0.906843,0.987675,-0.34853
-178.142,0.793185,0.0476443,2,7,0,180.205,-0.382731,0.812151,0.938257,-0.382731
-178.006,0.98604,0.0482269,3,7,0,178.733,-0.406617,0.793669,0.972924,-0.406617
-178.006,9.50177e-05,0.0712143,2,3,0,181.129,-0.406617,0.793669,0.972924,-0.406617
-177.136,0.991118,0.0153187,3,15,0,179.656,-0.392277,0.877043,0.98492,-0.392277
-177.426,1,0.0228783,4,15,0,177.831,-0.564977,0.850015,1.07205,-0.564977
-177.44,0.969086,0.0346271,3,15,0,178.257,-0.482769,0.884897,0.995531,-0.482769
-176.999,0.843147,0.0491915,2,3,0,178.197,-0.468914,0.849073,1.00131,-0.468914
-176.949,0.993048,0.0547298,4,15,0,177.39,-0.453968,0.856965,1.00174,-0.453968
-180.539,0.336875,0.0809416,2,3,0,182.049,-0.469417,0.770371,1.1947,-0.469417
-180.826,0.943564,0.0343452,3,7,0,183.381,-0.401374,0.718247,1.01283,-0.401374
-178.728,0.597131,0.0461874,3,7,0,183.16,-0.541586,0.785183,0.992127,-0.541586
-178.453,0.870721,0.0322885,3,15,0,184.151,-0.322713,0.810777,1.16113,-0.322713
-176.61,0.877954,0.0377898,2,5,0,181.895,-0.332036,0.829649,1.03128,-0.332036
-176.994,0.946043,0.0447638,3,15,0,178.178,0.00205822,0.801785,1.01584,0.00205822
-176.838,0.937757,0.0600768,3,11,0,178.257,-0.228924,0.884005,1.00023,-0.228924
-176.838,2.56711e-15,0.0791977,1,1,0,182.93,-0.228924,0.884005,1.00023,-0.228924
-176.389,0.9997,0.0185328,3,15,0,177.122,-0.213997,0.856236,1.04762,-0.213997
-178.872,0.967666,0.0274356,5,35,0,180.371,-0.737998,0.891687,1.11923,-0.737998
-178.435,0.854045,0.0381802,4,23,0,181.164,0.00954261,0.788114,1.13966,0.00954261
-177.333,0.970399,1.37903,2,3,0,178.568,-0.410157,0.886151,0.988968,-0.410157
-177.333,0,18.7986,0,1,1,177.647,-0.410157,0.886151,0.988968,-0.410157
-177.333,3.34235e-05,3.12672,1,3,1,177.72,-0.410157,0.886151,0.988968,-0.410157
-178.022,0.957854,0.305626,3,7,0,179.254,-0.301031,0.91266,0.993353,-0.301031
-177.987,0.990245,0.364402,3,15,0,180.313,-0.692206,0.866832,1.07528,-0.692206
-178.082,0.986221,0.548621,3,7,0,178.949,-0.618951,0.86278,1.11253,-0.618951
-179.197,0.803283,0.889446,2,3,0,181.033,-0.677823,0.907736,1.1312,-0.677823
-178.186,1,0.858642,2,3,0,179.395,-0.550445,0.86849,1.13239,-0.550445
-178.186,0.0915363,1.56727,2,3,0,178.729,-0.550445,0.86849,1.13239,-0.550445
-176.788,0.997359,0.165558,5,31,0,180.082,-0.399493,0.86122,1.00431,-0.399493
-178.097,0.98315,0.307134,3,7,0,178.461,-0.607767,0.894567,0.995589,-0.607767
-181.681,0.668164,0.550108,3,7,0,182.839,0.169774,0.719946,1.13038,0.169774
-181.96,0.980829,0.366734,3,11,0,183.108,0.0976745,0.712817,1.15492,0.0976745
-181.327,0.900263,0.656956,2,7,0,184.458,-0.421453,0.739956,1.19382,-0.421453
-183.157,0.968012,0.913201,2,3,0,183.254,-0.482189,0.707811,1.20745,-0.482189
-177.734,1,1.56343,2,3,0,179.803,0.0771163,0.895072,0.954504,0.0771163
-177.734,2.53559e-07,2.93689,1,3,1,178.115,0.0771163,0.895072,0.954504,0.0771163
-178.311,0.995343,0.25807,4,15,0,179.706,-0.312537,0.780472,0.96229,-0.312537
