# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,lprior,b_Intercept
-196.201,0.947486,0.1041,2,3,0,196.42,-0.455202,0.543208,1.29585,-2.81398,-0.455202
-196.201,1.06503e-07,0.15001,1,1,0,197.195,-0.455202,0.543208,1.29585,-2.81398,-0.455202
-194.685,0.98302,0.0250974,5,31,0,198.777,-0.218256,0.765124,1.32331,-3.37664,-0.218256
-193.406,0.9962,0.0393373,3,15,0,196.731,0.0758744,0.741746,1.09478,-3.25381,0.0758744
-192.98,0.923191,0.0631449,3,15,0,194.494,-0.455602,0.733788,1.19364,-3.21123,-0.455602
-193.18,0.948867,0.0856496,2,3,0,193.242,-0.471514,0.732418,1.11811,-3.18861,-0.471514
-193.18,0.305579,0.122503,2,7,0,195.483,-0.471514,0.732418,1.11811,-3.18861,-0.471514
-192.508,0.999832,0.0423664,4,31,0,193.609,-0.339675,0.668679,1.14867,-2.99366,-0.339675
-192.994,0.777153,0.0677169,2,7,0,194.29,-0.474562,0.679867,1.18785,-3.03129,-0.474562
-192.848,0.954781,0.066321,4,15,0,193.747,-0.116669,0.645912,1.12422,-2.94369,-0.116669
-192.531,0.998585,0.0953766,3,7,0,193.11,-0.201029,0.731015,1.11161,-3.19139,-0.201029
-192.531,4.69264e-06,0.150068,2,3,0,195.014,-0.201029,0.731015,1.11161,-3.19139,-0.201029
-194.028,0.97097,0.0277787,4,31,0,194.755,-0.119125,0.751913,1.29994,-3.32297,-0.119125
-196.036,0.98114,0.0412793,3,15,0,197.156,-0.605648,0.76739,1.03766,-3.31213,-0.605648
-194.051,0.966667,0.0623931,2,3,0,196.435,-0.615526,0.763294,1.17474,-3.32533,-0.615526
-192.311,0.941791,0.0910571,2,7,0,197.862,-0.262157,0.672361,1.15866,-3.00928,-0.262157
-192.856,0.963906,0.125624,2,3,0,192.939,-0.165925,0.629931,1.15597,-2.9119,-0.165925
-192.856,0.32874,0.180834,2,5,1,193.816,-0.165925,0.629931,1.15597,-2.9119,-0.165925
-196.934,0.824702,0.0696434,4,15,0,197.558,-0.636098,0.560225,1.27833,-2.82541,-0.636098
-197.255,0.917426,0.0751982,2,3,0,197.951,-0.623147,0.553808,1.12422,-2.78253,-0.623147
-195.681,0.861345,0.0980884,3,11,0,199.007,0.325963,0.765942,1.30756,-3.43909,0.325963
-192.348,0.878016,0.113807,3,7,0,195.199,-0.224799,0.733205,1.15467,-3.20781,-0.224799
-192.348,0.0139834,0.136363,3,7,0,194.017,-0.224799,0.733205,1.15467,-3.20781,-0.224799
-193.963,0.978459,0.028539,4,31,0,197.796,-0.299083,0.582767,1.22028,-2.83924,-0.299083
-195.129,0.950641,0.0420377,4,15,0,197.622,0.199799,0.654088,1.09511,-2.9928,0.199799
-194.711,0.857493,0.058344,4,15,0,197.288,0.162177,0.640748,1.25069,-2.99226,0.162177
-193.122,0.815627,0.0670671,3,7,0,196.34,-0.306954,0.64878,1.0935,-2.93199,-0.306954
-195.192,0.81645,0.0708639,2,7,0,196.185,-0.216359,0.598312,1.33418,-2.89456,-0.216359
-194.076,0.835638,0.0749496,3,7,0,196.725,-0.417341,0.683332,1.3041,-3.07055,-0.417341
-194.834,0.902909,0.0822555,2,3,0,195.185,-0.402516,0.672436,1.02485,-2.97518,-0.402516
-199.446,1,0.102827,3,7,0,200.368,-1.05399,0.719334,1.10565,-3.17094,-1.05399
-199.446,0.0632794,0.154863,2,3,0,201.262,-1.05399,0.719334,1.10565,-3.17094,-1.05399
-194.4,1,0.0380318,4,15,0,199.52,-0.658782,0.715214,1.24282,-3.15884,-0.658782
-195.248,0.997999,0.0573131,4,15,0,196.217,0.314442,0.79692,1.11553,-3.53063,0.314442
-194.395,0.994924,0.0857111,3,7,0,195.55,0.254138,0.784094,1.20768,-3.48255,0.254138
-192.869,0.737588,0.126958,2,7,0,197.385,-0.0604023,0.652393,1.13165,-2.96572,-0.0604023
-192.675,0.746053,0.114995,2,7,0,194.013,-0.222541,0.66616,1.10301,-2.98209,-0.222541
-192.303,0.968017,0.105922,1,3,0,192.615,-0.197318,0.676331,1.13865,-3.0195,-0.197318
-192.303,0.00242355,0.148206,1,3,0,194.378,-0.197318,0.676331,1.13865,-3.0195,-0.197318
-196.408,0.962029,0.033899,4,15,0,197.192,0.407883,0.672945,1.14512,-3.08781,0.407883
-197.762,0.986291,0.0469916,2,7,0,199.69,0.490588,0.659391,1.18128,-3.07612,0.490588
-197.146,0.999213,0.0679458,4,15,0,200.849,-0.350173,0.865907,1.16909,-3.8415,-0.350173
-197.209,1,0.100296,3,7,0,197.564,-0.272725,0.868868,1.20198,-3.86976,-0.272725
-196.743,0.389809,0.147766,2,3,0,197.867,-0.350664,0.8546,1.25525,-3.79698,-0.350664
-198.278,0.699744,0.0708956,2,3,0,199.43,-0.365068,0.865464,1.08435,-3.81939,-0.365068
-195.545,0.970529,0.0602574,4,15,0,199.783,-0.768209,0.750363,1.1074,-3.26311,-0.768209
-195.545,1.18565e-12,1.34241,1,1,0,196.462,-0.768209,0.750363,1.1074,-3.26311,-0.768209
-195.545,1.19068e-87,3.13461,1,3,1,196.732,-0.768209,0.750363,1.1074,-3.26311,-0.768209
-193.387,1,0.30907,2,3,0,195.696,-0.54526,0.731074,1.14432,-3.18968,-0.54526
-192.993,0.994356,0.321898,3,7,0,193.992,-0.0899106,0.648973,1.11197,-2.95042,-0.0899106
-192.82,0.992633,0.428422,3,7,0,193.345,-0.212968,0.645031,1.11417,-2.93254,-0.212968
-192.802,0.826489,0.65497,1,3,0,194.379,-0.120426,0.76198,1.14416,-3.32664,-0.120426
-196.915,0.620485,0.654723,2,7,0,197.607,-0.614827,0.851805,1.22577,-3.773,-0.614827
-194.043,0.976028,0.356146,3,7,0,198.338,0.109984,0.681249,1.08001,-3.0501,0.109984
-193.532,1,0.597951,2,3,0,194.518,-0.281006,0.783248,1.11865,-3.40345,-0.281006
-193.949,0.417636,1.1077,2,3,0,194.698,-0.157562,0.800804,1.12786,-3.4949,-0.157562
-193.053,0.948775,0.329454,3,7,0,197.215,-0.328424,0.622368,1.1679,-2.89066,-0.328424
