# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x-combined_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Ymi_y.1,Ymi_y.2,Ymi_y.3,Ymi_y.4,Ymi_y.5,Ymi_y.6,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,Ycens_xstar.8,Ycens_xstar.9,Ycens_xstar.10,Ycens_xstar.11,Ycens_xstar.12,Ycens_xstar.13,lprior,b_y_Intercept,b_xstar_Intercept
-135.19,0.999999,0.00133979,10,1023,0,151.379,1.1257,-1.0243,0.638475,1.14824,-0.158692,1.98328,1.52171,1.5531,1.54585,1.97798,-0.990826,1.87458,-2.02809,-3.44999,-2.61523,-1.82821,-2.78453,-1.75849,-5.39178,-1.17867,-1.70266,-1.49561,-1.29303,-2.27327,-2.89794,-8.05861,1.52171,-0.990826
-135.659,0.999995,0.00146188,10,1023,0,151.209,1.14033,-0.579012,1.17255,1.33913,-1.14928,1.67393,1.14666,1.3185,1.88129,1.71926,-0.567153,2.44407,-1.52416,-7.61653,-2.0043,-1.79726,-2.96171,-1.75147,-4.94662,-1.28317,-1.97858,-1.59587,-1.20259,-3.32487,-2.81095,-8.1999,1.14666,-0.567153
-133.681,0.999999,0.00160263,10,1023,0,149.411,0.463936,-0.271905,0.948059,0.220583,-0.913918,1.26863,0.615345,1.48613,1.903,0.100654,-0.26064,1.62408,-1.38611,-2.93095,-1.88035,-1.63759,-1.72457,-1.8761,-4.91168,-1.13372,-1.98223,-1.64803,-1.08553,-2.17439,-2.0561,-7.85999,0.615345,-0.26064
-137.378,0.999988,0.00176272,10,1023,0,145.38,0.227435,0.131349,-0.438575,0.583545,-1.08842,1.07519,0.663773,1.90098,2.02672,0.65439,0.453052,1.74309,-1.65805,-2.05237,-1.43559,-2.14796,-2.31299,-1.88171,-2.46423,-1.14211,-1.93688,-1.50904,-1.06717,-2.43304,-2.32962,-7.89692,0.663773,0.453052
-128.786,0.999999,0.00194291,10,1023,0,143.782,0.497753,-0.706372,-1.21511,-0.885993,-1.70654,-0.196754,0.752906,1.52983,1.04021,0.9572,-1.16796,2.18752,-1.23727,-6.46936,-2.16472,-2.21841,-2.02999,-3.19843,-3.97087,-2.19568,-1.38026,-2.00664,-1.92402,-1.57906,-1.35863,-8.14029,0.752906,-1.16796
-128.798,1,0.00214433,10,1023,0,138.568,-0.0661697,-1.01423,-1.50131,0.846984,-0.111884,-1.71882,0.476293,1.83413,1.53055,1.24446,0.139794,2.03975,-1.17306,-3.04652,-2.08345,-2.3608,-2.6014,-1.81985,-2.60543,-1.3132,-1.51887,-1.93654,-1.18312,-2.22342,-1.17134,-7.93488,0.476293,0.139794
-119.07,0.999999,0.0023681,10,1023,0,140.223,-2.40233,-1.2921,-4.30174,-2.76032,-2.78367,-1.67541,0.293573,1.90282,0.771974,2.28406,0.618219,1.73691,-1.10779,-3.56845,-1.71333,-1.88086,-1.4612,-2.04298,-4.26262,-1.36972,-1.05431,-2.11169,-1.57645,-1.04718,-1.60368,-7.79588,0.293573,0.618219
-119.531,0.999958,0.00261545,10,1023,0,137.706,-2.28056,-0.711085,-4.12568,-3.27,-4.29133,-5.03672,0.154041,1.98357,0.85574,1.33972,-0.338644,1.59238,-1.21077,-3.88892,-1.51204,-1.24619,-2.00635,-1.37885,-3.80671,-1.35013,-1.0707,-2.28871,-1.06474,-2.27385,-1.46838,-7.77029,0.154041,-0.338644
-118.962,0.999859,0.0028874,10,1023,0,129.956,-2.23141,-1.65822,-2.72064,-3.68618,-4.75809,-4.06012,-0.0439354,1.99753,0.8491,2.06004,-0.00359428,1.37471,-1.21086,-2.79009,-2.22009,-1.33122,-1.8673,-1.49957,-3.16238,-1.80104,-1.14393,-1.58853,-1.08164,-1.95363,-1.58352,-7.68778,-0.0439354,-0.00359428
-116.498,1,0.00318472,10,1023,0,126.653,-2.44073,-2.83419,-2.86131,-1.37083,-4.1066,-4.39031,0.123776,1.97952,1.00916,2.17518,-0.512137,2.18535,-1.24803,-3.07585,-1.9793,-1.19179,-1.60737,-1.64071,-3.68993,-1.11059,-2.36702,-2.05332,-1.87196,-2.5232,-1.80426,-8.00308,0.123776,-0.512137
-115.715,0.999705,0.00351105,10,1023,0,126.139,-2.70126,-1.49856,-1.87397,-2.35344,-4.22779,-2.99109,0.311585,1.94261,0.675506,1.84342,-0.524448,1.56653,-1.99317,-3.80961,-1.54414,-2.09686,-1.81774,-1.91171,-4.63317,-2.2049,-1.12659,-1.10343,-1.13674,-2.31367,-1.46044,-7.77534,0.311585,-0.524448
-115.18,0.999541,0.0038635,10,1023,0,129.849,-2.00354,-2.10602,-1.5882,-2.13427,-4.83735,-1.36439,0.479624,1.75813,1.01702,1.73789,-0.731212,1.93455,-1.51962,-3.73663,-2.10912,-1.54519,-1.3895,-1.53998,-4.0658,-1.27432,-1.41381,-1.81825,-1.27036,-2.79692,-1.2611,-7.94617,0.479624,-0.731212
-118.423,0.999919,0.00424435,10,1023,0,125.524,-2.37756,-1.68119,-3.19814,-2.29391,-2.79048,-2.68627,0.106162,1.97752,0.985994,2.18974,-0.706708,2.18638,-1.84298,-4.74552,-1.32878,-2.09483,-1.52601,-1.51767,-3.31779,-1.05778,-1.39735,-1.31503,-1.55884,-1.95549,-1.74599,-8.03486,0.106162,-0.706708
-115.068,0.999971,0.00466175,10,1023,0,130.376,-2.79431,-1.67905,-2.16185,-6.35069,-5.05595,-1.87794,0.242983,1.93435,1.0762,1.77027,-0.0582934,1.95574,-1.7163,-3.83668,-1.27978,-2.18433,-1.05757,-1.81667,-3.35913,-1.63996,-1.22522,-1.40391,-2.878,-3.10998,-1.39082,-7.87634,0.242983,-0.0582934
-119.531,0.999906,0.00511393,10,1023,0,123.564,-4.6709,-5.22557,-6.12907,-2.6728,-4.32757,-4.88608,-0.358813,1.91841,0.904224,1.90924,-0.159174,1.71612,-2.03289,-2.82367,-1.48023,-2.43421,-1.0655,-1.67711,-3.39742,-2.73782,-2.49601,-2.01163,-1.48627,-1.65966,-1.79177,-7.81437,-0.358813,-0.159174
-127.058,0.999771,0.00560098,10,1023,0,143.456,-5.30757,-7.28089,-7.31139,-3.24317,-5.86158,-4.60438,0.439916,2.02711,1.40509,1.41261,-0.732563,1.81583,-1.41663,-2.34604,-1.26071,-1.68726,-1.06878,-1.84161,-3.16539,-1.36111,-3.27251,-4.77449,-1.64429,-1.69681,-1.9917,-7.93675,0.439916,-0.732563
-129.869,0.999997,0.00612321,10,1023,0,139.004,-1.28476,-3.28986,-4.81378,-3.77217,-0.429461,-7.37239,-0.0928735,2.15938,1.31007,0.585372,-0.798257,2.12131,-1.48774,-2.59977,-1.03824,-1.30853,-1.05184,-1.28391,-3.78375,-1.191,-1.82279,-2.31487,-1.59515,-1.03998,-2.39334,-8.05904,-0.0928735,-0.798257
-127.842,0.999851,0.00668839,10,1023,0,143.398,-6.20982,-3.74519,-3.85956,-7.97978,-5.34333,-1.59043,-0.0903875,2.09688,1.39142,2.69896,-0.205573,1.58114,-1.25288,-2.2804,-1.03769,-1.36478,-2.1588,-1.85623,-3.86113,-1.67335,-2.97014,-1.59782,-3.14722,-1.30933,-1.40453,-7.79998,-0.0903875,-0.205573
-123.941,0.999992,0.00729197,9,511,0,138.298,-5.59414,-2.19463,-3.14526,-8.68608,-1.49189,-3.33457,0.489609,2.08546,1.45484,1.15447,-0.285824,1.69839,-1.44636,-3.96473,-2.53246,-1.92188,-1.29358,-1.71941,-2.15931,-1.9134,-1.06734,-1.83776,-3.83344,-1.40064,-1.37092,-7.83771,0.489609,-0.285824
-121.253,0.999097,0.00794121,9,511,0,135.429,-3.83307,-1.62429,-4.65827,-7.52527,-4.12826,-4.43495,0.160701,2.29216,1.37898,1.12723,0.0143049,1.76864,-1.24523,-2.48248,-1.03065,-1.3391,-2.15631,-1.75045,-3.52653,-1.53376,-1.23113,-2.70393,-2.99199,-1.65554,-1.86028,-7.83569,0.160701,0.0143049
-122.132,0.999633,0.00861497,9,1023,0,133.712,-4.91185,-2.05822,-2.11406,-5.08784,-4.44569,-4.42832,-0.189518,2.08656,1.24025,2.81002,-0.0545146,2.21763,-1.17163,-3.96244,-1.09652,-1.06661,-1.18643,-1.93354,-3.28657,-3.01539,-1.57672,-1.23013,-2.70119,-1.97012,-2.29145,-7.99635,-0.189518,-0.0545146
-119.043,0.999722,0.00934566,8,511,0,133.491,-4.86996,-2.66431,-2.06377,-4.3882,-4.96933,-2.89426,-0.303613,2.14713,1.0874,1.33884,-0.313186,1.96209,-1.15625,-3.02073,-1.2206,-1.06472,-1.1072,-1.53936,-3.89862,-1.76563,-1.66041,-1.18665,-1.80115,-2.55765,-1.63472,-7.91909,-0.303613,-0.313186
-123.912,0.999942,0.0101261,9,511,0,132.642,-3.16878,-1.30185,-1.73414,-5.69964,-0.450514,-3.07965,0.0652363,1.77882,0.884513,1.12742,-0.147817,1.83348,-1.07075,-3.67948,-1.28081,-1.42485,-2.77374,-1.97951,-3.77132,-1.55836,-1.04218,-1.07111,-3.21525,-1.32427,-2.42242,-7.83249,0.0652363,-0.147817
-125.529,0.99685,0.0109624,9,511,0,140.537,-2.4704,-1.33322,-2.97994,-4.67542,-2.7635,-3.56031,0.154276,2.12247,0.945796,2.65399,-0.106573,2.00204,-1.01905,-3.41362,-1.4956,-2.02692,-1.02196,-1.36869,-4.25414,-1.38005,-1.03056,-1.99797,-2.52297,-1.06256,-1.31639,-7.88862,0.154276,-0.106573
-129.526,0.999696,0.0117573,9,511,0,143.669,-4.50607,0.482978,-5.29182,-3.66508,-3.58154,-0.0830538,0.144796,1.8986,1.06162,0.757221,-0.510925,1.8368,-1.16578,-3.4076,-1.24951,-1.18321,-1.00961,-1.54204,-3.21552,-2.31467,-1.04017,-1.89332,-1.73603,-2.70655,-1.18696,-7.88303,0.144796,-0.510925
-125.209,0.999875,0.0126857,9,511,0,142.698,-5.24941,-6.58295,-4.54508,-7.65155,-3.66149,-1.01802,-0.199957,2.09781,1.02956,2.85347,0.249188,1.90978,-1.21989,-2.20713,-1.05815,-1.42629,-1.19923,-1.34331,-2.41755,-1.70223,-3.64793,-1.97305,-2.64776,-1.66812,-1.14562,-7.8644,-0.199957,0.249188
-128.55,0.99846,0.0136752,9,511,0,141.281,-0.256851,1.79464,-4.51662,-0.688529,-6.35846,-5.27962,0.5303,1.4418,1.3966,3.31905,0.0226882,2.25716,-1.38621,-3.67961,-1.63312,-2.97829,-1.66686,-2.92763,-3.57257,-1.4004,-1.38921,-1.87579,-2.1031,-4.3984,-3.32199,-8.00532,0.5303,0.0226882
-123.405,0.997687,0.0146701,9,511,0,144.405,-2.8424,-4.85382,-6.55456,-3.30378,-8.68637,-3.34025,-0.409094,2.1429,1.27339,1.55277,0.0210413,2.35491,-1.13196,-2.77294,-1.11111,-1.6459,-1.22297,-1.94918,-2.7844,-1.39335,-1.57511,-2.09546,-1.23063,-3.23433,-1.25115,-8.05932,-0.409094,0.0210413
