# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,lprior,b_y_Intercept,b_xstar_Intercept
-206.113,1,0.03125,1,1,0,2614.35,1.49391,1.6219,0.998669,-0.0858395,-0.158635,0.703778,-1.52242,-4.30007,-2.60383,-2.32169,-4.31475,-1.91971,-6.41067,-7.58864,1.49391,-0.158635
-206.113,0,14.3855,0,1,1,210.539,1.49391,1.6219,0.998669,-0.0858395,-0.158635,0.703778,-1.52242,-4.30007,-2.60383,-2.32169,-4.31475,-1.91971,-6.41067,-7.58864,1.49391,-0.158635
-206.113,0,2.43117,0,1,1,210.001,1.49391,1.6219,0.998669,-0.0858395,-0.158635,0.703778,-1.52242,-4.30007,-2.60383,-2.32169,-4.31475,-1.91971,-6.41067,-7.58864,1.49391,-0.158635
-206.113,1.3581e-163,0.239791,1,1,0,217.536,1.49391,1.6219,0.998669,-0.0858395,-0.158635,0.703778,-1.52242,-4.30007,-2.60383,-2.32169,-4.31475,-1.91971,-6.41067,-7.58864,1.49391,-0.158635
-177.012,1,0.0186273,2,3,0,208.657,1.47582,1.63334,1.04095,-0.0920689,-0.207285,0.783238,-1.54138,-4.30032,-2.67833,-2.30963,-4.19119,-1.90427,-6.16696,-7.60647,1.47582,-0.207285
-161.645,1,0.0257257,2,3,0,179.886,1.48268,1.60308,1.06048,-0.04562,-0.238642,0.839073,-1.54507,-4.23176,-2.64773,-2.30066,-4.10771,-1.89577,-5.99111,-7.62037,1.48268,-0.238642
-107.225,1,0.0404064,3,7,0,165.54,1.39724,1.67567,1.05981,0.0554383,-0.294462,2.07002,-1.58756,-4.03573,-2.5704,-2.48494,-4.06421,-1.73978,-4.93378,-7.95852,1.39724,-0.294462
-96.9443,1,0.0687243,5,31,0,110.902,0.497666,1.92186,1.02301,3.07338,0.24696,1.71306,-1.67946,-3.09386,-1.16831,-1.88087,-1.19685,-1.99712,-3.5118,-7.78321,0.497666,0.24696
-99.4054,0.636571,0.122801,4,31,0,104.4,-0.0255902,2.12917,1.17594,0.521864,-0.155322,1.5475,-1.33827,-2.41301,-1.20034,-1.23121,-1.04269,-1.41224,-2.58969,-7.76591,-0.0255902,-0.155322
-96.6238,0.978586,0.0717506,5,31,0,101.904,-0.219401,2.10318,1.19181,3.3642,0.0785002,1.88621,-1.17982,-3.65822,-1.53869,-2.20883,-1.48951,-1.95862,-3.41427,-7.87025,-0.219401,0.0785002
-97.2578,0.936292,0.125347,4,15,0,102.91,0.44211,1.81877,1.26202,0.821908,0.182313,2.19926,-3.33038,-3.62725,-2.74396,-1.82143,-2.48449,-2.51395,-4.76311,-7.96888,0.44211,0.182313
-97.2578,0.00841075,0.193747,3,7,0,106.344,0.44211,1.81877,1.26202,0.821908,0.182313,2.19926,-3.33038,-3.62725,-2.74396,-1.82143,-2.48449,-2.51395,-4.76311,-7.96888,0.44211,0.182313
-95.9764,0.998325,0.016209,7,127,0,102.062,0.783622,1.68015,1.419,0.86855,0.162453,2.11185,-2.95208,-4.188,-2.81822,-1.89966,-2.78393,-2.49592,-4.15861,-7.95278,0.783622,0.162453
-98.359,0.99093,0.0310552,5,31,0,101.277,0.349591,1.6646,1.16413,0.934179,0.194433,2.29085,-2.85922,-4.92721,-2.43206,-1.79782,-3.11706,-2.41511,-3.01899,-7.99642,0.349591,0.194433
-99.483,0.986,0.0581369,4,15,0,104.094,0.957937,1.5692,1.08961,1.43329,0.0986804,2.22656,-2.49011,-4.49869,-3.03947,-1.74446,-2.16303,-2.14301,-6.89923,-7.9739,0.957937,0.0986804
-93.7846,0.993807,0.106864,4,15,0,103.034,-0.0155037,2.15579,1.05418,1.8568,0.262937,1.46199,-1.61486,-2.14761,-1.5768,-2.12263,-1.83048,-1.92921,-2.83313,-7.71931,-0.0155037,0.262937
-93.7846,0.16545,0.200203,2,7,1,101.373,-0.0155037,2.15579,1.05418,1.8568,0.262937,1.46199,-1.61486,-2.14761,-1.5768,-2.12263,-1.83048,-1.92921,-2.83313,-7.71931,-0.0155037,0.262937
-90.2036,0.998391,0.0296737,5,63,0,96.769,0.138352,2.13966,0.873517,1.31553,-0.527794,1.96984,-1.65931,-3.74709,-1.45425,-1.76165,-1.78382,-1.57054,-3.5711,-7.91917,0.138352,-0.527794
-88.6724,0.992374,0.0566353,4,31,0,92.9174,0.182534,1.93544,0.812514,1.52031,-0.465737,1.82897,-1.41537,-3.45727,-1.58826,-1.54615,-1.93239,-1.78946,-3.95857,-7.85798,0.182534,-0.465737
-92.0269,0.950997,0.105262,4,15,0,94.4581,0.116599,2.00045,1.02969,0.75457,-0.185244,1.83954,-1.39432,-3.6935,-1.36014,-2.128,-1.53083,-1.8076,-3.39266,-7.84504,0.116599,-0.185244
-91.569,0.557071,0.171413,3,7,0,95.4398,-0.0245007,1.95324,1.04546,0.999508,-0.219476,1.78754,-1.67524,-3.7233,-1.38893,-1.97059,-1.55982,-1.65282,-3.31139,-7.8361,-0.0245007,-0.219476
-93.1037,0.901974,0.0864746,5,31,0,97.1868,0.370789,1.90009,0.831906,2.79922,0.0942877,1.7272,-1.34086,-3.38499,-2.15765,-1.41389,-1.48043,-1.90306,-3.25488,-7.77769,0.370789,0.0942877
-93.3582,0.759903,0.121382,5,31,0,101.845,0.371871,2.02524,1.02377,2.58787,0.0733556,2.16951,-1.26579,-3.05085,-2.19479,-1.40315,-1.461,-2.11039,-3.29264,-7.94239,0.371871,0.0733556
-95.3077,0.830814,0.112161,4,15,0,100.509,0.525271,1.8924,0.827204,1.69832,-0.246156,2.01665,-2.58406,-2.99487,-1.73734,-2.50557,-2.25261,-1.9122,-3.4486,-7.89415,0.525271,-0.246156
