# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,lprior,b_y_Intercept,b_xstar_Intercept
-153.418,1,0.0625,2,3,0,317.722,0.337208,-0.121952,2.61692,1.56613,0.516646,5.78009,-6.2844,-1.15382,-1.59633,-1.26518,-1.87601,-1.19203,-3.07255,-9.72939,0.337208,0.516646
-153.418,0,14.3855,0,1,1,163.389,0.337208,-0.121952,2.61692,1.56613,0.516646,5.78009,-6.2844,-1.15382,-1.59633,-1.26518,-1.87601,-1.19203,-3.07255,-9.72939,0.337208,0.516646
-153.418,0,2.43117,0,1,1,159.638,0.337208,-0.121952,2.61692,1.56613,0.516646,5.78009,-6.2844,-1.15382,-1.59633,-1.26518,-1.87601,-1.19203,-3.07255,-9.72939,0.337208,0.516646
-143.107,0.37878,0.239791,1,3,0,158.159,0.512652,0.406764,7.36486,1.81986,0.525655,3.4415,-6.58989,-1.1701,-1.56728,-1.344,-1.95697,-1.15018,-3.05663,-9.72467,0.512652,0.525655
-109.224,0.99181,0.0549737,5,31,0,149.526,0.0083183,2.49454,2.04156,1.42463,-0.146934,2.4027,-1.52062,-1.21747,-1.32344,-1.60793,-1.93945,-1.08419,-3.68484,-8.14829,0.0083183,-0.146934
-104.615,0.987345,0.0776628,4,31,0,115.397,-0.38982,2.05169,0.9524,1.33784,0.28432,1.32842,-1.61585,-1.30277,-1.52304,-1.93758,-1.48884,-1.20429,-2.64587,-7.69419,-0.38982,0.28432
-100.317,1,0.120896,4,15,0,108.388,0.0224812,2.16628,1.54362,1.48391,0.572179,1.54206,-1.74386,-1.35802,-1.46368,-1.67922,-1.41801,-1.20813,-3.23103,-7.79596,0.0224812,0.572179
-100.317,0.0424708,0.209396,3,15,0,108.498,0.0224812,2.16628,1.54362,1.48391,0.572179,1.54206,-1.74386,-1.35802,-1.46368,-1.67922,-1.41801,-1.20813,-3.23103,-7.79596,0.0224812,0.572179
-95.5827,0.999971,0.0186569,6,63,0,101.142,-0.203093,2.25191,1.33105,1.3483,-0.212548,1.49689,-1.45757,-1.93014,-1.56057,-1.74996,-1.53071,-1.30821,-3.01227,-7.77554,-0.203093,-0.212548
-94.0899,0.995306,0.0340325,5,63,0,100.754,0.0988883,2.06432,1.24363,2.23264,0.654095,1.95242,-1.35334,-3.48287,-1.9312,-1.91076,-1.39881,-2.03807,-4.32003,-7.90558,0.0988883,0.654095
-95.2902,0.980214,0.0626171,5,47,0,99.7756,0.215471,1.99372,0.731916,1.36502,-0.0193624,1.75333,-1.27192,-2.54655,-1.428,-1.31286,-1.62157,-1.33456,-3.27571,-7.78699,0.215471,-0.0193624
-105.855,0.854353,0.111278,4,15,0,109.571,0.748373,1.44251,1.39035,3.93807,-0.192656,1.90975,-2.94822,-2.55209,-1.17373,-2.2798,-2.27508,-3.36764,-5.62218,-7.89453,0.748373,-0.192656
-98.1002,0.705523,0.133853,4,15,0,112.99,0.265097,1.7927,0.922315,2.99139,0.541816,1.90071,-2.05793,-3.82681,-1.37229,-3.17212,-1.47164,-2.77264,-3.68403,-7.85245,0.265097,0.541816
-100.844,0.827903,0.101453,5,63,0,108.632,-0.188931,2.46139,0.992415,0.752295,0.129844,1.38526,-1.20921,-2.70135,-1.03399,-1.06128,-1.0511,-1.26898,-2.37734,-7.70113,-0.188931,0.129844
-104.658,0.871043,0.1135,4,31,0,108.982,-0.277821,2.29887,0.991707,0.477698,0.0238399,1.55337,-1.15149,-2.93449,-1.04526,-1.05236,-1.04037,-1.28552,-1.96929,-7.75536,-0.277821,0.0238399
-101.8,0.944543,0.145498,3,15,0,109.968,-0.311419,2.02305,0.67172,3.03147,0.0506355,1.60833,-1.22949,-2.9278,-1.09442,-1.07581,-1.05193,-1.29443,-3.74569,-7.75521,-0.311419,0.0506355
-101.8,0.0127148,0.233741,3,7,0,105.527,-0.311419,2.02305,0.67172,3.03147,0.0506355,1.60833,-1.22949,-2.9278,-1.09442,-1.07581,-1.05193,-1.29443,-3.74569,-7.75521,-0.311419,0.0506355
-97.6558,0.999222,0.0217046,7,127,0,109.481,0.628179,1.88915,1.05364,1.3593,-0.229908,2.23431,-2.20828,-4.62477,-1.9427,-2.25351,-2.22786,-1.05154,-5.29828,-7.98649,0.628179,-0.229908
-94.4648,0.996933,0.0416306,6,127,0,103.368,-0.107871,2.10054,1.05728,2.56894,0.152688,1.68233,-1.36055,-3.0583,-1.66065,-1.46668,-1.33456,-2.83712,-3.59381,-7.788,-0.107871,0.152688
-91.9254,0.937536,0.0786364,5,31,0,101.325,0.0741383,2.14103,0.961108,1.2594,-0.000775477,1.87631,-1.72574,-2.98212,-1.80862,-1.18515,-1.18314,-1.26238,-3.52489,-7.84258,0.0741383,-0.000775477
-88.6894,0.496064,0.123313,5,63,0,96.7983,0.111595,2.10969,0.904815,1.93886,0.201745,1.8813,-1.51779,-3.02582,-1.52185,-1.69046,-1.2421,-1.9689,-3.3638,-7.83556,0.111595,0.201745
-92.9285,0.983517,0.0520853,5,31,0,94.6604,0.0894945,1.99883,1.17075,1.73541,-0.1939,1.71512,-2.1038,-2.91688,-2.36543,-1.62216,-1.21712,-1.9269,-2.99721,-7.81611,0.0894945,-0.1939
-90.2529,0.952324,0.0932519,5,31,0,98.8907,0.128902,2.15265,0.863255,1.87464,0.283284,1.71436,-1.10345,-3.47627,-1.31053,-1.30968,-1.30828,-1.52735,-3.12736,-7.77888,0.128902,0.283284
-90.3432,0.861086,0.151083,4,15,0,93.4817,-0.0174131,2.20049,0.740088,1.93636,-0.134182,1.60607,-1.13392,-3.10373,-1.40844,-1.12609,-1.26778,-1.62097,-3.41594,-7.75441,-0.0174131,-0.134182
-92.1386,0.0637329,0.186727,3,15,0,95.5939,-0.262971,2.06572,1.00329,2.02503,0.183112,1.96281,-1.11655,-3.59564,-1.60467,-1.18908,-1.30054,-1.49795,-3.5142,-7.88371,-0.262971,0.183112
-93.4445,0.986703,0.0235712,5,63,0,101.82,-0.0937243,2.07947,0.844003,2.02888,0.239051,1.74686,-1.11464,-4.22583,-1.55514,-1.16503,-1.32053,-1.58119,-2.87314,-7.79462,-0.0937243,0.239051
-95.7092,0.994946,0.0421185,6,63,0,104.196,0.296245,1.95882,0.990312,1.58635,-0.523511,1.88224,-1.05416,-3.13709,-2.1897,-1.10117,-1.50502,-1.37976,-3.95965,-7.89261,0.296245,-0.523511
-93.5578,0.976488,0.0762862,5,63,0,100.763,0.0028231,2.12403,0.919979,1.74364,0.155765,1.69638,-1.04209,-3.7697,-1.07842,-2.05937,-1.34856,-1.53336,-3.11219,-7.77956,0.0028231,0.155765
-94.6318,0.820778,0.129957,4,31,0,102.116,0.188294,2.10091,0.945856,2.01827,0.122663,1.71987,-1.50718,-4.11014,-1.01045,-1.21862,-1.57871,-1.71371,-3.37112,-7.78404,0.188294,0.122663
-95.7108,0.780487,0.142743,4,15,0,100.73,0.0589851,2.02835,0.844857,2.57888,0.230848,2.14889,-1.75162,-3.77725,-1.02283,-1.27253,-1.81668,-1.59578,-2.82007,-7.92818,0.0589851,0.230848
-98.7474,0.647367,0.140192,5,31,0,104.543,0.0451098,2.03066,1.04814,1.7706,0.141709,1.37827,-1.0252,-3.06783,-1.01423,-1.80226,-1.22306,-1.18951,-2.94377,-7.69401,0.0451098,0.141709
-102.532,0.889918,0.0959402,5,47,0,110.414,-0.314217,2.03833,1.22274,1.42078,-0.139852,1.60737,-1.00133,-2.90456,-1.16381,-1.24724,-1.76991,-1.02804,-3.38902,-7.7988,-0.314217,-0.139852
-101.359,0.858145,0.126975,5,31,0,108.405,0.247523,2.10984,0.762837,1.40906,-0.118273,1.99049,-1.00559,-2.60251,-1.56861,-1.94719,-1.15341,-1.03172,-3.43155,-7.87334,0.247523,-0.118273
-103.091,0.543084,0.153664,4,31,0,107.954,-0.0499473,2.01038,1.09749,1.28325,-0.411339,1.71967,-1.00244,-4.44666,-1.96481,-1.60958,-1.12436,-1.03929,-3.9637,-7.83958,-0.0499473,-0.411339
-101.151,0.99581,0.0804281,5,47,0,110.867,-0.453758,2.175,0.853594,2.61597,0.815808,1.99373,-1.00071,-3.15157,-1.20828,-1.59266,-1.64117,-1.14,-2.94086,-7.93616,-0.453758,0.815808
-95.8321,0.96704,0.139847,5,31,0,105.129,0.0794096,2.10741,0.902469,2.39803,0.798509,2.22776,-1.05978,-3.35446,-1.81773,-1.15107,-1.22165,-1.22138,-3.89611,-7.99795,0.0794096,0.798509
-95.3812,0.18756,0.223604,3,7,0,103.649,0.0213905,2.50415,0.952978,1.62564,-0.0108098,1.62575,-1.10352,-2.44591,-1.3472,-1.45775,-1.11676,-1.30294,-2.56419,-7.76368,0.0213905,-0.0108098
-94.8767,0.997351,0.0471901,6,63,0,102.859,0.0696906,2.25805,0.934683,1.35971,0.34301,1.79206,-1.02774,-3.2231,-1.28484,-1.10096,-1.16881,-1.95671,-3.31058,-7.81101,0.0696906,0.34301
-99.6872,0.946027,0.0816358,5,63,0,109.078,0.027823,1.90689,0.836406,2.2518,-0.693124,2.0722,-1.00554,-3.73567,-2.07675,-1.10505,-2.02418,-1.08224,-3.57173,-7.98397,0.027823,-0.693124
-100.696,0.982689,0.12286,4,31,0,106.47,-0.301023,2.3034,0.757114,1.77887,0.892412,1.69451,-1.00151,-2.9733,-1.28937,-1.02749,-1.28131,-1.08689,-3.17928,-7.83327,-0.301023,0.892412
-100.696,0.0238903,0.201598,2,3,0,108.185,-0.301023,2.3034,0.757114,1.77887,0.892412,1.69451,-1.00151,-2.9733,-1.28937,-1.02749,-1.28131,-1.08689,-3.17928,-7.83327,-0.301023,0.892412
-101.384,0.999538,0.0295606,7,127,0,105.78,0.124667,2.00391,0.929612,1.70018,0.0952663,1.55502,-1.00035,-3.60153,-1.03887,-1.16201,-1.80932,-2.50373,-3.74171,-7.73465,0.124667,0.0952663
-96.2694,0.991547,0.0507326,6,63,0,106.242,0.128274,1.96874,0.88522,1.68852,0.00168549,1.67093,-1.00103,-3.42029,-1.57356,-2.10134,-1.36416,-1.14356,-3.51289,-7.76999,0.128274,0.00168549
-94.2195,0.861388,0.0846813,5,31,0,100.947,-0.185629,2.27833,0.834156,1.7564,0.373005,1.61088,-1.00742,-3.13375,-1.57287,-1.08814,-1.31754,-1.28847,-3.27203,-7.75862,-0.185629,0.373005
-90.9779,0.725268,0.101893,5,63,0,100.041,-0.203283,2.07715,0.841009,1.79921,0.267164,1.88505,-1.2877,-2.81335,-1.0873,-1.46223,-1.63523,-1.64862,-3.27354,-7.84494,-0.203283,0.267164
-91.0895,0.942161,0.087719,3,15,0,95.6072,0.222954,2.13598,0.931538,1.93008,0.240451,1.70808,-1.3989,-2.59098,-1.15756,-1.55725,-1.51718,-1.51943,-3.31832,-7.7783,0.222954,0.240451
-92.1652,0.639504,0.127953,5,31,0,100.173,-0.0650913,2.26378,0.900326,1.52652,0.733419,1.97353,-1.46078,-3.04375,-1.34767,-1.16387,-1.39463,-1.31847,-2.82325,-7.90259,-0.0650913,0.733419
-94.6443,0.883898,0.0896366,4,23,0,98.5186,0.0815839,1.74193,1.16776,2.2895,-0.738859,2.03162,-1.15872,-3.90688,-2.13862,-2.60413,-2.04303,-2.47152,-4.26074,-7.99795,0.0815839,-0.738859
-100.297,0.861482,0.113121,3,7,0,104.722,0.790667,1.66054,1.30397,2.81951,-0.871698,2.34345,-1.14579,-3.41829,-2.95752,-3.10087,-1.98172,-3.17287,-4.42589,-8.14866,0.790667,-0.871698
