# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,lprior,b_y_Intercept,b_xstar_Intercept
-93.4105,0.976806,0.0881995,5,31,0,101.871,-0.454927,2.16662,0.957674,1.83009,0.511592,1.57678,-1.52923,-3.24404,-1.76359,-1.76175,-1.32959,-1.28478,-3.00295,-7.77712,-0.454927,0.511592
-94.4711,0.223009,0.152856,6,63,0,99.9518,-0.225038,2.16197,1.00803,1.84555,-0.104221,1.51876,-1.2797,-1.98963,-1.30536,-1.33365,-1.40399,-1.3266,-3.7123,-7.7503,-0.225038,-0.104221
-96.4606,0.935611,0.0304673,5,31,0,105.805,0.219811,2.31531,0.990978,2.0387,-0.4127,1.8832,-1.20268,-3.05249,-1.22737,-1.63134,-1.39057,-1.44374,-2.22061,-7.87877,0.219811,-0.4127
-92.7544,0.992769,0.0470024,5,63,0,99.7719,-0.304819,2.0762,0.911983,1.63559,0.0206672,1.61597,-1.17047,-3.91108,-1.39017,-1.90538,-1.32535,-1.42883,-3.31421,-7.77061,-0.304819,0.0206672
-90.1072,0.99093,0.0845343,5,31,0,96.3236,-0.092375,2.09788,0.942427,1.46633,0.161632,1.92312,-1.43862,-3.6326,-1.46605,-1.35305,-2.02971,-1.66692,-3.22345,-7.85875,-0.092375,0.161632
-97.0771,0.33368,0.149789,4,15,0,102.02,-0.0798161,1.82021,1.07048,2.27146,0.131317,2.33875,-2.0238,-3.88193,-2.8457,-1.09141,-1.77059,-2.23608,-4.88004,-8.01886,-0.0798161,0.131317
-96.3635,0.953826,0.0428065,6,63,0,105.93,0.185874,2.21012,1.09654,1.68448,0.0921152,1.52123,-1.16153,-3.06927,-1.47238,-1.057,-1.42554,-1.41808,-2.09649,-7.73444,0.185874,0.0921152
-97.1184,0.892416,0.0682651,4,31,0,104.121,-0.190783,2.04439,0.720158,1.12282,0.769744,1.4949,-1.21472,-3.08978,-1.33122,-1.13364,-1.62496,-1.66524,-3.57538,-7.75018,-0.190783,0.769744
-94.1558,1,0.0914332,5,31,0,100.92,0.0926366,2.02645,0.801135,2.34648,0.391497,1.30772,-1.62347,-3.24227,-1.56941,-1.7814,-1.16051,-1.17509,-3.0816,-7.66295,0.0926366,0.391497
-92.3258,0.25724,0.162846,3,15,0,96.9411,-0.0457384,1.97732,0.784719,2.1251,0.482401,1.52318,-1.62891,-3.51149,-1.57373,-1.84682,-1.14445,-1.13869,-3.30298,-7.72976,-0.0457384,0.482401
