# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-96518.2,1,0.000244141,1,1,0,529752,1.0492,2.06434,0.222097,1.0492
-96518.2,0,14.3855,0,1,1,96520.3,1.0492,2.06434,0.222097,1.0492
-96518.2,0,2.43117,0,1,1,96518.7,1.0492,2.06434,0.222097,1.0492
-96518.2,0,0.239791,0,1,1,96521.2,1.0492,2.06434,0.222097,1.0492
-96518.2,0,0.0186273,0,1,1,96519.2,1.0492,2.06434,0.222097,1.0492
-96518.2,0,0.00130482,0,1,1,96518.6,1.0492,2.06434,0.222097,1.0492
-93950.9,1,8.85015e-05,1,1,0,96479.7,1.04877,2.05804,0.22227,1.04877
-88368.7,1,0.000135987,1,1,0,93764.8,1.04785,2.04369,0.222664,1.04785
-49799.9,1,0.000228818,3,7,0,86311.1,1.0392,1.90868,0.226658,1.0392
-21877.4,1,0.000408639,7,127,0,47948.4,1.02703,1.71325,0.233336,1.02703
-16401.1,1,0.000758439,1,1,0,21146.6,1.02437,1.6444,0.235927,1.02437
-8135.84,1,0.00144197,1,1,0,14425.3,1.01518,1.47961,0.243661,1.01518
-2902.11,1,0.00278004,2,3,0,6714.28,1.00149,1.23783,0.259034,1.00149
-1328.88,1,0.00539629,3,7,0,2470.48,1.00412,1.02488,0.280439,1.00412
-848.504,1,0.0104922,2,3,0,1219.1,1.01553,0.875127,0.322552,1.01553
-473.823,1,0.0203599,3,7,0,758.876,0.979243,0.838888,0.443082,0.979243
-224.532,1,0.0393257,1,1,0,396.65,0.939371,0.870817,0.817695,0.939371
-199.93,1,0.0754671,2,3,0,218.088,0.942956,0.867534,1.38208,0.942956
-195.903,0.333333,0.143696,1,3,1,200.972,0.616142,0.829485,1.13971,0.616142
-192.413,0.92958,0.0365574,4,23,0,199.115,-0.505964,0.727487,1.08824,-0.505964
-193.412,0.911647,0.0563369,2,7,0,194.145,-0.47516,0.680581,1.04523,-0.47516
-193.171,0.942457,0.0818369,2,3,0,194.375,-0.188604,0.744531,1.33089,-0.188604
-192.266,0.659907,0.129407,3,7,0,193.898,0.150709,0.728536,1.1068,0.150709
-194.769,0.326382,0.0893685,1,3,0,196.072,0.0377882,0.774223,1.00361,0.0377882
-191.777,0.998328,0.0237644,3,7,0,195.452,0.030073,0.67199,1.17587,0.030073
-191.487,0.981512,0.0440992,3,15,0,192.552,-0.224101,0.765798,1.13072,-0.224101
-193.123,0.723296,0.0772356,4,15,0,195.053,-0.301942,0.608071,1.27616,-0.301942
-192.388,0.967995,0.0648919,2,3,0,193.809,-0.359174,0.620089,1.2188,-0.359174
-192.416,0.571917,0.10811,2,3,0,193.266,-0.398409,0.726078,1.06032,-0.398409
-191.998,1,0.0598159,3,7,0,192.5,-0.145934,0.738204,1.06388,-0.145934
-191.998,0.00284515,0.107948,2,3,0,195.279,-0.145934,0.738204,1.06388,-0.145934
-193.886,0.979509,0.0128586,4,31,0,197.082,-0.230645,0.584959,1.07734,-0.230645
-194.122,0.994386,0.0220227,4,15,0,197.203,-0.327957,0.546981,1.21852,-0.327957
-192.729,0.987053,0.0389033,3,15,0,195.167,-0.527029,0.789993,1.13608,-0.527029
-192.238,0.767135,0.0667808,2,3,0,194.603,-0.386273,0.652157,1.24699,-0.386273
-193.299,0.719662,0.0637398,2,3,0,196.896,-0.348097,0.8006,1.28299,-0.348097
-192.396,0.958014,0.0537843,3,7,0,194.334,-0.347214,0.801505,1.15481,-0.347214
-192.438,0.912099,0.0843202,2,3,0,193.546,-0.508971,0.664221,1.22604,-0.508971
-192.438,0.143949,0.116661,2,7,0,193.203,-0.508971,0.664221,1.22604,-0.508971
-194.027,0.971582,0.0226656,3,7,0,194.248,-0.492438,0.665326,1.33758,-0.492438
-192.954,0.997738,0.0366234,3,15,0,196.657,0.13498,0.750284,1.06403,0.13498
-191.189,0.954169,0.0627328,3,15,0,193.63,-0.20666,0.714139,1.10942,-0.20666
-191.263,0.986421,0.0956217,2,3,0,191.459,-0.260237,0.731532,1.21088,-0.260237
-191.263,1.24932e-08,0.156874,1,1,0,192.023,-0.260237,0.731532,1.21088,-0.260237
-193.376,0.961387,0.0226426,4,15,0,194.35,-0.312915,0.572398,1.14772,-0.312915
-191.21,0.988769,0.0350466,2,7,0,194.109,-0.312225,0.697518,1.12675,-0.312225
-193.352,0.689603,0.0576003,2,3,0,194.126,-0.317828,0.766778,1.0333,-0.317828
-191.601,1,0.0457717,2,3,0,193.524,-0.314023,0.766737,1.13405,-0.314023
-191.389,0.723744,0.0765793,2,3,0,192.913,-0.273295,0.6665,1.12733,-0.273295
-193.186,0.903664,0.0660441,3,7,0,193.894,-0.674399,0.727598,1.24022,-0.674399
-193.153,0.89982,0.0872007,3,7,0,194.044,-0.637517,0.682693,1.12899,-0.637517
-193.153,0.119962,0.113666,2,5,0,196.986,-0.637517,0.682693,1.12899,-0.637517
-192.853,0.995183,0.0240616,3,15,0,195.081,-0.510462,0.64594,1.11345,-0.510462
-191.37,1,0.039277,3,7,0,192.982,-0.410368,0.706709,1.16029,-0.410368
-191.283,0.968576,0.0644102,4,15,0,192.662,0.0033657,0.718887,1.15574,0.0033657
-193.151,0.463114,0.0976881,1,3,0,193.295,0.0615853,0.720358,1.03939,0.0615853
-193.891,0.982462,0.0468386,3,15,0,196.171,-0.319777,0.626038,1.33511,-0.319777
-194.159,0.823136,0.07304,2,7,0,197.975,-0.177203,0.55516,1.12764,-0.177203
-192.958,1,0.0792686,2,3,0,194.23,-0.238228,0.584044,1.14948,-0.238228
-193.1,1,0.127397,2,7,0,193.429,-0.0638172,0.817664,1.23799,-0.0638172
-193.461,0.333333,0.203563,1,3,1,193.852,-0.104325,0.57994,1.13849,-0.104325
-191.985,0.993016,0.074609,2,7,0,194.017,-0.0273197,0.729158,1.26196,-0.0273197
-193.68,0.106949,0.1171,2,5,0,194.697,-0.102874,0.758275,1.34659,-0.102874
-192.871,1,0.0266188,3,7,0,193.972,-0.155678,0.712006,1.02687,-0.155678
-193.084,1,0.0424333,3,7,0,193.553,-0.0812963,0.734571,1.32684,-0.0812963
-192.727,1,0.0672763,2,3,0,193.272,-0.0658399,0.703983,1.03811,-0.0658399
-192.463,1,0.106099,2,3,0,192.824,-0.0275057,0.768795,1.06973,-0.0275057
-191.544,1,0.166462,1,1,0,192.151,0.0240265,0.753866,1.13972,0.0240265
-191.544,3.44132e-15,0.259847,1,1,0,192.011,0.0240265,0.753866,1.13972,0.0240265
-192.442,0.888296,0.0492812,3,15,0,193.529,-0.139811,0.625326,1.24584,-0.139811
-192.299,0.978946,0.0609928,3,11,0,193.627,-0.444273,0.789258,1.16282,-0.444273
-192.64,0.855437,0.0909371,2,7,0,193.813,-0.0582613,0.614552,1.21437,-0.0582613
-192.64,0.0407502,0.104547,2,3,0,195.123,-0.0582613,0.614552,1.21437,-0.0582613
-192.921,0.98345,0.0224269,4,15,0,194.827,-0.00668358,0.709725,1.31339,-0.00668358
-194.531,0.95849,0.0336992,3,7,0,196.695,0.0699176,0.588725,1.26522,0.0699176
-191.699,1,0.0479195,3,7,0,195.286,-0.116896,0.652809,1.12241,-0.116896
-191.197,0.911579,0.0738494,1,3,0,192.559,-0.115372,0.747143,1.18107,-0.115372
-191.32,0.996877,0.0947945,2,7,0,192.099,0.0118893,0.73015,1.17014,0.0118893
-191.32,0.0344699,0.144029,1,3,0,192.461,0.0118893,0.73015,1.17014,0.0118893
-192.153,0.970396,0.0318756,3,7,0,192.521,-0.0174219,0.642797,1.13819,-0.0174219
-192.323,0.959903,0.0459948,3,7,0,193.113,-0.0156373,0.720582,1.2826,-0.0156373
-191.457,0.90786,0.0647671,3,11,0,194.215,-0.22268,0.738797,1.22951,-0.22268
-191.23,0.979765,0.0820418,2,7,0,191.803,-0.0968062,0.726382,1.11589,-0.0968062
-191.038,1,0.119366,1,1,0,191.132,-0.10474,0.709311,1.14823,-0.10474
-191.038,0.103665,0.180007,1,1,0,191.421,-0.10474,0.709311,1.14823,-0.10474
-192.132,0.930615,0.0474718,3,7,0,193.107,0.115527,0.707859,1.2298,0.115527
-191.024,0.933291,0.0626249,3,7,0,193.018,-0.260091,0.710374,1.14036,-0.260091
-191.181,0.915759,0.0828224,3,15,0,191.431,-0.0728806,0.73577,1.18501,-0.0728806
-191.705,0.692407,0.10564,2,3,0,192.225,-0.0343502,0.732989,1.08891,-0.0343502
-192.179,0.403317,0.0878318,2,3,0,193.673,-0.0471875,0.676764,1.26536,-0.0471875
-192.049,0.964454,0.0422607,3,7,0,193.743,-0.152147,0.794332,1.14366,-0.152147
-191.972,1,0.0590656,3,7,0,192.431,-0.186925,0.786734,1.12346,-0.186925
-192.681,0.654493,0.0879932,2,3,0,193.238,-0.135071,0.608475,1.23426,-0.135071
-192.966,0.901429,0.0683976,2,7,0,194.774,0.0474565,0.817107,1.14866,0.0474565
-191.802,0.9958,0.084429,3,9,0,193.168,-0.499597,0.73579,1.17603,-0.499597
-191.802,0.303973,0.123941,2,5,0,193.026,-0.499597,0.73579,1.17603,-0.499597
-192.966,0.947501,0.0504711,3,7,0,193.865,-0.687711,0.741023,1.182,-0.687711
-191.684,0.987056,0.0677042,3,7,0,193.216,-0.473186,0.71408,1.14166,-0.473186
-191.583,0.31329,0.0974046,2,3,0,194.339,-0.290399,0.685054,1.23687,-0.290399
-191.913,0.983371,0.040831,3,7,0,192.287,-0.296711,0.72713,1.26425,-0.296711
-191.913,3.31316e-95,3.73041,1,1,0,193.933,-0.296711,0.72713,1.26425,-0.296711
-191.913,0,8.71075,0,1,1,195.527,-0.296711,0.72713,1.26425,-0.296711
-191.3,0.995418,0.858874,3,7,0,192.383,-0.174814,0.662489,1.15592,-0.174814
-192.66,0.94237,0.883664,2,7,0,192.768,0.0508856,0.798365,1.23222,0.0508856
-193.592,0.791798,1.01286,3,7,0,195.353,-0.312011,0.564008,1.15419,-0.312011
-193.362,0.701539,0.844898,2,3,0,198.325,-0.275563,0.621613,1.05563,-0.275563
-193.898,0.973687,0.564281,4,15,0,195.627,-0.326659,0.783709,1.33611,-0.326659
-192.381,0.981646,0.903846,3,7,0,195.541,-0.171682,0.605955,1.18223,-0.171682
-191.928,0.939927,1.54319,2,3,0,193.323,-0.274807,0.628403,1.14192,-0.274807
-192.14,1,2.36392,1,1,0,192.461,-0.226248,0.621671,1.21568,-0.226248
-192.14,1.20743e-135,4.43242,1,1,0,192.912,-0.226248,0.621671,1.21568,-0.226248
-192.505,0.99457,0.355017,4,15,0,192.956,-0.0920778,0.612933,1.20683,-0.0920778
-191.403,1,0.664419,3,7,0,192.699,-0.180342,0.654674,1.15716,-0.180342
-191.439,0.997108,1.26619,2,7,0,191.605,-0.233281,0.660288,1.12637,-0.233281
-191.439,1.32729e-07,2.38496,1,1,0,195.782,-0.233281,0.660288,1.12637,-0.233281
-191.295,0.99411,0.20348,4,31,0,194.545,-0.254225,0.697283,1.21888,-0.254225
-192.227,0.98453,0.383343,3,7,0,192.682,-0.577278,0.731254,1.18663,-0.577278
-191.325,1,0.696726,3,7,0,192.508,-0.336503,0.691377,1.20231,-0.336503
-191.667,0.928231,1.31733,2,3,0,192.267,-0.263268,0.777903,1.17452,-0.263268
-191.667,8.84618e-05,1.98958,2,3,0,195.031,-0.263268,0.777903,1.17452,-0.263268
-192.641,0.993932,0.18771,4,23,0,194.013,-0.105865,0.616409,1.11192,-0.105865
-194.649,0.973858,0.348103,3,7,0,195.25,-0.0138752,0.590643,1.07383,-0.0138752
-195.879,0.994996,0.602853,3,7,0,196.434,-0.52424,0.835921,1.35152,-0.52424
-195.591,0.996035,1.10053,2,7,0,196.865,-0.551088,0.766091,1.39579,-0.551088
-191.784,0.665221,1.99529,2,3,0,194.571,-0.0396792,0.652635,1.15548,-0.0396792
-191.615,1,1.39196,2,3,0,194.64,-0.336369,0.652674,1.1879,-0.336369
-191.615,0.107764,2.52263,1,1,0,193.117,-0.336369,0.652674,1.1879,-0.336369
-192.563,0.982861,0.369308,3,15,0,194.825,-0.35715,0.653291,1.27797,-0.35715
-193.9,0.95358,0.638992,3,7,0,195.231,-0.567028,0.830057,1.17779,-0.567028
-191.846,0.995276,1.01046,3,7,0,194.612,-0.282697,0.629729,1.17064,-0.282697
