# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = model_e2be5eb6573ecac874026412491317bd_model
# start_datetime = 2024-09-05 18:28:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/standata-177628368cc7.json
# init = 2 (Default)
# random
#   seed = 1245
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-202409051528-2-470c15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-profile-202409051528-2-45bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=model_e2be5eb6573ecac874026412491317bd_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,ar.1,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.379256
# Diagonal elements of inverse mass matrix:
# 0.000448514, 0.951394, 1.14537, 0.024589, 0.7575
-67.2157,0.927679,0.379256,3,7,0,68.0571,0.0642679,9.80926,0.960394,0.803208,29.8485,-9.30816,6.66013
-67.5777,0.995211,0.379256,2,3,0,68.4799,0.063649,9.55305,0.961328,0.86563,22.3948,-8.84052,6.43425
-65.7179,0.979625,0.379256,3,7,0,69.9415,0.0868774,8.58849,0.949244,0.588332,7.31315,-8.43068,4.3315
-66.6654,0.954357,0.379256,3,7,0,69.8972,0.115419,10.2179,0.954735,0.848125,41.7667,-10.203,4.56243
-69.1378,0.7098,0.379256,3,7,0,73.2147,0.123963,9.17912,0.834485,0.712247,4.27273,-8.65763,3.10495
-67.7916,0.949953,0.379256,2,7,0,70.8142,0.128942,9.60529,0.888468,0.726352,6.06491,-8.50609,3.28715
-66.945,0.946785,0.379256,4,15,0,69.8562,0.104923,8.88532,0.939913,0.640919,4.01231,-8.69796,3.7441
-65.6604,0.999393,0.379256,3,7,0,68.2561,0.0762963,9.49495,0.962145,0.518808,8.37598,-8.40183,5.75643
-70.2815,0.713378,0.379256,3,7,0,72.0601,0.103783,9.8978,0.960608,0.974446,7.50836,-8.4754,4.81244
-66.5968,0.976389,0.379256,3,7,0,74.268,0.11468,9.95172,0.952131,0.67924,4.34106,-8.69158,4.33242
-66.278,0.974644,0.379256,3,7,0,68.6492,0.122157,10.3383,0.961445,0.574024,9.14648,-8.45783,4.35259
-66.9131,0.814779,0.379256,3,7,0,70.6995,0.120348,10.3526,0.927234,0.602524,31.6023,-9.46233,4.45557
-65.9063,0.986904,0.379256,3,7,0,68.7998,0.0894381,9.42773,0.891246,0.772329,5.77581,-8.51745,5.04527
-65.0815,0.992938,0.379256,2,3,0,66.7171,0.105295,9.60217,0.873144,0.754414,7.13969,-8.44767,4.4427
-63.2707,0.934069,0.379256,2,3,0,66.847,0.0995946,9.74886,0.894944,0.726575,20.3537,-8.72916,4.86873
-64.9381,0.790292,0.379256,3,7,0,65.5919,0.0979308,9.52457,0.931716,0.746609,46.4655,-10.5085,4.72596
-63.7145,0.939284,0.379256,3,7,0,66.821,0.105649,9.69291,0.913916,0.745768,17.4383,-8.59269,4.51611
-65.3764,0.91471,0.379256,2,3,0,65.8352,0.0939921,9.51815,0.849486,0.839444,14.8783,-8.48563,4.91253
-65.7142,0.842619,0.379256,3,7,0,68.618,0.104581,10.0147,0.975628,0.656535,31.722,-9.44603,4.89021
-65.3993,0.710588,0.379256,3,7,0,67.6216,0.112456,10.1237,0.916357,0.632394,38.1969,-9.90984,4.61335
-63.6893,0.995018,0.379256,3,7,0,66.5077,0.0970219,9.337,0.875907,0.679555,14.0357,-8.44671,4.58293
-64.5923,0.925278,0.379256,3,7,0,65.7666,0.0880391,10.2334,0.967313,0.659196,11.9785,-8.46216,5.91953
-65.2598,0.97998,0.379256,3,7,0,66.6715,0.0731594,9.59099,0.975334,0.653708,11.2469,-8.40585,6.00617
-68.6524,0.708166,0.379256,3,7,0,69.9296,0.0916446,8.12911,0.940856,0.831976,11.021,-8.42756,3.63852
-68.3521,0.852404,0.379256,3,7,0,71.3996,0.0430575,8.73489,0.987059,0.763736,13.5347,-8.44423,6.62507
-68.4822,0.973724,0.379256,3,15,0,71.1148,0.0521709,6.93269,0.982064,0.625206,5.72057,-8.67618,4.37631
-70.4956,0.946465,0.379256,4,15,0,73.4177,0.0429995,9.28651,0.994508,0.813585,18.1954,-8.61884,7.17953
