# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = model_e2be5eb6573ecac874026412491317bd_model
# start_datetime = 2024-09-05 18:28:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/standata-177628368cc7.json
# init = 2 (Default)
# random
#   seed = 1245
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-202409051528-4-470c15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-profile-202409051528-4-45bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=model_e2be5eb6573ecac874026412491317bd_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,ar.1,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.392652
# Diagonal elements of inverse mass matrix:
# 0.000401562, 0.841444, 0.934824, 0.02755, 0.853086
-64.0203,0.975602,0.392652,3,7,0,65.1164,0.0947025,9.8613,0.899607,0.607505,5.28748,-8.57129,5.22087
-66.3446,0.813355,0.392652,2,3,0,66.6515,0.102631,8.99248,0.857023,0.623744,5.08443,-8.55848,3.96358
-63.9996,1,0.392652,2,7,0,66.6465,0.0986264,10.4134,0.936139,0.698099,12.4908,-8.48931,5.58067
-66.8492,0.789657,0.392652,2,3,0,67.3714,0.0958345,10.4857,0.931099,0.846071,8.681,-8.48831,5.78986
-64.6899,0.980462,0.392652,2,3,0,67.5109,0.107182,9.76384,0.954993,0.708089,9.68541,-8.41198,4.51193
-71.2968,0.75933,0.392652,3,7,0,72.8687,0.101968,12.1382,0.962256,0.869028,57.4832,-11.7549,7.14175
-69.7063,0.996125,0.392652,3,11,0,75.7888,0.0685797,7.2397,0.955964,0.627317,6.21223,-8.5975,3.87929
-68.9043,0.957861,0.392652,3,7,0,71.4661,0.079164,8.04857,0.996175,0.626061,8.19822,-8.44053,4.16953
-69.0183,0.991595,0.392652,3,15,0,73.1238,0.13927,12.2921,0.998194,0.617768,13.1132,-8.82249,5.46787
-69.4876,0.867579,0.392652,3,15,0,70.0618,0.143309,12.617,0.997454,0.629927,4.85379,-9.06346,5.59488
-66.8809,0.898989,0.392652,4,15,0,71.066,0.0659111,8.75829,0.919768,0.539067,7.2736,-8.42076,5.52865
-64.6482,1,0.392652,2,3,0,67.7585,0.0800923,8.88524,0.944482,0.544221,4.79041,-8.59221,4.96072
-63.699,0.844395,0.392652,3,7,0,66.492,0.0850449,9.5302,0.944619,0.596617,8.86359,-8.39757,5.363
-64.6294,0.978293,0.392652,3,7,0,65.6249,0.0923369,9.7978,0.937194,0.796103,32.6876,-9.49964,5.27329
-64.102,0.979687,0.392652,3,7,0,65.7737,0.110629,9.57862,0.852621,0.687606,17.8332,-8.59547,4.15782
-65.5678,0.683191,0.392652,3,7,0,68.2241,0.095677,9.6862,0.968274,0.805265,28.5601,-9.21978,4.99803
-69.0979,0.756207,0.392652,4,31,0,75.3224,0.0785756,9.75117,0.998391,0.712909,6.51125,-8.49369,5.90097
-64.1032,0.979632,0.392652,4,15,0,71.0505,0.110432,10.0543,0.944226,0.651092,10.1081,-8.42824,4.64315
-67.689,0.767043,0.392652,3,7,0,69.7932,0.0889798,8.62077,0.971772,0.824919,40.3752,-10.0432,4.26076
-64.0413,0.9211,0.392652,4,15,0,69.7121,0.0974631,9.619,0.923125,0.535628,6.31253,-8.48198,4.84331
-66.5992,0.610952,0.392652,3,7,0,70.5748,0.0910622,9.27439,0.942454,0.712105,3.78872,-8.7381,4.81234
-67.9884,0.96017,0.392652,2,7,0,69.6973,0.0930348,9.54675,0.901827,0.771885,3.37853,-8.81988,4.98805
-65.2742,0.983679,0.392652,3,7,0,68.7356,0.0933883,10.0879,0.950356,0.680863,46.8053,-10.5686,5.51192
-64.4176,0.72382,0.392652,2,7,0,70.5926,0.0900293,9.39663,0.93448,0.562063,12.5961,-8.41224,4.9852
-66.5187,0.720828,0.392652,3,7,0,67.664,0.0934468,9.55677,0.979325,0.662653,4.20972,-8.68591,4.97788
-68.3195,0.849956,0.392652,2,7,0,70.4409,0.0747573,9.57313,0.994494,0.692229,4.74012,-8.62286,5.91003
-66.7944,0.941841,0.392652,3,7,0,70.4072,0.0649451,8.09555,0.987894,0.588874,9.25421,-8.41774,4.91324
-64.2549,0.988634,0.392652,3,7,0,67.4352,0.0900487,9.69906,0.91823,0.763029,10.5436,-8.40666,5.28668
-64.448,0.949528,0.392652,3,7,0,66.3767,0.0981535,9.87342,0.883404,0.680798,43.4022,-10.2809,5.0639
-64.9114,0.477745,0.392652,3,7,0,67.3917,0.109791,9.177,0.909512,0.707406,11.7022,-8.39807,3.79722
-64.5373,0.998808,0.392652,2,7,0,65.2433,0.0874797,10.1384,0.898756,0.726352,16.3129,-8.57424,5.85185
-64.3671,0.951423,0.392652,2,7,0,66.2362,0.111364,9.83389,0.903335,0.714846,36.8983,-9.79541,4.37706
-68.4465,0.450012,0.392652,2,3,0,69.4648,0.116064,9.25337,0.934518,0.685641,61.1238,-11.6906,3.56622
-65.4288,1,0.392652,2,3,0,69.2106,0.117822,9.57756,0.890733,0.688795,35.0105,-9.64299,3.80428
-63.8902,0.997196,0.392652,3,7,0,66.3765,0.101229,10.4097,0.947097,0.681635,18.5154,-8.69834,5.44946
